"","week_canton","tmax_mean_lag_8","tmax_mean_lag_7","tmax_mean_lag_6","tmax_mean_lag_5","tmax_mean_lag_4","tmax_mean_lag_3","tmax_mean_lag_2","tmax_mean_lag_1"
"1","2020-9-507",33.5789134,33.3668864285714,33.5101925714286,33.2035857142857,33.5837715714286,35.3454835714286,35.079636,34.8201412857143
"2","2020-9-112",26.8383826,26.9443092857143,27.4265145714286,26.513501,27.3106572857143,28.0544348571429,28.1891977142857,28.3018818571429
"3","2020-9-201",26.2044332,25.7276898571429,25.5230775714286,25.0986284285714,26.3287422857143,26.9871648571429,26.5593651428571,26.4812148571429
"4","2020-9-110",23.8788398,23.6675231428571,23.790409,23.2150861428571,24.1999345714286,24.8476237142857,24.6611628571429,24.7234687142857
"5","2020-9-306",21.5882104,20.9427945714286,20.7863802857143,20.6328055714286,21.9424962857143,21.4849104285714,20.9846691428571,20.8775002857143
"6","2020-9-106",23.2237706,23.2437975714286,23.6392284285714,22.8847415714286,23.731073,24.4644955714286,24.4956222857143,24.6659071428571
"7","2020-9-205",27.7571548,28.0090611428571,28.3623054285714,27.5736661428571,27.9015624285714,29.1458211428571,29.3437265714286,29.830056
"8","2020-9-504",33.5135248,32.8865535714286,33.1718927142857,33.3215292857143,34.4509861428571,35.241644,34.7802088571429,34.5396025714286
"9","2020-9-402",24.1005386,23.5090084285714,23.2872892857143,22.9616944285714,24.3518832857143,24.7926195714286,24.3351848571429,24.2163727142857
"10","2020-9-407",27.1263664,26.8028508571429,26.7191212857143,26.2504795714286,27.2153794285714,27.8345188571429,27.5281698571429,27.5247331428571
"11","2020-9-603",30.199994,30.171452,30.3435168571429,29.2304457142857,29.9204845714286,30.0265154285714,30.107361,30.3390882857143
"12","2020-9-505",34.0628792,33.8294512857143,34.0937115714286,34.0549032857143,34.2263538571429,36.2922442857143,36.0545574285714,35.7677484285714
"13","2020-9-301",24.2820906,23.9640607142857,24.0286982857143,23.6912491428571,24.5768454285714,24.4810538571429,24.2105652857143,24.287549
"14","2020-9-506",33.5656178,32.9980015714286,33.1749967142857,33.1671728571429,34.1663104285714,35.2198797142857,34.8057358571429,34.4908188571429
"15","2020-9-610",33.7544698,34.2246842857143,34.3184167142857,32.987912,34.0832275714286,34.279361,34.2845128571429,34.5374494285714
"16","2020-9-608",25.7879958,25.968695,26.0798364285714,25.031732,26.0519291428571,26.0673501428571,26.144855,26.3878104285714
"17","2020-9-118",25.1382604,24.7135488571429,24.6994417142857,24.3628434285714,25.4579567142857,25.7176757142857,25.3930782857143,25.3769568571429
"18","2020-9-103",23.2473678,23.037763,23.199849,22.7064205714286,23.6503411428571,24.1342871428571,23.963665,24.0891018571429
"19","2020-9-117",21.5198996,21.3967592857143,21.761248,21.2974521428571,22.1195312857143,22.2537742857143,22.1428284285714,22.2654377142857
"20","2020-9-308",21.3289208,21.1623024285714,21.3471588571429,20.9382142857143,21.7270407142857,21.8852508571429,21.725253,21.8878832857143
"21","2020-9-102",26.210614,25.9049048571429,25.92025,25.4318524285714,26.4310618571429,26.9447545714286,26.6773577142857,26.6908182857143
"22","2020-9-602",31.4234608,32.0506317142857,32.7369435714286,32.0393784285714,31.8895024285714,33.4165808571429,34.1038315714286,34.8671791428571
"23","2020-9-408",26.6325836,26.2163905714286,26.0541821428571,25.6489144285714,26.7238608571429,27.3014137142857,26.928204,26.8828548571429
"24","2020-9-611",31.6389176,32.2264217142857,32.8785302857143,32.1185301428571,32.2627095714286,33.5984554285714,34.064328,34.4275765714286
"25","2020-9-108",23.6471996,23.0624974285714,22.9414882857143,22.7355202857143,23.881432,23.6834035714286,23.2639201428571,23.1609737142857
"26","2020-9-607",30.19793608,30.3469412,30.6071997142857,29.5748659714286,30.4328979714286,30.5731168285714,30.6419788,30.8715507142857
"27","2020-9-203",26.9170174,26.5269562857143,26.3821824285714,25.8933104285714,27.0202037142857,27.7899012857143,27.4076865714286,27.3817327142857
"28","2020-9-215",32.9748156,31.9935184285714,32.1408632857143,32.231226,33.7335358571429,34.2683105714286,33.7217378571429,33.3477947142857
"29","2020-9-706",31.9179946,31.0808785714286,30.4060044285714,30.009292,31.6931167142857,31.1712024285714,30.6364087142857,30.4947128571429
"30","2020-9-401",21.8926414,21.1481928571429,20.8576624285714,20.5848342857143,22.2719198571429,22.6017514285714,22.0803198571429,21.906107
"31","2020-9-511",31.1407726,31.8438718571429,32.4457701428571,32.08299,31.1791271428571,33.1981482857143,33.7836051428571,33.8371337142857
"32","2020-9-304",26.0634062,25.4864142857143,25.3200434285714,25.2930555714286,26.4028488571429,25.7462748571429,25.2800985714286,25.2221407142857
"33","2020-9-510",31.8953432,31.4450141428571,31.5990971428571,31.5758774285714,32.7589002857143,33.1744877142857,32.7680632857143,32.662177
"34","2020-9-303",24.0478718,23.5703294285714,23.5316324285714,23.2507197142857,24.2945787142857,24.1644632857143,23.8055837142857,23.771696
