"","precip_total","precip_min","precip_max","precip_mean","precip_median","week_canton"
"95",10.2079525,0,10.2079525,1.45827892857143,0,"2021-1-301"
"96",0,0,0,0,0,"2021-1-506"
"97",9.933397,0,9.933397,1.41905671428571,0,"2021-1-610"
"98",8.185328,0,8.185328,1.16933257142857,0,"2021-1-608"
"99",0,0,0,0,0,"2021-1-118"
"100",3.8383315,0,2.424178,0.548333071428571,0,"2021-1-103"
"101",24.387688,0,24.387688,3.48395542857143,0,"2021-1-117"
"102",0,0,0,0,0,"2021-1-308"
"103",0,0,0,0,0,"2021-1-102"
"104",8.829904,0,8.829904,1.26141485714286,0,"2021-1-602"
"105",0,0,0,0,0,"2021-1-408"
"106",0,0,0,0,0,"2021-1-611"
"107",0,0,0,0,0,"2021-1-108"
"108",NA,NA,NA,NA,NA,"2021-1-607"
"109",0,0,0,0,0,"2021-1-203"
"110",38.9653691,0,25.326706,5.5664813,3.4847875,"2021-1-215"
"111",0,0,0,0,0,"2021-1-706"
"112",17.6636788,0,13.736436,2.52338268571429,0,"2021-1-401"
"113",0,0,0,0,0,"2021-1-511"
"114",0,0,0,0,0,"2021-1-304"
"115",14.581693,0,14.581693,2.083099,0,"2021-1-510"
"116",0,0,0,0,0,"2021-1-303"
"117",0,0,0,0,0,"2021-1-120"
"118",2.427968,0,2.427968,0.346852571428571,0,"2021-1-501"
"119",0,0,0,0,0,"2021-1-701"
"120",0,0,0,0,0,"2021-1-214"
"121",45.296345,0,45.296345,6.47090642857143,0,"2021-1-705"
"122",0,0,0,0,0,"2021-1-115"
"123",7.0893545,0,7.0893545,1.01276492857143,0,"2021-1-604"
"124",0,0,0,0,0,"2021-1-107"
"125",0,0,0,0,0,"2021-1-114"
"126",0,0,0,0,0,"2021-1-509"
"127",0,0,0,0,0,"2021-1-206"
"128",0,0,0,0,0,"2021-1-502"
"129",0,0,0,0,0,"2021-1-307"
"130",8.34144,0,8.34144,1.19163428571429,0,"2021-1-209"
"131",41.601205,0,27.734137,5.94302928571429,0,"2021-1-605"
"132",0,0,0,0,0,"2021-1-207"
"133",0,0,0,0,0,"2021-1-302"
"134",17.503208,0,8.751604,2.50045828571429,0,"2021-1-609"
"135",44.479687,0,44.479687,6.354241,0,"2021-1-702"
"136",0,0,0,0,0,"2021-1-208"
"137",5.1887813,0,5.1887813,0.741254471428571,0,"2021-1-601"
"138",35.215678,0,22.1777,5.03081114285714,0,"2021-1-104"
"139",57.33198,0,38.22132,8.19028285714286,0,"2021-1-119"
"140",0,0,0,0,0,"2021-1-606"
"141",49.3029,0,49.3029,7.04327142857143,0,"2021-1-216"
"142",0,0,0,0,0,"2021-1-210"
"143",0,0,0,0,0,"2021-1-406"
"144",0,0,0,0,0,"2021-1-101"
"145",0,0,0,0,0,"2021-1-204"
"146",0,0,0,0,0,"2021-1-409"
"147",6.857479,0,6.857479,0.979639857142857,0,"2021-1-405"
"148",10.5327835,0,10.5327835,1.50468335714286,0,"2021-1-202"
"149",0,0,0,0,0,"2021-1-109"
"150",0,0,0,0,0,"2021-1-404"
"151",0,0,0,0,0,"2021-1-503"
"152",0,0,0,0,0,"2021-1-403"
"153",27.012801,0,22.550154,3.85897157142857,0,"2021-1-410"
"154",0,0,0,0,0,"2021-1-212"
"155",0,0,0,0,0,"2021-1-703"
"156",0,0,0,0,0,"2021-1-704"
"157",26.698213,0,15.92486,3.81403042857143,0,"2021-1-105"
"158",0,0,0,0,0,"2021-1-113"
"159",0,0,0,0,0,"2021-1-508"
"160",0,0,0,0,0,"2021-1-305"
"161",13.322515,0,13.322515,1.90321642857143,0,"2021-1-116"
"162",0,0,0,0,0,"2021-1-213"
"163",0,0,0,0,0,"2021-1-111"
"164",0,0,0,0,0,"2021-1-211"
"165",0,0,0,0,0,"2022-1-507"
"166",7.1337094,0,7.1337094,1.01910134285714,0,"2022-1-112"
"167",0,0,0,0,0,"2022-1-201"
"168",3.6238923,0,3.6238923,0.5176989,0,"2022-1-110"
"169",0,0,0,0,0,"2022-1-306"
"170",13.8955715,0,7.733629,1.98508164285714,0,"2022-1-106"
"171",0,0,0,0,0,"2022-1-205"
"172",4.0024185,0,4.0024185,0.571774071428571,0,"2022-1-504"
"173",0,0,0,0,0,"2022-1-402"
"174",0,0,0,0,0,"2022-1-407"
"175",16.397692,0,10.99578,2.34252742857143,0,"2022-1-603"
"176",0,0,0,0,0,"2022-1-505"
"177",7.437502,0,7.437502,1.06250028571429,0,"2022-1-301"
"178",0,0,0,0,0,"2022-1-506"
"179",30.26279,0,30.26279,4.32325571428571,0,"2022-1-610"
"180",39.06703,0,39.06703,5.58100428571429,0,"2022-1-608"
"181",0,0,0,0,0,"2022-1-118"
"182",0,0,0,0,0,"2022-1-103"
"183",20.96938,0,10.48469,2.99562571428571,0,"2022-1-117"
"184",7.751964,0,7.751964,1.10742342857143,0,"2022-1-308"
"185",2.330901,0,2.330901,0.332985857142857,0,"2022-1-102"
"186",0,0,0,0,0,"2022-1-602"
"187",0,0,0,0,0,"2022-1-408"
"188",0,0,0,0,0,"2022-1-611"
"189",0,0,0,0,0,"2022-1-108"
"190",NA,NA,NA,NA,NA,"2022-1-607"
"191",0,0,0,0,0,"2022-1-203"
"192",24.650317,0,8.748088,3.52147385714286,0,"2022-1-215"
"193",25.530818,0,9.037787,3.64725971428571,0,"2022-1-706"
"194",4.95736,0,4.95736,0.708194285714286,0,"2022-1-401"
"195",0,0,0,0,0,"2022-1-511"
"196",25.2258523,0,13.454383,3.60369318571429,0,"2022-1-304"
"197",6.0494795,0,6.0494795,0.864211357142857,0,"2022-1-510"
"198",4.3420453,0,4.3420453,0.620292185714286,0,"2022-1-303"
"199",29.441017,0,29.441017,4.20585957142857,0,"2022-1-120"
"200",0,0,0,0,0,"2022-1-501"
"201",32.9664129,0,11.164749,4.70948755714286,6.8411922,"2022-1-701"
"202",13.2313457,0,7.3882227,1.89019224285714,0,"2022-1-214"
"203",25.451017,0,9.397978,3.63585957142857,0,"2022-1-705"
"204",0,0,0,0,0,"2022-1-115"
"205",0,0,0,0,0,"2022-1-604"
"206",5.8816447,0,5.8816447,0.840234957142857,0,"2022-1-107"
"207",0,0,0,0,0,"2022-1-114"
"208",0,0,0,0,0,"2022-1-509"
"209",0,0,0,0,0,"2022-1-206"
"210",0,0,0,0,0,"2022-1-502"
"211",0,0,0,0,0,"2022-1-307"
"212",3.6513727,0,3.6513727,0.521624671428571,0,"2022-1-209"
"213",85.995674,0,85.995674,12.2850962857143,0,"2022-1-605"
"214",0,0,0,0,0,"2022-1-207"
"215",155.97365,0,155.97365,22.28195,0,"2022-1-302"
"216",13.1691234,0,6.933264,1.88130334285714,0,"2022-1-609"
"217",23.7294256,0,8.218778,3.38991794285714,0,"2022-1-702"
"218",0,0,0,0,0,"2022-1-208"
"219",0,0,0,0,0,"2022-1-601"
"220",5.9627867,0,5.9627867,0.851826671428571,0,"2022-1-104"
"221",19.994919,0,19.994919,2.856417,0,"2022-1-119"
"222",13.7838693,0,7.5169516,1.96912418571429,0,"2022-1-606"
"223",24.0605725,0,10.339824,3.43722464285714,0,"2022-1-216"
"224",11.4943924,0,5.9115267,1.64205605714286,0,"2022-1-210"
"225",0,0,0,0,0,"2022-1-406"
"226",2.330901,0,2.330901,0.332985857142857,0,"2022-1-101"
"227",2.6843045,0,2.6843045,0.383472071428571,0,"2022-1-204"
"228",0,0,0,0,0,"2022-1-409"
"229",0,0,0,0,0,"2022-1-405"
"230",0,0,0,0,0,"2022-1-202"
"231",0,0,0,0,0,"2022-1-109"
"232",0,0,0,0,0,"2022-1-404"
"233",0,0,0,0,0,"2022-1-503"
"234",0,0,0,0,0,"2022-1-403"
"235",24.3060933,0,8.96198,3.47229904285714,0,"2022-1-410"
"236",0,0,0,0,0,"2022-1-212"
"237",24.567529,0,8.735561,3.509647,0,"2022-1-703"
"238",27.547037,0,11.429379,3.935291,0,"2022-1-704"
"239",31.448268,0,15.724134,4.49260971428571,0,"2022-1-105"
"240",0,0,0,0,0,"2022-1-113"
"241",19.7887147,0,8.226107,2.82695924285714,0,"2022-1-508"
"242",17.875061,0,11.310675,2.55358014285714,0,"2022-1-305"
"243",0,0,0,0,0,"2022-1-116"
"244",8.690242,0,8.690242,1.24146314285714,0,"2022-1-213"
"245",5.1050014,0,5.1050014,0.729285914285714,0,"2022-1-111"
"246",4.9805837,0,4.9805837,0.711511957142857,0,"2022-1-211"
"247",0,0,0,0,0,"2023-1-507"
"248",9.702469,0,9.702469,1.386067,0,"2023-1-112"
"249",3.720493,0,3.720493,0.531499,0,"2023-1-201"
"250",0,0,0,0,0,"2023-1-110"
"251",10.244023,0,10.244023,1.46343185714286,0,"2023-1-306"
"252",9.556193,0,9.556193,1.36517042857143,0,"2023-1-106"
"253",4.0612288,0,4.0612288,0.580175542857143,0,"2023-1-205"
"254",5.867655,0,5.867655,0.838236428571429,0,"2023-1-504"
"255",11.2831545,0,11.2831545,1.61187921428571,0,"2023-1-402"
"256",4.571307,0,4.571307,0.653043857142857,0,"2023-1-407"
"257",10.891033,0,10.891033,1.55586185714286,0,"2023-1-603"
"258",0.8133691,0,0.8133691,0.116195585714286,0,"2023-1-505"
"259",8.192582,0,8.192582,1.17036885714286,0,"2023-1-301"
"260",2.5282283,0,2.5282283,0.361175471428571,0,"2023-1-506"
"261",8.3835946,0,4.1917973,1.19765637142857,0,"2023-1-610"
"262",11.945822,0,11.945822,1.706546,0,"2023-1-608"
"263",4.285459,0,4.285459,0.612208428571429,0,"2023-1-118"
"264",4.4796314,0,4.4796314,0.639947342857143,0,"2023-1-103"
"265",7.6652503,0,7.6652503,1.09503575714286,0,"2023-1-117"
"266",7.908448,0,7.908448,1.12977828571429,0,"2023-1-308"
"267",6.5227847,0,6.5227847,0.931826385714286,0,"2023-1-102"
"268",15.801683,0,9.952092,2.25738328571429,0,"2023-1-602"
"269",4.770737,0,4.770737,0.681533857142857,0,"2023-1-408"
"270",0,0,0,0,0,"2023-1-611"
"271",11.992039,0,11.992039,1.71314842857143,0,"2023-1-108"
"272",NA,NA,NA,NA,NA,"2023-1-607"
"273",4.433776,0,4.433776,0.633396571428571,0,"2023-1-203"
"274",35.228444,0,14.815924,5.03263485714286,0,"2023-1-215"
"275",34.07926,0,17.77994,4.86846571428571,0,"2023-1-706"
