"","tmax_min","tmax_max","tmax_mean","tmax_median","week_canton"
"7089",23.968836,26.145075,25.1869852857143,25.400202,"2022-15-701"
"7090",34.526157,35.758984,34.9441985714286,34.89032,"2022-15-214"
"7091",29.711102,31.028322,30.4741238571429,30.665422,"2022-15-705"
"7092",25.320126,26.460264,26.1697265714286,26.261944,"2022-15-115"
"7093",30.61789,31.470259,31.1524471428571,31.261688,"2022-15-604"
"7094",28.041792,29.20828,28.9621855714286,29.134253,"2022-15-107"
"7095",24.728317,25.780941,25.5029695714286,25.588621,"2022-15-114"
"7096",32.391068,32.957108,32.694129,32.798756,"2022-15-509"
"7097",27.132004,27.982647,27.7417861428571,27.873497,"2022-15-206"
"7098",35.06197,35.75351,35.4616132857143,35.520214,"2022-15-502"
"7099",21.857658,23.418457,22.784274,22.828754,"2022-15-307"
"7100",32.924873,34.06228,33.6662821428571,33.754505,"2022-15-209"
"7101",32.17648,34.38207,33.5413094285714,33.6311,"2022-15-605"
"7102",27.988138,29.078377,28.8103944285714,28.93077,"2022-15-207"
"7103",22.764769,24.037523,23.5535935714286,23.640461,"2022-15-302"
"7104",32.79329,34.35021,33.7069475714286,33.79806,"2022-15-609"
"7105",31.74201,32.724174,32.2985787142857,32.234562,"2022-15-702"
"7106",25.455118,26.238527,26.0149794285714,26.088001,"2022-15-208"
"7107",33.170105,33.699825,33.478844,33.535976,"2022-15-601"
"7108",28.783789,30.139725,29.740653,29.903072,"2022-15-104"
"7109",27.2996,28.305128,27.9093071428571,28.041584,"2022-15-119"
"7110",32.39017,33.469494,32.9140072857143,32.867027,"2022-15-606"
"7111",31.873747,32.490692,32.1385624285714,32.048637,"2022-15-216"
"7112",33.284233,34.127842,33.6029441428571,33.4987,"2022-15-210"
"7113",24.728317,25.780941,25.5029695714286,25.588621,"2022-15-406"
"7114",26.495567,27.60076,27.3293122857143,27.453463,"2022-15-101"
"7115",30.656282,31.851686,31.4656364285714,31.510466,"2022-15-204"
"7116",26.010405,27.08881,26.8144797142857,26.90985,"2022-15-409"
"7117",25.08111,26.103586,25.8364248571429,25.92503,"2022-15-405"
"7118",29.413834,29.984158,29.7519237142857,29.78633,"2022-15-202"
"7119",26.842094,27.935192,27.6725651428571,27.813168,"2022-15-109"
"7120",24.674072,25.59317,25.3441837142857,25.412392,"2022-15-404"
"7121",34.892147,35.64646,35.2212434285714,35.19588,"2022-15-503"
"7122",26.010405,27.08881,26.8144797142857,26.90985,"2022-15-403"
"7123",32.298634,33.16618,32.7335884285714,32.71086,"2022-15-410"
"7124",25.030077,25.739319,25.5186442857143,25.57107,"2022-15-212"
"7125",29.768293,30.936172,30.5007028571429,30.626396,"2022-15-703"
"7126",25.181234,26.562428,25.9541672857143,26.077776,"2022-15-704"
"7127",26.896687,28.090637,27.6040795714286,27.57741,"2022-15-105"
"7128",26.010405,27.08881,26.8144797142857,26.90985,"2022-15-113"
"7129",31.054249,31.909853,31.3714198571429,31.383097,"2022-15-508"
"7130",25.12786,27.081276,26.241659,26.342169,"2022-15-305"
"7131",31.100866,32.236446,31.8493431428571,32.01963,"2022-15-116"
"7132",34.58798,35.452213,34.8255574285714,34.755035,"2022-15-213"
"7133",22.684378,24.013111,23.5458841428571,23.608433,"2022-15-111"
"7134",26.486115,27.098835,26.867137,26.899117,"2022-15-211"
"7135",35.273277,36.237186,35.7238465714286,35.73675,"2023-15-507"
"7136",27.986788,28.877144,28.326615,28.279392,"2023-15-112"
"7137",27.273106,27.876436,27.5702834285714,27.50884,"2023-15-201"
"7138",24.837143,25.64043,25.2823832857143,25.20056,"2023-15-110"
"7139",21.07301,22.32843,21.8443574285714,21.827126,"2023-15-306"
"7140",24.236883,25.176218,24.74796,24.751331,"2023-15-106"
"7141",30.018703,30.6188,30.2585024285714,30.227665,"2023-15-205"
"7142",35.568184,36.153812,35.824729,35.732395,"2023-15-504"
"7143",25.036312,25.722763,25.3943592857143,25.313128,"2023-15-402"
"7144",28.017588,28.681433,28.3441875714286,28.253286,"2023-15-407"
"7145",29.083162,30.724201,29.7521827142857,29.818651,"2023-15-603"
"7146",36.578247,36.912937,36.7610217142857,36.767414,"2023-15-505"
"7147",24.014614,25.162386,24.7386524285714,24.837982,"2023-15-301"
"7148",35.64004,36.136402,35.8519495714286,35.801346,"2023-15-506"
"7149",33.599968,34.808952,34.1626125714286,34.122784,"2023-15-610"
"7150",24.989834,26.684517,25.759428,25.922745,"2023-15-608"
