"","tmin_min","tmin_max","tmin_mean","tmin_median","week_canton"
"3685",21.888205,23.44885,22.9312542857143,23.10037,"2022-8-508"
"3686",17.274488,18.631382,18.2678398571429,18.525717,"2022-8-305"
"3687",24.210316,25.260391,24.7463662857143,24.753962,"2022-8-116"
"3688",27.902073,29.13675,28.6219604285714,28.690083,"2022-8-213"
"3689",13.958958,15.334454,14.7620985714286,14.78764,"2022-8-111"
"3690",16.38074,18.047283,17.3896198571429,17.573593,"2022-8-211"
"3691",24.594517,26.290333,25.5860208571429,25.694538,"2023-8-507"
"3692",19.678907,21.48093,20.5570325714286,20.64607,"2023-8-112"
"3693",16.640799,19.78037,18.5292625714286,18.629065,"2023-8-201"
"3694",15.104658,17.542192,16.4211772857143,16.368242,"2023-8-110"
"3695",12.240763,14.6509075,13.6338380714286,13.705597,"2023-8-306"
"3696",15.6323395,17.45755,16.5317119285714,16.560913,"2023-8-106"
"3697",18.91491,21.7661,20.5524294285714,20.770077,"2023-8-205"
"3698",25.887623,28.031109,27.3079352857143,27.537231,"2023-8-504"
"3699",15.003061,17.936583,16.7750545714286,16.72494,"2023-8-402"
"3700",17.50654,20.424171,19.1510072857143,19.033663,"2023-8-407"
"3701",18.497892,21.120214,20.3471778571429,20.564655,"2023-8-603"
"3702",27.672897,28.855286,28.4205862857143,28.520424,"2023-8-505"
"3703",14.7738285,17.031334,15.9832380714286,16.079905,"2023-8-301"
"3704",25.523693,27.363018,26.8098991428571,27.028275,"2023-8-506"
"3705",26.727566,28.905167,27.8844702857143,27.982357,"2023-8-610"
"3706",17.080822,18.933323,18.2312198571429,18.573305,"2023-8-608"
"3707",16.132565,18.676434,17.5328335714286,17.477219,"2023-8-118"
"3708",14.437998,16.70376,15.6319665,15.6899395,"2023-8-103"
"3709",13.833126,16.06214,15.1748535714286,15.224644,"2023-8-117"
"3710",12.236921,14.231035,13.2858247142857,13.438812,"2023-8-308"
"3711",17.040123,19.671824,18.4940148571429,18.355312,"2023-8-102"
"3712",25.15385,27.266945,26.3934902857143,26.556774,"2023-8-602"
"3713",16.970453,20.012249,18.73454,18.695646,"2023-8-408"
"3714",28.340023,30.131683,29.3472082857143,29.425278,"2023-8-611"
"3715",14.358103,17.000462,15.8442921428571,15.816563,"2023-8-108"
"3716",NA,NA,NA,NA,"2023-8-607"
"3717",17.31122,20.45934,19.2041165714286,19.366606,"2023-8-203"
"3718",25.918835,28.370255,27.6179168571429,27.844414,"2023-8-215"
"3719",22.484724,24.842623,24.1619758571429,24.384209,"2023-8-706"
"3720",13.296158,16.104498,15.0686711428571,15.023191,"2023-8-401"
"3721",23.981995,25.155483,24.7371837142857,24.714985,"2023-8-511"
"3722",16.111944,18.388752,17.3799587142857,17.512651,"2023-8-304"
"3723",26.313148,27.687767,27.254727,27.589516,"2023-8-510"
"3724",14.701651,17.203674,16.0870181428571,16.083183,"2023-8-303"
"3725",16.515781,18.17662,17.4476074285714,17.484598,"2023-8-120"
