"","ndvi","fecha","ID"
"165",0.6066,2021-02-18,203
"166",0.5267,2021-03-06,203
"167",0.459,2021-03-22,203
"168",0.4968,2021-04-07,203
"169",0.5983,2021-04-23,203
"170",0.6164,2021-05-09,203
"171",0.4412,2021-05-25,203
"172",0.7107,2021-06-10,203
"173",0.5317,2021-06-26,203
"174",0.7976,2021-07-12,203
"175",0.7373,2021-07-28,203
"176",0.7381,2021-08-13,203
"177",0.7352,2021-08-29,203
"178",0.7312,2021-09-14,203
"179",0.484,2021-09-30,203
"180",0.4009,2021-10-16,203
"181",0.6459,2021-11-01,203
"182",0.7033,2021-11-17,203
"183",0.6686,2021-12-03,203
"184",0.6726,2021-12-19,203
"185",0.8028,2022-01-01,203
"186",0.6879,2022-01-17,203
"187",0.6542,2022-02-02,203
"188",0.5006,2022-02-18,203
"189",0.5308,2022-03-06,203
"190",0.5531,2022-03-22,203
"191",0.5215,2022-04-07,203
"192",0.6569,2022-04-23,203
"193",0.6253,2022-05-09,203
"194",0.6665,2022-05-25,203
"195",0.7351,2022-06-10,203
"196",0.8335,2022-06-26,203
"197",0.8039,2022-07-12,203
"198",0.723,2022-07-28,203
"199",0.7782,2022-08-13,203
"200",0.8191,2022-08-29,203
"201",0.7137,2022-09-14,203
"202",0.6408,2022-09-30,203
"203",0.7557,2022-10-16,203
"204",0.6636,2022-11-01,203
"205",0.7495,2022-11-17,203
"206",0.7325,2022-12-03,203
"207",0.7194,2022-12-19,203
"208",0.7439,2020-01-01,215
"209",0.4938,2020-01-17,215
"210",0.8314,2020-02-02,215
"211",0.7841,2020-02-18,215
"212",0.8268,2020-03-05,215
"213",0.831,2020-03-21,215
"214",0.688,2020-04-06,215
"215",0.5168,2020-04-22,215
"216",0.6195,2020-05-08,215
"217",0.8435,2020-05-24,215
"218",0.532,2020-06-09,215
"219",0.8777,2020-06-25,215
"220",0.6733,2020-07-11,215
"221",0.556,2020-07-27,215
"222",0.8801,2020-08-12,215
"223",0.7481,2020-08-28,215
"224",0.6743,2020-09-13,215
"225",0.8061,2020-09-29,215
"226",0.8632,2020-10-15,215
"227",0.8355,2020-10-31,215
"228",0.8286,2020-11-16,215
"229",0.7747,2020-12-02,215
"230",0.8245,2020-12-18,215
"231",0.5838,2021-01-01,215
"232",0.6073,2021-01-17,215
"233",0.7813,2021-02-02,215
"234",0.7572,2021-02-18,215
"235",0.808,2021-03-06,215
"236",0.8257,2021-03-22,215
"237",0.3998,2021-04-07,215
"238",0.7308,2021-04-23,215
"239",0.6995,2021-05-09,215
"240",0.5129,2021-05-25,215
"241",0.855,2021-06-10,215
"242",0.8659,2021-06-26,215
"243",0.7966,2021-07-12,215
"244",0.6931,2021-07-28,215
"245",0.4842,2021-08-13,215
"246",0.7939,2021-08-29,215
"247",0.7572,2021-09-14,215
"248",0.8275,2021-09-30,215
"249",0.79,2021-10-16,215
"250",0.7497,2021-11-01,215
"251",0.3627,2021-11-17,215
"252",0.7651,2021-12-03,215
"253",0.8491,2021-12-19,215
"254",0.8598,2022-01-01,215
"255",0.7741,2022-01-17,215
"256",0.8807,2022-02-02,215
"257",0.7923,2022-02-18,215
"258",0.8916,2022-03-06,215
"259",0.7572,2022-03-22,215
"260",0.6186,2022-04-07,215
"261",0.6978,2022-04-23,215
"262",0.791,2022-05-09,215
"263",0.8744,2022-05-25,215
"264",0.8203,2022-06-10,215
"265",0.2943,2022-06-26,215
"266",0.6672,2022-07-12,215
"267",0.3788,2022-07-28,215
"268",0.7981,2022-08-13,215
"269",0.8569,2022-08-29,215
"270",0.7823,2022-09-14,215
"271",0.3804,2022-09-30,215
"272",0.6274,2022-10-16,215
"273",0.8317,2022-11-01,215
"274",0.616,2022-11-17,215
"275",0.6,2022-12-03,215
"276",0.7551,2022-12-19,215
"277",0.7885,2020-01-01,214
"278",0.7461,2020-01-17,214
"279",0.7458,2020-02-02,214
"280",0.7789,2020-02-18,214
"281",0.71,2020-03-05,214
"282",0.4286,2020-03-21,214
"283",0.6869,2020-04-06,214
"284",0.6092,2020-04-22,214
"285",0.6859,2020-05-08,214
"286",0.7676,2020-05-24,214
"287",0.3009,2020-06-09,214
"288",0.9371,2020-06-25,214
"289",0.4879,2020-07-11,214
"290",0.2065,2020-07-27,214
"291",0.5851,2020-08-12,214
"292",0.7625,2020-08-28,214
"293",0.757,2020-09-13,214
"294",0.7984,2020-09-29,214
"295",0.6426,2020-10-15,214
"296",0.8027,2020-10-31,214
"297",0.5148,2020-11-16,214
"298",0.7811,2020-12-02,214
"299",0.7892,2020-12-18,214
"300",0.7772,2021-01-01,214
"301",0.713,2021-01-17,214
"302",0.6156,2021-02-02,214
"303",0.715,2021-02-18,214
"304",0.646,2021-03-06,214
"305",0.2552,2021-03-22,214
"306",0.5222,2021-04-07,214
"307",0.6127,2021-04-23,214
"308",0.4931,2021-05-09,214
"309",0.7397,2021-05-25,214
"310",0.192,2021-06-10,214
"311",0.9322,2021-06-26,214
"312",0.6403,2021-07-12,214
"313",0.7562,2021-07-28,214
"314",0.6026,2021-08-13,214
"315",0.3905,2021-08-29,214
"316",0.7832,2021-09-14,214
"317",0.5727,2021-09-30,214
"318",0.7083,2021-10-16,214
"319",0.6812,2021-11-01,214
"320",0.6712,2021-11-17,214
"321",0.6073,2021-12-03,214
"322",0.8463,2021-12-19,214
"323",0.8975,2022-01-01,214
"324",0.8673,2022-01-17,214
"325",0.8191,2022-02-02,214
"326",0.8099,2022-02-18,214
"327",0.7585,2022-03-06,214
"328",0.3587,2022-03-22,214
"329",0.5413,2022-04-07,214
"330",0.4902,2022-04-23,214
"331",0.7769,2022-05-09,214
"332",0.7426,2022-05-25,214
"333",0.3171,2022-06-10,214
"334",0.7703,2022-06-26,214
"335",0.3612,2022-07-12,214
"336",0.625,2022-07-28,214
"337",0.5742,2022-08-13,214
"338",0.5229,2022-08-29,214
"339",0.78,2022-09-14,214
"340",0.5803,2022-09-30,214
"341",0.1982,2022-10-16,214
"342",0.6377,2022-11-01,214
"343",0.9584,2022-11-17,214
"344",0.686,2022-12-03,214
"345",0.8298,2022-12-19,214
"346",0.6734,2020-01-01,206
"347",0.6652,2020-01-17,206
"348",0.6527,2020-02-02,206
"349",0.5696,2020-02-18,206
"350",0.5826,2020-03-05,206
"351",0.6059,2020-03-21,206
"352",0.5736,2020-04-06,206
"353",0.642,2020-04-22,206
"354",0.7474,2020-05-08,206
"355",0.4136,2020-05-24,206
"356",0.5402,2020-06-09,206
"357",0.646,2020-06-25,206
"358",0.7177,2020-07-11,206
"359",0.769,2020-07-27,206
"360",0.7527,2020-08-12,206
"361",0.6576,2020-08-28,206
"362",0.3287,2020-09-13,206
"363",0.8479,2020-09-29,206
"364",0.6183,2020-10-15,206
"365",0.3532,2020-10-31,206
"366",0.7656,2020-11-16,206
"367",0.745,2020-12-02,206
"368",0.6448,2020-12-18,206
"369",0.6388,2021-01-01,206
"370",0.5369,2021-01-17,206
"371",0.5446,2021-02-02,206
"372",0.5882,2021-02-18,206
"373",0.5581,2021-03-06,206
"374",0.54,2021-03-22,206
"375",0.5145,2021-04-07,206
"376",0.7529,2021-04-23,206
"377",0.6668,2021-05-09,206
"378",0.6781,2021-05-25,206
"379",0.8127,2021-06-10,206
"380",0.6376,2021-06-26,206
"381",0.6243,2021-07-12,206
"382",0.6294,2021-07-28,206
"383",0.6528,2021-08-13,206
"384",0.7134,2021-08-29,206
"385",0.3105,2021-09-14,206
"386",0.4118,2021-09-30,206
"387",0.4752,2021-10-16,206
"388",0.493,2021-11-01,206
"389",0.7457,2021-11-17,206
"390",0.7755,2021-12-03,206
"391",0.6926,2021-12-19,206
"392",0.7064,2022-01-01,206
"393",0.6678,2022-01-17,206
"394",0.5797,2022-02-02,206
"395",0.6242,2022-02-18,206
"396",0.5779,2022-03-06,206
"397",0.5864,2022-03-22,206
"398",0.6335,2022-04-07,206
"399",0.6338,2022-04-23,206
"400",0.6118,2022-05-09,206
"401",0.7211,2022-05-25,206
"402",0.6618,2022-06-10,206
"403",0.7656,2022-06-26,206
"404",0.7568,2022-07-12,206
"405",0.8169,2022-07-28,206
"406",0.6095,2022-08-13,206
"407",0.6331,2022-08-29,206
"408",0.7176,2022-09-14,206
"409",0.7617,2022-09-30,206
"410",0.7289,2022-10-16,206
"411",0.5497,2022-11-01,206
"412",0.7291,2022-11-17,206
"413",0.7253,2022-12-03,206
"414",0.752,2022-12-19,206
"415",0.6036,2020-01-01,209
"416",0.4404,2020-01-17,209
"417",0.4093,2020-02-02,209
"418",0.3718,2020-02-18,209
"419",0.4082,2020-03-05,209
"420",0.3555,2020-03-21,209
"421",0.4419,2020-04-06,209
"422",0.4582,2020-04-22,209
"423",0.5556,2020-05-08,209
"424",0.475,2020-05-24,209
"425",0.6818,2020-06-09,209
"426",0.8603,2020-06-25,209
"427",0.7856,2020-07-11,209
"428",0.828,2020-07-27,209
"429",0.7769,2020-08-12,209
"430",0.7007,2020-08-28,209
"431",0.7097,2020-09-13,209
"432",0.6466,2020-09-29,209
"433",0.6839,2020-10-15,209
"434",0.5522,2020-10-31,209
"435",0.6368,2020-11-16,209
"436",0.5537,2020-12-02,209
"437",0.5871,2020-12-18,209
"438",0.6082,2021-01-01,209
"439",0.6439,2021-01-17,209
"440",0.5846,2021-02-02,209
"441",0.4863,2021-02-18,209
"442",0.4679,2021-03-06,209
"443",0.424,2021-03-22,209
"444",0.4156,2021-04-07,209
"445",0.6943,2021-04-23,209
"446",0.7432,2021-05-09,209
"447",0.7071,2021-05-25,209
"448",0.7434,2021-06-10,209
"449",0.7188,2021-06-26,209
"450",0.7045,2021-07-12,209
"451",0.8587,2021-07-28,209
"452",0.6074,2021-08-13,209
"453",0.8215,2021-08-29,209
"454",0.7112,2021-09-14,209
"455",0.7919,2021-09-30,209
"456",0.7895,2021-10-16,209
"457",0.8179,2021-11-01,209
"458",0.8312,2021-11-17,209
"459",0.8145,2021-12-03,209
"460",0.5418,2021-12-19,209
"461",0.5,2022-01-01,209
"462",0.5089,2022-01-17,209
"463",0.4452,2022-02-02,209
"464",0.3969,2022-02-18,209
"465",0.4202,2022-03-06,209
"466",0.3716,2022-03-22,209
"467",0.6232,2022-04-07,209
"468",0.7802,2022-04-23,209
"469",0.7256,2022-05-09,209
"470",0.8694,2022-05-25,209
"471",0.8274,2022-06-10,209
"472",0.8254,2022-06-26,209
"473",0.8501,2022-07-12,209
"474",0.7691,2022-07-28,209
"475",0.6989,2022-08-13,209
"476",0.7128,2022-08-29,209
"477",0.6416,2022-09-14,209
"478",0.721,2022-09-30,209
"479",0.6768,2022-10-16,209
"480",0.5632,2022-11-01,209
"481",0.6999,2022-11-17,209
"482",0.7459,2022-12-03,209
"483",0.7203,2022-12-19,209
"484",0.5996,2020-01-01,207
"485",0.5931,2020-01-17,207
"486",0.6172,2020-02-02,207
"487",0.4819,2020-02-18,207
"488",0.5123,2020-03-05,207
"489",0.4912,2020-03-21,207
"490",0.4898,2020-04-06,207
"491",0.4533,2020-04-22,207
"492",0.5715,2020-05-08,207
"493",0.6435,2020-05-24,207
"494",0.1914,2020-06-09,207
"495",0.598,2020-06-25,207
"496",0.6513,2020-07-11,207
"497",0.6906,2020-07-27,207
"498",0.7111,2020-08-12,207
"499",0.5632,2020-08-28,207
"500",0.7065,2020-09-13,207
"501",0.6304,2020-09-29,207
"502",0.5388,2020-10-15,207
"503",0.6511,2020-10-31,207
"504",0.6749,2020-11-16,207
"505",0.6228,2020-12-02,207
"506",0.6129,2020-12-18,207
"507",0.6654,2021-01-01,207
"508",0.662,2021-01-17,207
"509",0.6514,2021-02-02,207
"510",0.5124,2021-02-18,207
"511",0.5174,2021-03-06,207
"512",0.5053,2021-03-22,207
"513",0.5224,2021-04-07,207
"514",0.6394,2021-04-23,207
"515",0.6431,2021-05-09,207
"516",0.668,2021-05-25,207
"517",0.7002,2021-06-10,207
"518",0.7039,2021-06-26,207
"519",0.6104,2021-07-12,207
"520",0.7331,2021-07-28,207
"521",0.6619,2021-08-13,207
"522",0.6136,2021-08-29,207
"523",0.7126,2021-09-14,207
"524",0.8343,2021-09-30,207
"525",0.2138,2021-10-16,207
"526",0.6425,2021-11-01,207
"527",0.6622,2021-11-17,207
"528",0.6958,2021-12-03,207
"529",0.6925,2021-12-19,207
"530",0.6001,2022-01-01,207
"531",0.4801,2022-01-17,207
"532",0.5537,2022-02-02,207
"533",0.5398,2022-02-18,207
"534",0.5157,2022-03-06,207
"535",0.5602,2022-03-22,207
"536",0.491,2022-04-07,207
"537",0.5061,2022-04-23,207
"538",0.629,2022-05-09,207
"539",0.6289,2022-05-25,207
"540",0.664,2022-06-10,207
"541",0.6887,2022-06-26,207
"542",0.6597,2022-07-12,207
"543",0.6561,2022-07-28,207
"544",0.6039,2022-08-13,207
"545",0.6156,2022-08-29,207
"546",0.627,2022-09-14,207
"547",0.6815,2022-09-30,207
"548",0.5459,2022-10-16,207
"549",0.6815,2022-11-01,207
"550",0.7563,2022-11-17,207
"551",0.6593,2022-12-03,207
"552",0.55,2022-12-19,207
"553",0.6802,2020-01-01,208
"554",0.6955,2020-01-17,208
"555",0.7112,2020-02-02,208
"556",0.6859,2020-02-18,208
"557",0.5952,2020-03-05,208
"558",0.5797,2020-03-21,208
"559",0.6436,2020-04-06,208
"560",0.7776,2020-04-22,208
"561",0.3282,2020-05-08,208
"562",0.8516,2020-05-24,208
"563",0.5922,2020-06-09,208
"564",0.8252,2020-06-25,208
"565",0.749,2020-07-11,208
"566",0.7421,2020-07-27,208
"567",0.6632,2020-08-12,208
"568",0.7304,2020-08-28,208
"569",0.4336,2020-09-13,208
"570",0.6316,2020-09-29,208
"571",0.4871,2020-10-15,208
"572",0.8968,2020-10-31,208
"573",0.743,2020-11-16,208
"574",0.7467,2020-12-02,208
"575",0.7744,2020-12-18,208
"576",0.7165,2021-01-01,208
"577",0.6353,2021-01-17,208
"578",0.6184,2021-02-02,208
"579",0.6319,2021-02-18,208
"580",0.5143,2021-03-06,208
"581",0.5447,2021-03-22,208
"582",0.5208,2021-04-07,208
"583",0.6593,2021-04-23,208
"584",0.6696,2021-05-09,208
"585",0.8216,2021-05-25,208
"586",0.8077,2021-06-10,208
"587",0.7969,2021-06-26,208
"588",0.7346,2021-07-12,208
"589",0.6264,2021-07-28,208
"590",0.7137,2021-08-13,208
"591",0.7906,2021-08-29,208
"592",0.8198,2021-09-14,208
"593",0.2525,2021-09-30,208
"594",0.6611,2021-10-16,208
"595",0.7424,2021-11-01,208
"596",0.7544,2021-11-17,208
"597",0.6805,2021-12-03,208
"598",0.6606,2021-12-19,208
"599",0.6654,2022-01-01,208
"600",0.6444,2022-01-17,208
"601",0.6222,2022-02-02,208
"602",0.6133,2022-02-18,208
"603",0.619,2022-03-06,208
"604",0.539,2022-03-22,208
"605",0.6648,2022-04-07,208
"606",0.5815,2022-04-23,208
"607",0.837,2022-05-09,208
"608",0.743,2022-05-25,208
"609",0.839,2022-06-10,208
"610",0.585,2022-06-26,208
"611",0.8335,2022-07-12,208
"612",0.0769,2022-07-28,208
"613",0.7047,2022-08-13,208
"614",0.7146,2022-08-29,208
"615",0.7644,2022-09-14,208
"616",0.7271,2022-09-30,208
"617",0.6695,2022-10-16,208
"618",0.3308,2022-11-01,208
"619",0.7512,2022-11-17,208
"620",0.7683,2022-12-03,208
"621",0.675,2022-12-19,208
"622",0.8634,2020-01-01,216
"623",0.2175,2020-01-17,216
"624",0.8575,2020-02-02,216
"625",0.8443,2020-02-18,216
"626",0.8576,2020-03-05,216
"627",0.8371,2020-03-21,216
"628",0.8125,2020-04-06,216
"629",0.5719,2020-04-22,216
"630",0.8536,2020-05-08,216
"631",0.8878,2020-05-24,216
"632",0.6241,2020-06-09,216
"633",0.8468,2020-06-25,216
"634",0.8631,2020-07-11,216
"635",0.6352,2020-07-27,216
"636",0.8257,2020-08-12,216
"637",0.8666,2020-08-28,216
"638",0.8948,2020-09-13,216
"639",0.755,2020-09-29,216
"640",0.8606,2020-10-15,216
"641",0.8816,2020-10-31,216
"642",0.7612,2020-11-16,216
"643",0.8695,2020-12-02,216
"644",0.8529,2020-12-18,216
"645",0.8391,2021-01-01,216
"646",0.8037,2021-01-17,216
"647",0.8352,2021-02-02,216
"648",0.8418,2021-02-18,216
"649",0.8413,2021-03-06,216
"650",0.7435,2021-03-22,216
"651",0.784,2021-04-07,216
"652",0.8549,2021-04-23,216
"653",0.8446,2021-05-09,216
"654",0.8642,2021-05-25,216
"655",0.815,2021-06-10,216
"656",0.8298,2021-06-26,216
"657",0.5352,2021-07-12,216
"658",0.7438,2021-07-28,216
"659",0.9318,2021-08-13,216
"660",0.773,2021-08-29,216
"661",0.8495,2021-09-14,216
"662",0.807,2021-09-30,216
"663",0.8051,2021-10-16,216
"664",0.8937,2021-11-01,216
"665",0.9168,2021-11-17,216
"666",0.8719,2021-12-03,216
"667",0.8361,2021-12-19,216
"668",0.8561,2022-01-01,216
"669",0.8512,2022-01-17,216
"670",0.8451,2022-02-02,216
"671",0.8295,2022-02-18,216
"672",0.7585,2022-03-06,216
"673",0.7798,2022-03-22,216
"674",0.6623,2022-04-07,216
"675",0.7182,2022-04-23,216
"676",0.7756,2022-05-09,216
"677",0.7767,2022-05-25,216
"678",0.818,2022-06-10,216
"679",0.6741,2022-06-26,216
"680",0.7997,2022-07-12,216
"681",0.8411,2022-07-28,216
"682",0.8648,2022-08-13,216
"683",0.8242,2022-08-29,216
"684",0.818,2022-09-14,216
"685",0.4485,2022-09-30,216
"686",0.8333,2022-10-16,216
"687",0.7769,2022-11-01,216
"688",0.8745,2022-11-17,216
"689",0.8422,2022-12-03,216
"690",0.8656,2022-12-19,216
"691",0.6732,2020-01-01,210
"692",0.6165,2020-01-17,210
"693",0.8285,2020-02-02,210
"694",0.8265,2020-02-18,210
"695",0.8373,2020-03-05,210
"696",0.7999,2020-03-21,210
"697",0.5778,2020-04-06,210
"698",0.8086,2020-04-22,210
"699",0.5735,2020-05-08,210
"700",0.7353,2020-05-24,210
"701",0.7878,2020-06-09,210
"702",0.801,2020-06-25,210
"703",0.3079,2020-07-11,210
"704",0.7574,2020-07-27,210
"705",0.8836,2020-08-12,210
"706",0.7558,2020-08-28,210
"707",0.8013,2020-09-13,210
"708",0.8128,2020-09-29,210
"709",0.8328,2020-10-15,210
"710",0.7768,2020-10-31,210
"711",0.4136,2020-11-16,210
"712",0.8208,2020-12-02,210
"713",0.8235,2020-12-18,210
"714",0.7391,2021-01-01,210
"715",0.8104,2021-01-17,210
"716",0.8288,2021-02-02,210
"717",0.8008,2021-02-18,210
"718",0.8047,2021-03-06,210
"719",0.6054,2021-03-22,210
"720",0.5983,2021-04-07,210
"721",0.6005,2021-04-23,210
"722",0.5422,2021-05-09,210
"723",0.8316,2021-05-25,210
