"","week","507","112","201","110","306","106","205","504","402","407","603","505","301","506","610","608","118","103","117","308","102","602","408","611","108","203","215","706","401","511","304","510","303","120","501","701","214","705","115","604","107","114","509","206","502","307","209","605","207","302","609","702","208","601","104","119","606","216","210","406","101","204","409","405","202","109","404","503","403","410","212","703","704","105","113","508","305","116","213","111","211"
"1","2020-1",33.594887,26.761051,26.218884,23.84973,21.481771,23.22728,27.820639,33.559715,24.039742,27.140657,30.251184,34.20788,24.224207,33.606564,33.634804,25.986307,24.988743,23.25996,21.669859,21.47904,26.149607,31.297749,26.644302,31.476261,23.503084,26.943682,33.03782,31.783941,21.774736,31.052216,26.00249,31.782942,23.860308,23.712072,33.333775,26.264986,33.126175,31.909616,24.988743,28.640512,27.723799,24.363106,29.980316,26.135256,32.84077,22.182285,31.505785,33.50788,27.151934,23.134426,33.127586,32.507553,24.63757,30.810099,28.29385,27.831348,32.362453,31.27713,32.403896,24.363106,26.149607,29.065514,25.693335,24.657927,27.651852,26.47056,24.039742,32.384655,25.693335,32.431793,23.881977,31.719328,26.883684,26.803133,25.693335,28.804657,26.670734,29.783297,32.824413,22.833206,25.231253
"2","2020-2",33.40129,26.99678,25.717281,23.512331,20.75351,23.251402,28.015438,32.741924,23.48355,26.785393,30.256987,33.720234,23.854132,32.972065,34.273888,26.000765,24.647453,22.900057,21.315462,21.063124,25.863956,32.118977,26.194614,32.297188,22.962576,26.531322,31.762884,31.229813,21.139486,32.053974,25.21255,31.118336,23.480001,23.614353,32.492416,25.110918,31.694725,31.120695,24.647453,28.888754,27.58238,23.798859,30.894264,25.852783,33.326225,21.413225,32.26129,33.641365,27.125195,22.537127,33.64236,31.472612,24.03229,31.875818,28.762707,27.698303,32.52024,30.309372,31.449152,23.798859,25.863956,29.645666,25.253328,24.129972,27.199217,26.160992,23.48355,32.839867,25.253328,31.817102,23.298376,30.885206,25.366373,26.600014,25.253328,27.945536,25.439833,30.476116,31.714626,22.139393,24.605642
"3","2020-3",33.50429,27.509012,25.324696,23.732115,20.75333,23.673141,28.345518,33.029182,23.194904,26.559752,30.144592,34.012867,23.996748,33.11639,34.28497,25.862074,24.650085,23.16357,21.790956,21.332687,25.828083,32.659187,25.884962,32.947666,22.902885,26.168587,32.05813,30.418056,20.86184,32.430595,25.282764,31.716024,23.493319,24.02291,32.934303,24.406807,31.945242,30.062613,24.650085,29.46545,27.883778,23.65611,31.282495,25.662575,33.614304,21.274288,32.80496,34.148518,27.42484,22.755047,34.10689,30.947369,23.609842,32.17534,29.243591,28.085966,33.05345,29.992651,31.337109,23.65611,25.828083,30.113756,25.124464,23.931961,27.319363,26.159563,23.194904,32.91794,25.124464,31.253063,22.920414,30.015463,25.362116,27.138475,25.124464,28.160503,25.099697,31.054762,32.11463,22.010365,24.375652
"4","2020-4",33.10598,26.565441,25.060808,23.40454,20.726233,23.065037,27.836658,33.023613,22.841326,26.357775,29.141043,33.97813,23.82258,32.880733,32.90454,24.971825,24.399998,22.905882,21.40481,21.119068,25.548168,32.266144,25.687664,31.989319,22.694746,25.911764,32.251923,30.306023,20.556767,32.146885,25.232033,31.628557,23.26918,23.547054,32.862076,24.774866,32.47158,30.317099,24.399998,28.925926,27.326258,23.372286,31.006598,25.2887,33.51466,21.09077,32.114452,33.204895,26.857393,22.769367,33.11508,30.824127,23.308043,31.69789,28.286978,27.362837,32.49422,29.834955,31.25217,23.372286,25.548168,29.564144,24.903118,23.675913,26.764853,25.865273,22.841326,32.942204,24.903118,30.688322,22.625263,30.143246,25.22223,26.679178,24.903118,27.848427,25.490942,30.095198,32.095943,21.778986,23.97455
"5","2020-5",33.36631,27.061544,26.347961,24.097845,21.868708,23.43447,27.845247,34.460335,24.273813,27.082739,29.951302,33.683556,24.585644,34.207664,34.14733,26.216383,25.434996,23.525696,21.947865,21.691826,26.39838,31.43696,26.635603,31.70399,23.960833,27.063309,33.83135,31.967516,22.20701,30.775604,26.387781,32.806046,24.427727,23.95501,33.991642,26.061213,33.96627,31.69322,25.434996,28.689884,27.7458,24.749765,29.843168,26.550137,32.406147,22.507399,31.625397,33.952393,27.168526,23.513144,33.445915,33.05927,25.010302,30.700745,28.500301,27.89455,33.067406,31.83078,33.111145,24.749765,26.39838,29.118406,25.909782,24.836725,28.340782,26.717125,24.273813,31.452557,25.909782,33.055725,24.544422,31.69092,26.921013,27.227749,25.909782,29.402632,27.026358,29.903278,33.32345,23.24303,26.122402
"6","2020-6",35.44977,28.187855,27.180481,25.05993,21.605486,24.533619,29.327808,35.328606,24.985462,28.126493,30.080433,36.539864,24.616463,35.38197,34.201817,26.115982,25.965715,24.317307,22.212225,21.95675,27.19776,33.27927,27.57165,33.374325,23.936995,27.958221,34.401413,31.071428,22.722664,33.342648,25.760303,33.284863,24.394659,24.876408,35.082714,24.985332,34.41679,30.679962,25.965715,30.791939,28.936462,25.190285,32.393536,27.304085,34.81245,22.376223,33.353992,34.384815,28.523273,23.261845,34.506313,32.28387,25.617567,33.508667,29.822212,28.146582,33.35406,31.53502,33.115395,25.190285,27.19776,30.860683,26.610514,25.546406,29.034395,27.570768,24.985462,34.541824,26.610514,32.153263,24.973776,30.416752,25.671726,27.699741,26.610514,30.589706,26.131557,31.660294,34.245003,23.159918,26.229076
"7","2020-7",34.828102,28.357218,26.344599,24.59383,20.707113,24.467447,29.295193,34.659878,24.079216,27.354807,30.068825,36.01362,24.113655,34.645214,34.40308,25.996777,25.206676,23.930628,22.072206,21.733503,26.538174,33.918156,26.715546,33.871395,22.990665,27.23892,33.632153,30.492178,21.796728,33.788002,25.044422,32.768215,23.598007,24.740223,34.439667,24.243214,33.591763,30.158148,25.206676,30.898092,28.71775,24.21438,32.901188,26.886461,34.874046,21.328129,33.786625,34.429478,28.42051,22.819128,34.67971,31.309135,24.75543,33.90828,30.112295,28.10371,33.487778,30.819094,32.262875,24.21438,26.538174,31.375877,25.738966,24.607204,28.69467,26.97053,24.079216,34.452305,25.738966,31.477816,24.277525,29.768251,24.944384,27.62772,25.738966,29.900068,25.36262,32.130806,33.759808,22.134747,25.632563
"8","2020-8",34.85596,28.420704,26.275667,24.633482,20.872816,24.716005,29.681906,34.545513,24.051418,27.295135,30.339108,35.788544,24.240229,34.493282,34.635155,26.332857,25.254854,24.032536,22.287844,21.860577,26.531952,34.86006,26.650461,34.496414,23.048044,27.180681,33.407166,30.439627,21.802141,33.821945,25.247484,32.64174,23.674078,25.01504,34.32722,23.933311,33.365974,29.863354,25.254854,31.382143,28.806612,24.211723,32.75009,26.959648,34.83477,21.429182,34.59385,34.86953,28.725815,22.96729,35.04513,31.13731,24.706686,34.398952,30.52349,28.304827,33.507656,30.574574,32.005783,24.211723,26.531952,31.998268,25.724157,24.585148,28.990208,26.941454,24.051418,34.276104,25.724157,31.43024,24.32034,29.712692,24.738308,27.785591,25.724157,29.764584,25.44318,32.760315,33.58863,22.197018,25.81416
"9","2020-9",35.434032,28.564558,27.078623,25.078638,21.782015,25.109865,30.249214,35.414013,24.953259,27.981897,30.630062,36.01263,24.705915,35.50324,34.180958,26.593307,25.974821,24.408138,22.555668,22.254713,27.085123,34.547512,27.476662,34.01353,24.004833,27.960186,34.025017,31.200592,22.825146,34.140705,26.048569,33.632584,24.452827,25.328485,35.27123,25.396112,34.116047,30.737337,25.974821,31.621185,29.216827,25.233845,33.198624,27.561947,35.10687,22.508106,34.34306,34.739605,29.4463,23.496061,34.839184,32.07037,25.578285,33.91502,30.411196,28.335537,33.52789,31.86713,33.035664,25.233845,27.085123,32.076912,26.546795,25.511992,29.373007,27.492514,24.953259,34.146805,26.546795,32.436367,25.098856,30.382862,26.027971,28.006763,26.546795,30.652775,26.550674,32.472237,34.20955,23.269989,26.531244
