index,0,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,301,302,303,304,305,306,307,308,401,402,403,404,405,406,407,408,409,410,501,502,503,504,505,506,507,508,509,510,511,601,602,603,604,605,606,607,608,609,610,611,701,702,703,704,705,706
2020-1,5033779.784434813,348109.3843409844,69483.16218110264,239235.5905431053,38313.45192692091,17855.003564612394,61729.540459365395,28339.03908925714,137337.8461684274,59538.68093606008,93044.64945050958,69923.12482775348,21720.51485055678,83819.48877416784,61159.04571220826,61380.450030572945,7143.078751522079,7762.333188381829,78171.28970211431,135469.61504469058,13139.228027113688,314460.4206405169,89489.24003992966,78106.28210187441,7337.62494894604,29616.95894545607,48884.526075251495,41095.44975592389,34013.16318415057,23984.744535115497,201289.57111686497,14442.458449881742,22216.507357506427,54630.59128918194,34295.278162073795,19227.580435296004,16698.521206969406,160982.52578431656,60578.99569224976,111416.28020603422,15994.319657739827,70197.45305639112,15069.01826028291,48208.62168398437,44568.68038406453,141680.27858694096,46595.06984480325,48724.01887258385,43142.46883277649,54498.10691643769,22795.67348946618,25854.60915376209,21264.732469946746,30149.24778352603,86881.58716243121,76530.6785013679,57297.060312542664,68675.23515720587,24315.98092253727,46328.526875300115,31658.3477125229,19900.79035128273,24572.628146584862,11472.639472513714,26209.42558785592,7108.126256010203,137998.92115996339,33567.46899225051,52740.00004523913,14594.842669041227,29557.656237124294,33198.40312799806,32033.183234478583,36391.73353092828,20962.773681649694,52032.785197013174,25668.495338215944,93331.41782093607,149443.130319137,56955.22823865395,43116.50876463737,44229.17953090146,55411.809537806024
2020-2,5034157.0345009975,348121.654429244,69487.29560810784,239249.5255677409,38315.59711202179,17855.367541485328,61732.15264874618,28340.1426492985,137344.58338833612,59544.8970826165,93055.21665957873,69928.07800423844,21721.140117657866,83823.2378672189,61160.13997794634,61379.83293536679,7143.687260515378,7762.420891644376,78174.2815133718,135464.91034835816,13140.088498564097,314492.8170644825,89496.62631299344,78113.03362610776,7338.1165817539395,29619.193539249074,48888.04279565801,41099.34424471984,34017.01085564262,23987.71563807733,201314.4256877503,14443.39945015277,22218.009825804893,54636.12926841585,34302.66176830978,19229.375458705952,16701.73575764078,160987.88119523766,60581.21420814338,111423.17848425581,15993.753734495203,70193.68975957207,15069.310402940037,48210.0648166763,44570.34517521774,141692.08833254597,46600.44811331448,48727.12680287309,43147.171781619465,54503.5436578413,22797.305907974016,25856.128970843405,21266.843852916798,30149.933088052043,86904.6196127988,76542.97764602769,57301.04285259457,68686.22385281447,24319.105851602515,46337.03816507757,31660.865257329355,19901.24223021733,24573.28636904104,11472.563944603251,26213.778593361687,7108.3015054273865,138014.45317650182,33572.13190280914,52745.58499237691,14595.724598962315,29557.380168681575,33202.749342563875,32033.00367974868,36389.695673637005,20966.563093959554,52035.91585295082,25676.137704981047,93328.19078354664,149459.07625374847,56955.80639356576,43123.6990738814,44232.11789604313,55419.88499435825
2020-3,5034534.312839698,348133.92494999716,69491.42928100309,239263.46140406554,38317.74241723242,17855.731525777985,61734.76494866616,28341.246252313962,137351.3209387446,59551.11387817081,93065.7850687804,69933.03153159385,21721.76540275848,83826.98712796003,61161.23426326317,61379.21584636466,7144.295821346717,7762.508595897844,78177.27343913341,135460.20581541417,13140.949026365695,314525.216826001,89504.01319570625,78119.78573394434,7338.608247502035,29621.428301641754,48891.55976905506,41103.23910258446,34020.85896239485,23990.687109083647,201339.28332759597,14444.340511734796,22219.512395712994,54641.66780904242,34310.0469642002,19231.17064969336,16704.95092712959,160993.23678431739,60583.43280528319,111430.07718958054,15993.18783127451,70189.92666450398,15069.602551260927,48211.507992568615,44572.01002855652,141703.89906255118,46605.8270026161,48730.234931406056,43151.875243129616,54508.98094161525,22798.938443380794,25857.64887726445,21268.955445526826,30150.618408155307,86927.65816910652,76555.27876726683,57305.02566946042,68697.21430671964,24322.231182262978,46345.551018514794,31663.383002336785,19901.69411941255,24573.944609128906,11472.488417190012,26218.132321838544,7108.476759165308,138029.9869411955,33576.7954611001,52751.17053093742,14596.606582176226,29557.10410281733,33207.09612612034,32032.82412602523,36387.657930461275,20970.353191276365,52039.04669725061,25683.78234713351,93324.9638577356,149475.02388982882,56956.384554346456,43130.8905822148,44235.056456395054,55427.96162778955
2020-4,5034911.619453031,348146.19590325915,69495.56319980303,239277.3980521265,38319.88784255952,17856.095517490514,61737.37735913001,28342.349898305198,137358.05881966915,59557.331322790764,93076.35467825086,69937.98540984455,21722.390705859136,83830.7365563988,61162.3285681591,61378.59876356651,7144.90443402051,7762.596301142246,78180.2654794035,135455.50144585295,13141.809610522172,314557.61992541625,89511.4006881184,78126.53842543463,7339.099946192535,29623.663232646813,48895.07699546083,41107.13432955273,34024.70750445651,23993.658948180033,201364.14403678078,14445.28163463181,22221.015067237586,54647.206911118585,34317.4337500873,19232.966008273863,16708.16671555496,160998.59255156168,60585.65148367216,111436.9763220348,15992.621948077036,70186.16377117601,15069.89470524569,48212.951211662636,44573.67494408322,141715.71077703862,46611.206512779776,48733.34325819538,43156.57921736283,54514.41876781365,22800.571095694893,25859.168873030485,21271.067247797644,30151.30374383618,86950.70283297307,76567.58186540299,57309.00876315944,68708.20651920274,24325.35691457027,46354.06543589905,31665.900947561102,19902.146018868636,24574.602866848923,11472.412890273994,26222.486773406566,7108.652017224076,138045.52245424117,33581.459667213356,52756.75666098329,14597.488618686177,29556.828039531545,33211.44347874195,32032.644573308226,36385.620301394694,20974.143973723953,52042.17772992387,25691.42926535079,93321.7370434991,149490.97322755956,56956.96272099606,43138.08328983752,44237.995211970214,55436.03943827142
2020-5,5035288.954343116,348158.4672890452,69499.69736452228,239291.3355119711,38322.03338800981,17856.45951662307,61739.989880142406,28343.45358727389,137364.79703112593,59563.54941654413,93086.92548812644,69942.93963901541,21723.01602696036,83834.48615254265,61163.42289263448,61377.98168697227,7145.513098541174,7762.684007377592,78183.25763418648,135450.7972396688,13142.67025103722,314590.0263630721,89518.78879028028,78133.29170062904,7339.59167782765,29625.898332276985,48898.59447489356,41111.02992565963,34028.55648187685,23996.631155412084,201389.00781568384,14446.222818847815,22222.51784038555,54652.74657470126,34324.8221263134,19234.76153446312,16711.38312303603,161003.9484969765,60587.870243313286,111443.87588164513,15992.056084902073,70182.40107957738,15070.18686489443,48214.394473959655,44575.33992180015,141727.52347609034,46616.58664387718,48736.45178325372,43161.283704375004,54519.85713649063,22802.20386492468,25860.688958146762,21273.179259750075,30151.989095094996,86973.75360601758,76579.88694075386,57312.992133710904,68719.20049054515,24328.483048576007,46362.58141751768,31668.419093018227,19902.597928585812,24575.261142201573,11472.337363855191,26226.841948185847,7108.827279603796,138061.05971583567,33586.12452123892,52762.34338257715,14598.370708495397,29556.551978824187,33215.7914005032,32032.465021597665,36383.582786430874,20977.935441426165,52045.308950981926,25699.078460310546,93318.51034083328,149506.92426712226,56957.54089351468,43145.27719694957,44240.93416278157,55444.118425975415
2020-6,5035666.317512073,348170.7391073705,69503.83177517547,239305.2737836466,38324.17905359004,17856.823523175797,61742.60251170802,28344.557319221694,137371.53557313114,59569.768159498664,93097.49749854345,69947.89421913125,21723.64136606265,83838.2359163991,61164.51723668966,61377.36461658187,7146.121814913127,7762.771714603892,78186.24990348674,135446.09319685606,13143.530947914527,314622.43613931246,89526.17750224215,78140.04555957805,7340.083442409583,29628.133600544992,48902.1122073714,41114.92589094013,34032.40589470511,23999.603730825405,201413.87466468412,14447.164064386798,22224.020715163755,54658.28679984735,34332.212093220885,19236.557228276768,16714.60014969198,161009.30462056765,60590.08908420953,111450.77586843791,15991.490241748916,70178.63858969724,15070.479030207263,48215.83777946095,44577.00496170964,141739.3371597884,46621.96739597997,48739.56050659371,43165.988704222036,54525.296047700285,22803.83675107852,25862.20913261853,21275.291481404936,30152.674461932133,86996.81048985956,76592.1939936372,57316.97578113403,68730.19622102832,24331.60958433181,46371.098963658034,31670.937438724086,19903.04984856432,24575.919435187316,11472.261837933604,26231.197846296498,7109.002546304575,138076.59872617573,33590.790023266774,52767.93069578164,14599.252851607103,29556.275920695236,33220.139891478604,32032.285470893537,36381.545385563426,20981.727594506876,52048.44036043612,25706.729932690643,93315.2837497343,149522.87700869853,56958.119071902336,43152.47230375099,44243.8733088421,55452.19859107308
2020-7,5036043.708962021,348183.01135825034,69507.96643177724,239319.21286720032,38326.324839306915,17857.187537148853,61745.215253831535,28345.661094150302,137378.274445701,59575.98755172217,93108.07070963827,69952.84915021698,21724.26672316655,83841.98584797568,61165.611600324984,61376.74755239527,7146.730583140785,7762.859422821159,78189.24228730865,135441.38931740908,13144.391701157787,314654.84925448126,89533.56682405437,78146.80000233211,7340.575239940542,29630.369037463555,48905.630192912606,41118.82222542923,34036.25574299054,24002.576674465607,201438.74458416068,14448.105371252754,22225.523691579077,54663.8275866138,34339.60365115224,19238.353089730463,16717.817795642004,161014.6609223412,60592.30800636386,111457.6762824396,15990.92441861685,70174.8763015248,15070.771201184298,48217.281128167815,44578.670063814,141751.15182821493,46627.34876915984,48742.66942822801,43170.694216959826,54530.73550149675,22805.469754164802,25863.729396451046,21277.403912783047,30153.359844347924,87019.87348611906,76604.50302437083,57320.95970544808,68741.19371093372,24334.736521889317,46379.61807460756,31673.4559846946,19903.501778804373,24576.577745806637,11472.186312509226,26235.554467858663,7109.177817326518,138092.1394854582,33595.45617338695,52773.51860065941,14600.135048024515,29555.99986514467,33224.48895174267,32032.105921195845,36379.508098785955,20985.520433089987,52051.57195829779,25714.383683169137,93312.05727019827,149538.83145246995,56958.697256159125,43159.668610441826,44246.81265016476,55460.27993373601
2020-8,5036421.128695079,348195.28404169995,69512.10133434221,239333.1527626795,38328.47074516718,17857.55155854239,61747.82810651762,28346.764912061375,137385.0136488518,59582.20759328242,93118.64512154723,69957.80443229743,21724.892098272558,83845.73594727984,61166.70598354081,61376.13049441238,7147.339403228568,7762.947132029403,78192.23478565656,135436.68560132213,13145.252510770686,314687.2657089226,89540.9567557673,78153.5550289417,7341.067070422737,29632.604643045393,48909.148431535345,41122.7189291619,34040.106026782414,24005.5499863783,201463.6175744927,14449.046739449685,22227.02676963839,54669.368935057515,34346.99680044998,19240.149118839854,16721.036061005314,161020.01740230297,60594.52700977927,111464.57712367666,15990.358615505173,70171.11421504924,15071.063377825647,48218.72452008156,44580.33522811557,141762.96748145195,46632.73076348848,48745.778548169255,43175.40024264428,54536.17549793415,22807.102874191893,25865.24974964956,21279.516553905236,30154.045242342738,87042.94259641645,76616.81403327257,57324.94390667228,68752.19296054284,24337.863861300157,46388.138750653736,31675.974730945694,19903.953719306228,24577.23607406,11472.110787582056,26239.91181299248,7109.353092669734,138107.68199387993,33600.12297168946,52779.10709727312,14601.017297750856,29555.72381217246,33228.83858136995,32031.92637250458,36377.470926092086,20989.313957299408,52054.70374457827,25722.0397124243,93308.83090222138,149554.78759861816,56959.275446285064,43166.866117222184,44249.75218676255,55468.36245413581
2020-9,5036798.576713367,348207.55715773464,69516.23648288501,239347.0934701315,38330.61677117754,17857.915587356554,61750.44106977098,28347.868772956597,137391.75318259967,59588.42828424723,93129.22073440674,69962.76006539747,21725.5174913812,83849.48621431914,61167.800386337476,61375.51344263316,7147.948275180889,7763.034842228635,78195.2273985349,135431.98204858956,13146.113376756923,314719.6855029803,89548.3472974312,78160.31063945727,7341.558933858373,29634.840417303247,48912.66692325786,41126.61600217314,34043.95674612999,24008.523666609104,201488.49363605937,14449.988168981583,22228.529949348558,54674.91084523546,34354.39154145673,19241.94531562059,16724.254945901157,161025.37406045894,60596.746094458715,111471.47839217556,15989.792832413175,70167.35233025973,15071.355560131411,48220.16795520348,44582.00045461667,141774.78411958163,46638.11337903756,48748.88786643011,43180.10678133133,54541.616037066604,22808.736111168164,25866.77019221932,21281.629404792326,30154.730655916923,87066.0178223726,76629.12702066038,57328.92838482589,68763.19397013732,24340.99160261598,46396.66099208407,31678.493677493305,19904.405670070104,24577.894419947886,11472.035263152087,26244.26988181814,7109.528372334326,138123.22625163774,33604.790418264354,52784.696185685425,14601.899600789344,29555.44776177858,33233.18878043497,32031.74682481973,36375.43386747541,20993.10816725908,52057.8357192889,25729.6980211346,93305.60464579973,149570.74544732482,56959.85364228025,43174.0648242922,44252.69191864842,55476.44615244413
