"","  0","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","301","302","303","304","305","306","307","308","401","402","403","404","405","406","407","408","409","410","501","502","503","504","505","506","507","508","509","510","511","601","602","603","604","605","606","607","608","609","610","611","612","613","701","702","703","704","705","706","week"
"1",5036673.17052459,348187.065286885,69508.1950245902,239371.046868852,38334.2468278689,17861.0367459016,61766.1599344262,28349.162704918,137400.135631148,59583.1845491803,93123.481352459,69972.2150983607,21733.1816885246,83850.3409180328,61181.8832540984,61387.9266639344,7147.08036885246,7765.41342622951,78206.1637131148,135464.117811475,13148.0760737705,314640.97652459,89503.1975819672,78149.0660737705,7341.66064754098,29632.3415983607,48908.7567786885,41125.2155737705,34034.3530245902,24000.0555163934,201486.410647541,14452.5467868852,22228.1008360656,54686.2942459016,34338.5643196721,19246.4168114754,16712.2834016393,161048.353336066,60613.8066803279,111483.593622951,15994.7804098361,70194.0915081967,15074.735204918,48232.9863278688,44592.0522213115,141755.923901639,46632.1159590164,48750.4416721311,43180.2767868852,54530.6950409836,22811.7501311475,25874.3463442623,21283.7073770492,30162.8729344262,87002.6466229508,76621.096942623,57320.5810655738,68742.6363770492,24335.886795082,46373.4876557377,31686.7605737705,19907.3776557377,24584.1106557377,11482.1756967213,26253.4370327869,7102.04503278688,138065.888704918,33590.7839180328,52785.4607459016,14600.925,29567.6053196721,33230.2705819672,32047.8575163934,36396.9317622951,20980.9879918033,52067.4970245902,25712.2325573771,4737.0745,12663.1942131148,93348.0636639344,149589.679737705,56918.055352459,43167.0622459016,44265.9713852459,55482.4982622951,"2020-1"
"2",5037254.76613661,348205.384038251,69514.3218032787,239393.593715847,38337.7157103825,17861.7183661202,61770.8031912568,28350.9263606557,137410.919284153,59592.646273224,93139.6815136612,69980.2628797814,21734.4378251366,83856.200989071,61184.1066338798,61387.4263551913,7147.99371584699,7765.63792349727,78211.220295082,135457.986174863,13149.4860765027,314688.385803279,89513.0023442623,78159.1397431694,7342.4284863388,29635.7215464481,48914.0771038251,41131.2140765027,34039.9734699454,24004.3558688525,201524.931819672,14454.1040382514,22230.4199781421,54695.3186994535,34349.430442623,19249.3711748634,16716.8274535519,161057.531311475,60617.8878907104,111494.764016393,15994.0843879781,70189.2236010929,15075.3146939891,48235.7050437158,44595.0128961749,141773.575453552,46640.2469945355,48755.3296229508,43187.5880382514,54538.7363387978,22814.3986174863,25876.9892459016,21287.0643169399,30164.2401912568,87036.0000163934,76639.8901256831,57326.4611420765,68758.9316502732,24340.5503060109,46385.836420765,31690.9787431694,19908.190420765,24585.364420765,11482.4337595628,26260.5327377049,7102.04040437158,138087.889360656,33597.504989071,52794.1643661202,14602.2596666667,29567.6261092896,33236.9113442623,32048.1748688525,36394.555568306,20986.4193989071,52072.7208032787,25723.4262076503,4737.568,12668.044295082,93344.6140218579,149615.150098361,56917.4065136612,43177.9626994536,44271.0299180328,55495.259568306,"2020-2"
"3",5037836.36174863,348223.702789617,69520.4485819672,239416.140562842,38341.1845928962,17862.3999863388,61775.4464480874,28352.6900163934,137421.702937158,59602.1079972678,93155.8816748634,69988.3106612022,21735.6939617486,83862.0610601093,61186.3300136612,61386.9260464481,7148.90706284153,7765.86242076503,78216.2768770492,135451.854538251,13150.896079235,314735.795081967,89522.8071065574,78169.2134125683,7343.19632513661,29639.1014945355,48919.3974289617,41137.212579235,34045.5939153005,24008.6562213115,201563.452991803,14455.6612896175,22232.7391202186,54704.3431530055,34360.2965655738,19252.3255382514,16721.3715054645,161066.709286885,60621.9691010929,111505.934409836,15993.3883661202,70184.3556939891,15075.8941830601,48238.4237595628,44597.9735710383,141791.227005464,46648.3780300546,48760.2175737705,43194.8992896175,54546.777636612,22817.0471038251,25879.632147541,21290.4212568306,30165.6074480874,87069.3534098361,76658.6833087432,57332.3412185792,68775.2269234973,24345.2138169399,46398.1851857924,31695.1969125683,19909.0031857923,24586.6181857923,11482.6918224044,26267.628442623,7102.03577595628,138109.890016393,33604.2260601093,52802.8679863388,14603.5943333333,29567.6468989071,33243.5521065574,32048.4922213115,36392.1793743169,20991.8508060109,52077.9445819672,25734.6198579235,4738.0615,12672.8943770492,93341.1643797814,149640.620459016,56916.7576748634,43188.8631530055,44276.0884508197,55508.0208743169,"2020-3"
"4",5038417.95736066,348242.021540984,69526.5753606557,239438.687409836,38344.6534754098,17863.0816065574,61780.089704918,28354.4536721311,137432.486590164,59611.5697213115,93172.0818360656,69996.3584426229,21736.9500983607,83867.9211311476,61188.5533934426,61386.4257377049,7149.82040983607,7766.08691803279,78221.3334590164,135445.722901639,13152.3060819672,314783.204360656,89532.6118688525,78179.2870819672,7343.96416393443,29642.4814426229,48924.7177540984,41143.2110819672,34051.2143606557,24012.9565737705,201601.974163934,14457.2185409836,22235.0582622951,54713.3676065574,34371.1626885246,19255.2799016393,16725.9155573771,161075.887262295,60626.0503114754,111517.104803279,15992.6923442623,70179.4877868852,15076.4736721311,48241.1424754098,44600.9342459016,141808.878557377,46656.5090655738,48765.1055245902,43202.2105409836,54554.8189344262,22819.6955901639,25882.2750491803,21293.7781967213,30166.974704918,87102.7068032787,76677.4764918033,57338.221295082,68791.5221967213,24349.8773278689,46410.5339508197,31699.4150819672,19909.8159508197,24587.8719508197,11482.9498852459,26274.724147541,7102.03114754098,138131.890672131,33610.9471311475,52811.5716065574,14604.929,29567.6676885246,33250.1928688525,32048.8095737705,36389.8031803279,20997.2822131148,52083.1683606557,25745.8135081967,4738.555,12677.7444590164,93337.7147377049,149666.090819672,56916.1088360656,43199.7636065574,44281.1469836066,55520.7821803279,"2020-4"
"5",5038999.55297268,348260.34029235,69532.7021393443,239461.234256831,38348.1223579235,17863.763226776,61784.7329617486,28356.2173278689,137443.270243169,59621.0314453552,93188.2819972678,70004.4062240437,21738.2062349727,83873.7812021858,61190.776773224,61385.9254289617,7150.7337568306,7766.31141530055,78226.3900409836,135439.591265027,13153.7160846995,314830.613639344,89542.4166311475,78189.3607513661,7344.73200273224,29645.8613907104,48930.038079235,41149.2095846995,34056.8348060109,24017.2569262295,201640.495336066,14458.7757923497,22237.3774043716,54722.3920601093,34382.0288114754,19258.2342650273,16730.4596092896,161085.065237705,60630.1315218579,111528.275196721,15991.9963224044,70174.6198797814,15077.0531612022,48243.8611912568,44603.894920765,141826.53010929,46664.6401010929,48769.9934754098,43209.5217923497,54562.8602322404,22822.3440765027,25884.9179508197,21297.135136612,30168.3419617486,87136.0601967213,76696.2696748634,57344.1013715847,68807.8174699454,24354.5408387978,46422.882715847,31703.6332513661,19910.628715847,24589.125715847,11483.2079480874,26281.819852459,7102.02651912568,138153.891327869,33617.6682021858,52820.275226776,14606.2636666667,29567.6884781421,33256.8336311475,32049.1269262295,36387.4269863388,21002.7136202186,52088.3921393443,25757.0071584699,4739.0485,12682.5945409836,93334.2650956284,149691.561180328,56915.4599972678,43210.6640601093,44286.2055163934,55533.5434863388,"2020-5"
"6",5039581.1485847,348278.659043716,69538.8289180328,239483.781103825,38351.5912404372,17864.4448469945,61789.3762185792,28357.9809836066,137454.053896175,59630.4931693989,93204.48215847,70012.4540054645,21739.4623715847,83879.6412732241,61193.0001530055,61385.4251202186,7151.64710382514,7766.53591256831,78231.4466229508,135433.459628415,13155.1260874317,314878.022918033,89552.2213934426,78199.434420765,7345.49984153005,29649.2413387978,48935.3584043716,41155.2080874317,34062.4552513661,24021.5572786885,201679.016508197,14460.3330437158,22239.6965464481,54731.4165136612,34392.8949344262,19261.1886284153,16735.0036612022,161094.243213115,60634.2127322404,111539.445590164,15991.3003005464,70169.7519726776,15077.6326502732,48246.5799071038,44606.8555956284,141844.181661202,46672.771136612,48774.8814262295,43216.8330437158,54570.9015300546,22824.9925628415,25887.560852459,21300.4920765027,30169.7092185792,87169.4135901639,76715.0628579235,57349.9814480874,68824.1127431694,24359.2043497268,46435.2314808743,31707.851420765,19911.4414808743,24590.3794808743,11483.466010929,26288.915557377,7102.02189071038,138175.891983607,33624.389273224,52828.9788469945,14607.5983333333,29567.7092677596,33263.4743934426,32049.4442786885,36385.0507923497,21008.1450273224,52093.6159180328,25768.2008087432,4739.542,12687.4446229508,93330.8154535519,149717.031540984,56914.8111584699,43221.5645136612,44291.2640491803,55546.3047923497,"2020-6"
"7",5040162.74419672,348296.977795082,69544.9556967213,239506.32795082,38355.0601229508,17865.1264672131,61794.0194754098,28359.7446393443,137464.83754918,59639.9548934426,93220.6823196721,70020.5017868852,21740.7185081967,83885.5013442623,61195.2235327869,61384.9248114754,7152.56045081967,7766.76040983607,78236.503204918,135427.327991803,13156.5360901639,314925.432196721,89562.0261557377,78209.5080901639,7346.26768032787,29652.6212868852,48940.6787295082,41161.2065901639,34068.0756967213,24025.8576311475,201717.537680328,14461.890295082,22242.0156885246,54740.4409672131,34403.7610573771,19264.1429918033,16739.5477131148,161103.421188525,60638.2939426229,111550.615983607,15990.6042786885,70164.8840655738,15078.2121393443,48249.2986229508,44609.8162704918,141861.833213115,46680.9021721311,48779.7693770492,43224.144295082,54578.9428278689,22827.6410491803,25890.2037540984,21303.8490163934,30171.0764754098,87202.7669836066,76733.8560409836,57355.8615245902,68840.4080163934,24363.8678606557,46447.5802459016,31712.0695901639,19912.2542459016,24591.6332459016,11483.7240737705,26296.0112622951,7102.01726229508,138197.892639344,33631.1103442623,52837.6824672131,14608.933,29567.7300573771,33270.1151557377,32049.7616311475,36382.6745983607,21013.5764344262,52098.8396967213,25779.3944590164,4740.0355,12692.294704918,93327.3658114754,149742.501901639,56914.1623196721,43232.4649672131,44296.3225819672,55559.0660983607,"2020-7"
"8",5040744.33980874,348315.296546448,69551.0824754098,239528.874797814,38358.5290054645,17865.8080874317,61798.6627322404,28361.508295082,137475.621202186,59649.4166174863,93236.8824808743,70028.549568306,21741.9746448087,83891.3614153005,61197.4469125683,61384.4245027322,7153.47379781421,7766.98490710383,78241.5597868852,135421.196355191,13157.9460928962,314972.84147541,89571.8309180328,78219.5817595628,7347.03551912568,29656.0012349727,48945.9990546448,41167.2050928962,34073.6961420765,24030.1579836066,201756.058852459,14463.4475464481,22244.3348306011,54749.465420765,34414.6271803279,19267.0973551913,16744.0917650273,161112.599163934,60642.3751530055,111561.786377049,15989.9082568306,70160.0161584699,15078.7916284153,48252.0173387978,44612.7769453552,141879.484765027,46689.0332076503,48784.6573278689,43231.4555464481,54586.9841256831,22830.2895355191,25892.8466557377,21307.2059562842,30172.4437322404,87236.1203770492,76752.6492240437,57361.7416010929,68856.7032896175,24368.5313715847,46459.929010929,31716.2877595628,19913.067010929,24592.887010929,11483.982136612,26303.1069672131,7102.01263387978,138219.893295082,33637.8314153005,52846.3860874317,14610.2676666667,29567.7508469945,33276.7559180328,32050.0789836066,36380.2984043716,21019.0078415301,52104.0634754098,25790.5881092896,4740.529,12697.1447868852,93323.9161693989,149767.972262295,56913.5134808743,43243.365420765,44301.3811147541,55571.8274043716,"2020-8"
"9",5041325.93542076,348333.615297814,69557.2092540984,239551.421644809,38361.9978879781,17866.4897076503,61803.305989071,28363.2719508197,137486.404855191,59658.87834153,93253.0826420765,70036.5973497268,21743.2307814208,83897.2214863388,61199.6702923497,61383.9241939891,7154.38714480874,7767.20940437159,78246.6163688525,135415.064718579,13159.3560956284,315020.250754098,89581.6356803279,78229.6554289617,7347.8033579235,29659.3811830601,48951.3193797814,41173.2035956284,34079.3165874317,24034.4583360656,201794.58002459,14465.0047978142,22246.6539726776,54758.4898743169,34425.4933032787,19270.0517185792,16748.6358169399,161121.777139344,60646.456363388,111572.956770492,15989.2122349727,70155.1482513661,15079.3711174863,48254.7360546448,44615.7376202186,141897.13631694,46697.1642431694,48789.5452786885,43238.7667978142,54595.0254234973,22832.9380218579,25895.489557377,21310.5628961749,30173.810989071,87269.4737704918,76771.4424071038,57367.6216775956,68872.9985628415,24373.1948825137,46472.2777759563,31720.5059289617,19913.8797759563,24594.1407759563,11484.2401994536,26310.2026721311,7102.00800546448,138241.89395082,33644.5524863388,52855.0897076503,14611.6023333333,29567.771636612,33283.3966803279,32050.3963360656,36377.9222103825,21024.4392486339,52109.2872540984,25801.7817595628,4741.0225,12701.9948688525,93320.4665273224,149793.442622951,56912.8646420765,43254.2658743169,44306.439647541,55584.5887103825,"2020-9"
