"","lst","fecha","ID"
"168",28.51,2020-08-28,205
"169",-273.15,2020-09-05,205
"170",26.49,2020-09-13,205
"171",28.37,2020-09-21,205
"172",-273.15,2020-09-29,205
"173",28.31,2020-10-07,205
"174",28.93,2020-10-15,205
"175",-273.15,2020-10-23,205
"176",-273.15,2020-10-31,205
"177",26.85,2020-11-08,205
"178",-273.15,2020-11-16,205
"179",28.87,2020-11-24,205
"180",27.31,2020-12-02,205
"181",28.65,2020-12-10,205
"182",27.61,2020-12-18,205
"183",22.59,2020-12-26,205
"184",26.95,2021-01-01,205
"185",28.05,2021-01-09,205
"186",30.51,2021-01-17,205
"187",29.71,2021-01-25,205
"188",31.67,2021-02-02,205
"189",31.23,2021-02-10,205
"190",33.55,2021-02-18,205
"191",32.33,2021-02-26,205
"192",31.91,2021-03-06,205
"193",35.29,2021-03-14,205
"194",33.53,2021-03-22,205
"195",33.21,2021-03-30,205
"196",32.2500000000001,2021-04-07,205
"197",29.11,2021-04-15,205
"198",30.1300000000001,2021-04-23,205
"199",28.99,2021-05-01,205
"200",29.6300000000001,2021-05-09,205
"201",26.5700000000001,2021-05-17,205
"202",31.35,2021-05-25,205
"203",27.6900000000001,2021-06-02,205
"204",-273.15,2021-06-10,205
"205",28.35,2021-06-18,205
"206",29.45,2021-06-26,205
"207",26.23,2021-07-04,205
"208",30.97,2021-07-12,205
"209",27.33,2021-07-20,205
"210",-273.15,2021-07-28,205
"211",26.49,2021-08-05,205
"212",27.39,2021-08-13,205
"213",26.1300000000001,2021-08-21,205
"214",26.87,2021-08-29,205
"215",26.67,2021-09-06,205
"216",26.51,2021-09-14,205
"217",32.01,2021-09-22,205
"218",28.65,2021-09-30,205
"219",26.21,2021-10-08,205
"220",24.83,2021-10-16,205
"221",26.11,2021-10-24,205
"222",29.33,2021-11-01,205
"223",27.6900000000001,2021-11-09,205
"224",28.0700000000001,2021-11-17,205
"225",27.87,2021-11-25,205
"226",29.71,2021-12-03,205
"227",29.55,2021-12-11,205
"228",30.11,2021-12-19,205
"229",29.83,2021-12-27,205
"230",28.37,2022-01-01,205
"231",30.01,2022-01-09,205
"232",30.47,2022-01-17,205
"233",32.01,2022-01-25,205
"234",31.67,2022-02-02,205
"235",32.83,2022-02-10,205
"236",33.1900000000001,2022-02-18,205
"237",33.89,2022-02-26,205
"238",34.6300000000001,2022-03-06,205
"239",35.31,2022-03-14,205
"240",31.73,2022-03-22,205
"241",31.55,2022-03-30,205
"242",32.37,2022-04-07,205
"243",32.89,2022-04-15,205
"244",27.59,2022-04-23,205
"245",31.91,2022-05-01,205
"246",29.1900000000001,2022-05-09,205
"247",29.73,2022-05-17,205
"248",26.7500000000001,2022-05-25,205
"249",-273.15,2022-06-02,205
"250",27.31,2022-06-10,205
"251",25.93,2022-06-18,205
"252",-273.15,2022-06-26,205
"253",27.93,2022-07-04,205
"254",27.99,2022-07-12,205
"255",28.85,2022-07-20,205
"256",29.11,2022-07-28,205
"257",31.01,2022-08-05,205
"258",28.59,2022-08-13,205
"259",28.89,2022-08-21,205
"260",28.99,2022-08-29,205
"261",28.2500000000001,2022-09-06,205
"262",-273.15,2022-09-14,205
"263",27.49,2022-09-22,205
"264",28.29,2022-09-30,205
"265",-273.15,2022-10-08,205
"266",28.37,2022-10-24,205
"267",27.47,2022-11-01,205
"268",28.51,2022-11-09,205
"269",26.81,2022-11-17,205
"270",26.77,2022-11-25,205
"271",25.17,2022-12-03,205
"272",27.23,2022-12-11,205
"273",26.97,2022-12-19,205
"274",29.1300000000001,2022-12-27,205
"275",29.81,2020-01-01,203
"276",31.51,2020-01-09,203
"277",30.87,2020-01-17,203
"278",30.49,2020-01-25,203
"279",32.15,2020-02-02,203
"280",33.35,2020-02-10,203
"281",36.2500000000001,2020-02-18,203
"282",36.95,2020-02-26,203
"283",37.39,2020-03-05,203
"284",36.49,2020-03-13,203
"285",38.41,2020-03-21,203
"286",37.31,2020-03-29,203
"287",41.7500000000001,2020-04-06,203
"288",34.93,2020-04-14,203
"289",33.17,2020-04-22,203
"290",39.71,2020-04-30,203
"291",31.6900000000001,2020-05-08,203
"292",-273.15,2020-05-16,203
"293",-273.15,2020-05-24,203
"294",-273.15,2020-06-01,203
"295",30.83,2020-06-09,203
"296",-273.15,2020-06-17,203
"297",28.59,2020-06-25,203
"298",32.49,2020-07-03,203
"299",31.1900000000001,2020-07-11,203
"300",-273.15,2020-07-19,203
"301",33.1900000000001,2020-07-27,203
"302",27.87,2020-08-04,203
"303",31.1900000000001,2020-08-12,203
"304",22.17,2020-08-20,203
"305",28.95,2020-08-28,203
"306",30.11,2020-09-05,203
"307",30.81,2020-09-13,203
"308",-273.15,2020-09-21,203
"309",-273.15,2020-09-29,203
"310",32.31,2020-10-07,203
"311",22.21,2020-10-15,203
"312",-273.15,2020-10-23,203
"313",-273.15,2020-10-31,203
"314",27.03,2020-11-08,203
"315",-273.15,2020-11-16,203
"316",30.15,2020-11-24,203
"317",29.6300000000001,2020-12-02,203
"318",28.7500000000001,2020-12-10,203
"319",29.35,2020-12-18,203
"320",26.6300000000001,2020-12-26,203
"321",26.31,2021-01-01,203
"322",25.99,2021-01-09,203
"323",30.37,2021-01-17,203
"324",30.6900000000001,2021-01-25,203
"325",32.65,2021-02-02,203
"326",32.89,2021-02-10,203
"327",34.53,2021-02-18,203
"328",32.37,2021-02-26,203
"329",34.11,2021-03-06,203
"330",37.71,2021-03-14,203
"331",38.09,2021-03-22,203
"332",38.79,2021-03-30,203
"333",39.53,2021-04-07,203
"334",32.35,2021-04-15,203
"335",32.1900000000001,2021-04-23,203
"336",33.71,2021-05-01,203
"337",30.6300000000001,2021-05-09,203
"338",30.6300000000001,2021-05-17,203
"339",31.35,2021-05-25,203
"340",29.6300000000001,2021-06-02,203
"341",31.27,2021-06-10,203
"342",30.29,2021-06-18,203
"343",29.53,2021-06-26,203
"344",-273.15,2021-07-04,203
"345",32.85,2021-07-12,203
"346",32.0700000000001,2021-07-20,203
"347",-273.15,2021-07-28,203
