lon,lat,canton
-84.22566877914281,10.094073304417595,Alajuela
-84.40437004985235,9.975320150514287,Atenas
-84.29950416495883,10.089459637910867,Grecia
-84.84143356730945,10.69488492854414,Guatuso
-84.6661043232443,10.884146802625347,Los Chiles
-84.38645752749451,10.114132482628802,Naranjo
-84.57791631529766,9.896385871063295,Orotina
-84.43716729050736,10.044256575820071,Palmares
-84.24093191782451,10.105849467498443,Poás
-84.20941413187313,10.408548272165216,Río Cuarto
-84.43580131240458,10.589071687753963,San Carlos
-84.54740616639346,9.959797729182378,San Mateo
-84.59660922490704,10.224966903257403,San Ramón
-84.30108294694202,10.189870859089414,Sarchí
-85.14929032901345,10.881829250960983,Upala
-84.41388281744693,10.219271182572214,Zarcero
-83.80482900012846,9.937477148472626,Alvarado
-83.92103610970754,9.81526471202071,Cartago
-83.93017952707274,9.747254138356315,El Guarco
-83.70269913194875,9.806806678266504,Jiménez
-83.98733533492697,9.911269900823918,La Unión
-83.8658656849301,10.007701022907192,Oreamuno
-83.76539909508006,9.716482965281097,Paraíso
-83.54923186390529,9.821753878695409,Turrialba
-85.00507406230518,10.247590578694894,Abangares
-85.26053471901255,10.530698411290938,Bagaces
-85.10354690831619,10.442132027355035,Cañas
-85.60235341415768,10.459993674459831,Carrillo
-85.41399827888002,9.985961054258116,Hojancha
-85.58048364631352,11.001918707120607,La Cruz
-85.49015638368135,10.69686590205969,Liberia
-85.28064207579611,9.913577748286544,Nandayure
-85.44743537832264,10.115189136843854,Nicoya
-85.68528480031924,10.24291223825872,Santa Cruz
-84.9136716034143,10.468627858141932,Tilarán
-84.11471674551024,10.075559997894425,Barva
-84.17739494939907,9.98319694523826,Belén
-84.15587095047292,10.006628670328698,Flores
-84.07464034250802,10.149613021884605,Heredia
-84.04032329099361,10.027834616905416,San Isidro
-84.09459177794015,9.994936388481555,San Pablo
-84.0789978367801,10.048199198310545,San Rafael
-84.14998771609893,10.081776137135844,Santa Bárbara
-84.06627541371971,9.985550458920436,Santo Domingo
-83.99474837036576,10.498276404408264,Sarapiquí
-83.64605796255454,10.201808539055548,Guácimo
-83.15288353269055,9.772857075071752,Limón
-83.29226419741741,10.016212255511066,Matina
-83.67875663044639,10.465129080914519,Pococí
-83.47966327380223,10.137037262819128,Siquirres
-83.08719084998144,9.476542606433151,Talamanca
-83.25052113432452,9.108424461259707,Buenos Aires
-82.93425714995419,8.549269231183368,Corredores
-82.92271358809585,8.908406326828024,Coto Brus
-84.65549964543325,9.989326496056577,Esparza
-84.61040429372137,9.71520782504555,Garabito
-83.24262262339322,8.554012793318424,Golfito
-84.72449799375076,10.123403339116836,Montes de Oro
-83.50429123490069,8.850516414093848,Osa
-84.3170395226218,9.561993995142688,Parrita
-85.01892152741308,9.888766714315658,Puntarenas
-84.05242924259188,9.423077340414803,Quepos
-84.23162108507668,9.740737410360428,Acosta
-84.11460850542299,9.887681366724795,Alajuelita
-84.13761285590842,9.744351750690965,Aserrí
-84.02785671787663,9.917482168270135,Curridabat
-84.04553397233065,9.814630640261406,Desamparados
-83.91304446085607,9.587092645438155,Dota
-84.14524023173462,9.91469488144212,Escazú
-83.98834528940289,9.95838251003187,Goicoechea
-84.07062696348378,9.695439582127158,León Cortés Castro
-84.01878559436618,9.9419800059365,Montes de Oca
-84.26984430379824,9.88418428272862,Mora
-84.01843525219141,10.010064082628727,Moravia
-83.67390963488972,9.360861944193779,Pérez Zeledón
-84.38704233213403,9.741989185554083,Puriscal
-84.10245542109253,9.935177837472262,San José
-84.18894746368338,9.920169089467763,Santa Ana
-84.04495838770744,9.587116594181053,Tarrazú
-84.0810127580874,9.958730374263864,Tibás
-84.50670033339516,9.760046749941088,Turrubares
-83.94830678312826,10.043598443255233,Vázquez de Coronado
