date,keyword,value,region,region_name,group
2020-04-12,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-13,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-14,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-15,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-16,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-17,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-18,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-19,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-20,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-21,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-22,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-23,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-24,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-25,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-26,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-27,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-28,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-29,aedes aegypti,0.0,CR,national,dengue_spread
2020-04-30,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-01,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-02,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-03,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-04,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-05,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-06,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-07,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-08,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-09,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-10,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-11,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-12,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-13,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-14,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-15,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-16,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-17,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-18,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-19,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-20,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-21,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-22,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-23,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-24,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-25,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-26,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-27,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-28,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-29,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-30,aedes aegypti,0.0,CR,national,dengue_spread
2020-05-31,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-01,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-02,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-03,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-04,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-05,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-06,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-07,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-08,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-09,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-10,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-11,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-12,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-13,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-14,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-15,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-16,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-17,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-18,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-19,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-20,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-21,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-22,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-23,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-24,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-25,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-26,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-27,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-28,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-29,aedes aegypti,0.0,CR,national,dengue_spread
2020-06-30,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-01,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-02,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-03,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-04,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-05,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-06,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-07,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-08,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-09,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-10,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-11,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-12,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-13,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-14,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-15,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-16,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-17,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-18,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-19,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-20,aedes aegypti,0.0,CR,national,dengue_spread
2020-07-21,aedes aegypti,0.0,CR,national,dengue_spread
