lon,lat,canton
-83.30184900000017,8.398570000000019,Golfito
-83.10184900000019,8.398570000000019,Golfito
-83.00184900000019,8.398570000000019,Corredores
-83.60184900000016,8.498570000000019,Golfito
-83.50184900000016,8.498570000000019,Golfito
-83.40184900000017,8.498570000000019,Golfito
-83.30184900000017,8.498570000000019,Golfito
-83.10184900000019,8.498570000000019,Golfito
-83.00184900000019,8.498570000000019,Corredores
-82.9018490000002,8.498570000000019,Corredores
-83.70184900000015,8.598570000000018,Osa
-83.60184900000016,8.598570000000018,Golfito
-83.50184900000016,8.598570000000018,Golfito
-83.10184900000019,8.598570000000018,Golfito
-83.00184900000019,8.598570000000018,Golfito
-82.9018490000002,8.598570000000018,Corredores
-83.60184900000016,8.698570000000018,Osa
-83.50184900000016,8.698570000000018,Osa
-83.30184900000017,8.698570000000018,Golfito
-83.20184900000018,8.698570000000018,Golfito
-83.10184900000019,8.698570000000018,Golfito
-83.00184900000019,8.698570000000018,Golfito
-82.9018490000002,8.698570000000018,Corredores
-83.60184900000016,8.798570000000018,Osa
-83.50184900000016,8.798570000000018,Osa
-83.40184900000017,8.798570000000018,Osa
-83.30184900000017,8.798570000000018,Osa
-83.20184900000018,8.798570000000018,Osa
-83.10184900000019,8.798570000000018,Buenos Aires
-83.00184900000019,8.798570000000018,Coto Brus
-82.9018490000002,8.798570000000018,Coto Brus
-83.50184900000016,8.898570000000017,Osa
-83.40184900000017,8.898570000000017,Osa
-83.30184900000017,8.898570000000017,Osa
-83.20184900000018,8.898570000000017,Buenos Aires
-83.10184900000019,8.898570000000017,Buenos Aires
-83.00184900000019,8.898570000000017,Coto Brus
-82.9018490000002,8.898570000000017,Coto Brus
-82.8018490000002,8.898570000000017,Coto Brus
-83.60184900000016,8.998570000000017,Osa
-83.50184900000016,8.998570000000017,Osa
-83.40184900000017,8.998570000000017,Buenos Aires
-83.30184900000017,8.998570000000017,Buenos Aires
-83.20184900000018,8.998570000000017,Buenos Aires
-83.10184900000019,8.998570000000017,Buenos Aires
-83.00184900000019,8.998570000000017,Coto Brus
-82.9018490000002,8.998570000000017,Coto Brus
-82.8018490000002,8.998570000000017,Coto Brus
-83.60184900000016,9.098570000000016,Osa
-83.50184900000016,9.098570000000016,Pérez Zeledón
-83.40184900000017,9.098570000000016,Buenos Aires
-83.30184900000017,9.098570000000016,Buenos Aires
-83.20184900000018,9.098570000000016,Buenos Aires
-83.10184900000019,9.098570000000016,Buenos Aires
-83.00184900000019,9.098570000000016,Buenos Aires
-83.70184900000015,9.198570000000016,Osa
-83.60184900000016,9.198570000000016,Pérez Zeledón
-83.50184900000016,9.198570000000016,Pérez Zeledón
-83.40184900000017,9.198570000000016,Buenos Aires
-83.30184900000017,9.198570000000016,Buenos Aires
-83.20184900000018,9.198570000000016,Buenos Aires
-83.10184900000019,9.198570000000016,Buenos Aires
-83.00184900000019,9.198570000000016,Talamanca
-83.90184900000014,9.298570000000016,Quepos
-83.80184900000015,9.298570000000016,Pérez Zeledón
-83.70184900000015,9.298570000000016,Pérez Zeledón
-83.60184900000016,9.298570000000016,Pérez Zeledón
-83.50184900000016,9.298570000000016,Pérez Zeledón
-83.40184900000017,9.298570000000016,Buenos Aires
-83.30184900000017,9.298570000000016,Buenos Aires
-83.20184900000018,9.298570000000016,Buenos Aires
-83.10184900000019,9.298570000000016,Talamanca
-83.00184900000019,9.298570000000016,Talamanca
-84.10184900000013,9.398570000000015,Quepos
-84.00184900000013,9.398570000000015,Quepos
-83.90184900000014,9.398570000000015,Quepos
-83.80184900000015,9.398570000000015,Pérez Zeledón
-83.70184900000015,9.398570000000015,Pérez Zeledón
-83.60184900000016,9.398570000000015,Pérez Zeledón
-83.50184900000016,9.398570000000015,Pérez Zeledón
-83.40184900000017,9.398570000000015,Talamanca
-83.30184900000017,9.398570000000015,Talamanca
-83.20184900000018,9.398570000000015,Talamanca
-83.10184900000019,9.398570000000015,Talamanca
-83.00184900000019,9.398570000000015,Talamanca
-84.30184900000012,9.498570000000015,Parrita
-84.20184900000012,9.498570000000015,Quepos
-84.10184900000013,9.498570000000015,Quepos
-84.00184900000013,9.498570000000015,Tarrazú
-83.90184900000014,9.498570000000015,Dota
-83.80184900000015,9.498570000000015,Pérez Zeledón
-83.70184900000015,9.498570000000015,Pérez Zeledón
-83.60184900000016,9.498570000000015,Pérez Zeledón
-83.50184900000016,9.498570000000015,Turrialba
-83.40184900000017,9.498570000000015,Talamanca
-83.30184900000017,9.498570000000015,Talamanca
-83.20184900000018,9.498570000000015,Talamanca
-83.10184900000019,9.498570000000015,Talamanca
-83.00184900000019,9.498570000000015,Talamanca
-82.9018490000002,9.498570000000015,Talamanca
-85.10184900000007,9.598570000000015,Puntarenas
-84.6018490000001,9.598570000000015,Garabito
-84.5018490000001,9.598570000000015,Turrubares
-84.40184900000011,9.598570000000015,Puriscal
-84.30184900000012,9.598570000000015,Parrita
-84.20184900000012,9.598570000000015,Parrita
-84.10184900000013,9.598570000000015,Tarrazú
-84.00184900000013,9.598570000000015,Tarrazú
-83.90184900000014,9.598570000000015,Dota
-83.80184900000015,9.598570000000015,Dota
-83.70184900000015,9.598570000000015,Paraíso
-83.60184900000016,9.598570000000015,Turrialba
-83.50184900000016,9.598570000000015,Limón
-83.40184900000017,9.598570000000015,Talamanca
-83.30184900000017,9.598570000000015,Talamanca
-83.20184900000018,9.598570000000015,Talamanca
-83.10184900000019,9.598570000000015,Talamanca
-83.00184900000019,9.598570000000015,Talamanca
-82.9018490000002,9.598570000000015,Talamanca
-82.8018490000002,9.598570000000015,Talamanca
-82.70184900000021,9.598570000000015,Talamanca
-85.20184900000007,9.698570000000014,Puntarenas
-85.10184900000007,9.698570000000014,Puntarenas
-85.00184900000008,9.698570000000014,Puntarenas
-84.6018490000001,9.698570000000014,Garabito
-84.5018490000001,9.698570000000014,Turrubares
-84.40184900000011,9.698570000000014,Puriscal
-84.30184900000012,9.698570000000014,Acosta
-84.20184900000012,9.698570000000014,Acosta
-84.10184900000013,9.698570000000014,León Cortés Castro
-84.00184900000013,9.698570000000014,Tarrazú
-83.90184900000014,9.698570000000014,El Guarco
-83.80184900000015,9.698570000000014,Paraíso
-83.70184900000015,9.698570000000014,Paraíso
-83.60184900000016,9.698570000000014,Turrialba
-83.50184900000016,9.698570000000014,Turrialba
-83.40184900000017,9.698570000000014,Limón
-83.30184900000017,9.698570000000014,Limón
-83.20184900000018,9.698570000000014,Limón
-83.10184900000019,9.698570000000014,Limón
-83.00184900000019,9.698570000000014,Limón
-82.9018490000002,9.698570000000014,Talamanca
-85.20184900000007,9.798570000000014,Nandayure
-85.10184900000007,9.798570000000014,Puntarenas
-85.00184900000008,9.798570000000014,Puntarenas
-84.90184900000008,9.798570000000014,Puntarenas
-84.6018490000001,9.798570000000014,Garabito
-84.5018490000001,9.798570000000014,Turrubares
-84.40184900000011,9.798570000000014,Puriscal
-84.30184900000012,9.798570000000014,Puriscal
-84.20184900000012,9.798570000000014,Acosta
-84.10184900000013,9.798570000000014,Aserrí
-84.00184900000013,9.798570000000014,El Guarco
-83.90184900000014,9.798570000000014,Cartago
-83.80184900000015,9.798570000000014,Paraíso
-83.70184900000015,9.798570000000014,Jiménez
-83.60184900000016,9.798570000000014,Turrialba
-83.50184900000016,9.798570000000014,Turrialba
-83.40184900000017,9.798570000000014,Turrialba
-83.30184900000017,9.798570000000014,Limón
-83.20184900000018,9.798570000000014,Limón
-83.10184900000019,9.798570000000014,Limón
-83.00184900000019,9.798570000000014,Limón
-82.9018490000002,9.798570000000014,Limón
-85.60184900000004,9.898570000000014,Nicoya
-85.50184900000005,9.898570000000014,Nicoya
-85.40184900000006,9.898570000000014,Nandayure
-85.30184900000006,9.898570000000014,Nandayure
-85.20184900000007,9.898570000000014,Puntarenas
-85.10184900000007,9.898570000000014,Puntarenas
-85.00184900000008,9.898570000000014,Puntarenas
-84.7018490000001,9.898570000000014,Esparza
-84.6018490000001,9.898570000000014,Orotina
-84.5018490000001,9.898570000000014,Turrubares
-84.40184900000011,9.898570000000014,Puriscal
-84.30184900000012,9.898570000000014,Mora
-84.20184900000012,9.898570000000014,Santa Ana
-84.10184900000013,9.898570000000014,Alajuelita
-84.00184900000013,9.898570000000014,La Unión
-83.90184900000014,9.898570000000014,Cartago
-83.80184900000015,9.898570000000014,Alvarado
-83.70184900000015,9.898570000000014,Turrialba
-83.60184900000016,9.898570000000014,Turrialba
-83.50184900000016,9.898570000000014,Turrialba
-83.40184900000017,9.898570000000014,Turrialba
-83.30184900000017,9.898570000000014,Matina
-83.20184900000018,9.898570000000014,Matina
-83.10184900000019,9.898570000000014,Limón
-83.00184900000019,9.898570000000014,Limón
-85.70184900000004,9.998570000000013,Santa Cruz
-85.60184900000004,9.998570000000013,Nicoya
-85.50184900000005,9.998570000000013,Nicoya
-85.40184900000006,9.998570000000013,Hojancha
-85.30184900000006,9.998570000000013,Nandayure
-85.20184900000007,9.998570000000013,Nandayure
-84.80184900000009,9.998570000000013,Puntarenas
-84.7018490000001,9.998570000000013,Puntarenas
-84.6018490000001,9.998570000000013,Esparza
-84.5018490000001,9.998570000000013,San Mateo
-84.40184900000011,9.998570000000013,Atenas
-84.30184900000012,9.998570000000013,Alajuela
-84.20184900000012,9.998570000000013,Alajuela
-84.10184900000013,9.998570000000013,San Pablo
-84.00184900000013,9.998570000000013,Vázquez de Coronado
-83.90184900000014,9.998570000000013,Vázquez de Coronado
-83.80184900000015,9.998570000000013,Turrialba
-83.70184900000015,9.998570000000013,Turrialba
-83.60184900000016,9.998570000000013,Siquirres
-83.50184900000016,9.998570000000013,Siquirres
-83.40184900000017,9.998570000000013,Matina
-83.30184900000017,9.998570000000013,Matina
-83.20184900000018,9.998570000000013,Limón
-83.10184900000019,9.998570000000013,Limón
-85.70184900000004,10.098570000000013,Santa Cruz
-85.60184900000004,10.098570000000013,Santa Cruz
-85.50184900000005,10.098570000000013,Nicoya
-85.40184900000006,10.098570000000013,Nicoya
-85.30184900000006,10.098570000000013,Nicoya
-84.90184900000008,10.098570000000013,Puntarenas
-84.80184900000009,10.098570000000013,Puntarenas
-84.7018490000001,10.098570000000013,Montes de Oro
-84.6018490000001,10.098570000000013,San Ramón
-84.5018490000001,10.098570000000013,San Ramón
-84.40184900000011,10.098570000000013,Naranjo
-84.30184900000012,10.098570000000013,Grecia
-84.20184900000012,10.098570000000013,Alajuela
-84.10184900000013,10.098570000000013,Barva
-84.00184900000013,10.098570000000013,Heredia
-83.90184900000014,10.098570000000013,Oreamuno
-83.80184900000015,10.098570000000013,Pococí
-83.70184900000015,10.098570000000013,Guácimo
-83.60184900000016,10.098570000000013,Siquirres
-83.50184900000016,10.098570000000013,Siquirres
-83.40184900000017,10.098570000000013,Siquirres
-83.30184900000017,10.098570000000013,Matina
-83.20184900000018,10.098570000000013,Matina
-85.80184900000003,10.198570000000013,Santa Cruz
-85.70184900000004,10.198570000000013,Santa Cruz
-85.60184900000004,10.198570000000013,Santa Cruz
-85.50184900000005,10.198570000000013,Nicoya
-85.40184900000006,10.198570000000013,Nicoya
-85.30184900000006,10.198570000000013,Nicoya
-85.20184900000007,10.198570000000013,Abangares
-85.10184900000007,10.198570000000013,Abangares
-85.00184900000008,10.198570000000013,Abangares
-84.90184900000008,10.198570000000013,Abangares
-84.80184900000009,10.198570000000013,Puntarenas
-84.7018490000001,10.198570000000013,Montes de Oro
-84.6018490000001,10.198570000000013,San Ramón
-84.5018490000001,10.198570000000013,San Ramón
-84.40184900000011,10.198570000000013,Zarcero
-84.30184900000012,10.198570000000013,Sarchí
-84.20184900000012,10.198570000000013,Alajuela
-84.10184900000013,10.198570000000013,Heredia
-84.00184900000013,10.198570000000013,Sarapiquí
-83.90184900000014,10.198570000000013,Pococí
-83.80184900000015,10.198570000000013,Pococí
-83.70184900000015,10.198570000000013,Guácimo
-83.60184900000016,10.198570000000013,Guácimo
-83.50184900000016,10.198570000000013,Siquirres
-83.40184900000017,10.198570000000013,Siquirres
-83.30184900000017,10.198570000000013,Siquirres
-85.80184900000003,10.298570000000012,Santa Cruz
-85.70184900000004,10.298570000000012,Santa Cruz
-85.60184900000004,10.298570000000012,Santa Cruz
-85.50184900000005,10.298570000000012,Santa Cruz
-85.40184900000006,10.298570000000012,Nicoya
-85.30184900000006,10.298570000000012,Nicoya
-85.20184900000007,10.298570000000012,Cañas
-85.10184900000007,10.298570000000012,Cañas
-85.00184900000008,10.298570000000012,Abangares
-84.90184900000008,10.298570000000012,Abangares
-84.80184900000009,10.298570000000012,Puntarenas
-84.7018490000001,10.298570000000012,San Ramón
-84.6018490000001,10.298570000000012,San Ramón
-84.5018490000001,10.298570000000012,San Carlos
-84.40184900000011,10.298570000000012,San Carlos
-84.30184900000012,10.298570000000012,San Carlos
-84.20184900000012,10.298570000000012,Río Cuarto
-84.10184900000013,10.298570000000012,Sarapiquí
-84.00184900000013,10.298570000000012,Sarapiquí
-83.90184900000014,10.298570000000012,Sarapiquí
-83.80184900000015,10.298570000000012,Pococí
-83.70184900000015,10.298570000000012,Pococí
-83.60184900000016,10.298570000000012,Guácimo
-83.50184900000016,10.298570000000012,Guácimo
-83.40184900000017,10.298570000000012,Pococí
-85.80184900000003,10.398570000000012,Santa Cruz
-85.70184900000004,10.398570000000012,Santa Cruz
-85.60184900000004,10.398570000000012,Carrillo
-85.50184900000005,10.398570000000012,Carrillo
-85.40184900000006,10.398570000000012,Carrillo
-85.30184900000006,10.398570000000012,Bagaces
-85.20184900000007,10.398570000000012,Bagaces
-85.10184900000007,10.398570000000012,Cañas
-85.00184900000008,10.398570000000012,Tilarán
-84.90184900000008,10.398570000000012,Tilarán
-84.80184900000009,10.398570000000012,Tilarán
-84.7018490000001,10.398570000000012,San Ramón
-84.6018490000001,10.398570000000012,San Ramón
-84.5018490000001,10.398570000000012,San Carlos
-84.40184900000011,10.398570000000012,San Carlos
-84.30184900000012,10.398570000000012,San Carlos
-84.20184900000012,10.398570000000012,Río Cuarto
-84.10184900000013,10.398570000000012,Sarapiquí
-84.00184900000013,10.398570000000012,Sarapiquí
-83.90184900000014,10.398570000000012,Sarapiquí
-83.80184900000015,10.398570000000012,Pococí
-83.70184900000015,10.398570000000012,Pococí
-83.60184900000016,10.398570000000012,Pococí
-83.50184900000016,10.398570000000012,Pococí
-85.80184900000003,10.498570000000012,Carrillo
-85.70184900000004,10.498570000000012,Carrillo
-85.60184900000004,10.498570000000012,Carrillo
-85.50184900000005,10.498570000000012,Liberia
-85.40184900000006,10.498570000000012,Bagaces
-85.30184900000006,10.498570000000012,Bagaces
-85.20184900000007,10.498570000000012,Bagaces
-85.10184900000007,10.498570000000012,Cañas
-85.00184900000008,10.498570000000012,Tilarán
-84.90184900000008,10.498570000000012,Tilarán
-84.80184900000009,10.498570000000012,Tilarán
-84.7018490000001,10.498570000000012,San Carlos
-84.6018490000001,10.498570000000012,San Carlos
-84.5018490000001,10.498570000000012,San Carlos
-84.40184900000011,10.498570000000012,San Carlos
-84.30184900000012,10.498570000000012,San Carlos
-84.20184900000012,10.498570000000012,Río Cuarto
-84.10184900000013,10.498570000000012,Sarapiquí
-84.00184900000013,10.498570000000012,Sarapiquí
-83.90184900000014,10.498570000000012,Sarapiquí
-83.80184900000015,10.498570000000012,Pococí
-83.70184900000015,10.498570000000012,Pococí
-83.60184900000016,10.498570000000012,Pococí
-83.50184900000016,10.498570000000012,Pococí
-85.60184900000004,10.598570000000011,Carrillo
-85.50184900000005,10.598570000000011,Liberia
-85.40184900000006,10.598570000000011,Liberia
-85.30184900000006,10.598570000000011,Bagaces
-85.20184900000007,10.598570000000011,Bagaces
-85.10184900000007,10.598570000000011,Cañas
-85.00184900000008,10.598570000000011,Tilarán
-84.90184900000008,10.598570000000011,Guatuso
-84.80184900000009,10.598570000000011,Guatuso
-84.7018490000001,10.598570000000011,San Carlos
-84.6018490000001,10.598570000000011,San Carlos
-84.5018490000001,10.598570000000011,San Carlos
-84.40184900000011,10.598570000000011,San Carlos
-84.30184900000012,10.598570000000011,San Carlos
-84.20184900000012,10.598570000000011,San Carlos
-84.10184900000013,10.598570000000011,Sarapiquí
-84.00184900000013,10.598570000000011,Sarapiquí
-83.90184900000014,10.598570000000011,Sarapiquí
-83.80184900000015,10.598570000000011,Pococí
-83.70184900000015,10.598570000000011,Pococí
-83.60184900000016,10.598570000000011,Pococí
-85.60184900000004,10.69857000000001,Liberia
-85.50184900000005,10.69857000000001,Liberia
-85.40184900000006,10.69857000000001,Liberia
-85.30184900000006,10.69857000000001,Bagaces
-85.20184900000007,10.69857000000001,Bagaces
-85.10184900000007,10.69857000000001,Bagaces
-85.00184900000008,10.69857000000001,Upala
-84.90184900000008,10.69857000000001,Guatuso
-84.80184900000009,10.69857000000001,Guatuso
-84.7018490000001,10.69857000000001,Guatuso
-84.6018490000001,10.69857000000001,Los Chiles
-84.5018490000001,10.69857000000001,San Carlos
-84.40184900000011,10.69857000000001,San Carlos
-84.30184900000012,10.69857000000001,San Carlos
-84.20184900000012,10.69857000000001,San Carlos
-84.10184900000013,10.69857000000001,Sarapiquí
-84.00184900000013,10.69857000000001,Sarapiquí
-83.90184900000014,10.69857000000001,Sarapiquí
-83.80184900000015,10.69857000000001,Sarapiquí
-83.70184900000015,10.69857000000001,Pococí
-83.60184900000016,10.69857000000001,Pococí
-85.60184900000004,10.79857000000001,Liberia
-85.50184900000005,10.79857000000001,Liberia
-85.40184900000006,10.79857000000001,Liberia
-85.30184900000006,10.79857000000001,Upala
-85.20184900000007,10.79857000000001,Upala
-85.10184900000007,10.79857000000001,Upala
-85.00184900000008,10.79857000000001,Upala
-84.90184900000008,10.79857000000001,Guatuso
-84.80184900000009,10.79857000000001,Guatuso
-84.7018490000001,10.79857000000001,Los Chiles
-84.6018490000001,10.79857000000001,Los Chiles
-84.5018490000001,10.79857000000001,San Carlos
-84.40184900000011,10.79857000000001,San Carlos
-84.30184900000012,10.79857000000001,San Carlos
-83.60184900000016,10.79857000000001,Pococí
-85.90184900000003,10.89857000000001,La Cruz
-85.80184900000003,10.89857000000001,La Cruz
-85.70184900000004,10.89857000000001,La Cruz
-85.60184900000004,10.89857000000001,La Cruz
-85.50184900000005,10.89857000000001,Liberia
-85.40184900000006,10.89857000000001,Upala
-85.30184900000006,10.89857000000001,Upala
-85.20184900000007,10.89857000000001,Upala
-85.10184900000007,10.89857000000001,Upala
-85.00184900000008,10.89857000000001,Upala
-84.90184900000008,10.89857000000001,Upala
-84.80184900000009,10.89857000000001,Los Chiles
-84.7018490000001,10.89857000000001,Los Chiles
-84.6018490000001,10.89857000000001,Los Chiles
-84.5018490000001,10.89857000000001,Los Chiles
-84.40184900000011,10.89857000000001,San Carlos
-84.30184900000012,10.89857000000001,San Carlos
-85.70184900000004,10.99857000000001,La Cruz
-85.60184900000004,10.99857000000001,La Cruz
-85.50184900000005,10.99857000000001,La Cruz
-85.40184900000006,10.99857000000001,La Cruz
-85.30184900000006,10.99857000000001,Upala
-85.20184900000007,10.99857000000001,Upala
-85.10184900000007,10.99857000000001,Upala
-84.80184900000009,10.99857000000001,Los Chiles
-84.7018490000001,10.99857000000001,Los Chiles
-84.6018490000001,10.99857000000001,Los Chiles
-84.5018490000001,10.99857000000001,Los Chiles
-85.60184900000004,11.09857000000001,La Cruz
-85.50184900000005,11.09857000000001,La Cruz
-85.40184900000006,11.09857000000001,La Cruz
-85.30184900000006,11.09857000000001,La Cruz
-85.60184900000004,11.198570000000009,La Cruz
