"","precip_total","precip_max","precip_min","precip_mean","precip_median","week_canton"
"4722",105.2644906,42.980446,0,15.0377843714286,14.477699,"2020-42-608"
"4723",129.433269,38.318523,0,18.490467,19.159262,"2020-43-608"
"4724",72.1803685,29.035948,2.4272015,10.3114812142857,5.6964283,"2020-44-608"
"4725",144.397145,58.071896,0,20.6281635714286,0,"2020-45-608"
"4726",96.601426,56.506706,0,13.8002037142857,10.02368,"2020-46-608"
"4727",62.970434,18.711283,0,8.99577628571429,9.355641,"2020-47-608"
"4728",46.727771,16.192228,0,6.67539585714286,0,"2020-48-608"
"4729",132.29137,23.589611,0,18.8987671428571,23.589611,"2020-49-608"
"4730",6.4584628,3.2292314,0,0.922637542857143,0,"2020-50-608"
"4731",0,0,0,0,0,"2020-51-608"
"4732",29.26408,29.26408,0,4.18058285714286,0,"2020-52-608"
"4733",8.185328,8.185328,0,1.16933257142857,0,"2021-1-608"
"4734",7.206195,7.206195,0,1.02945642857143,0,"2021-2-608"
"4735",15.902652,9.311771,0,2.27180742857143,0,"2021-3-608"
"4736",0,0,0,0,0,"2021-4-608"
"4737",0,0,0,0,0,"2021-5-608"
"4738",33.325077,33.325077,0,4.76072528571429,0,"2021-6-608"
"4739",129.15338,44.37455,0,18.4504828571429,0,"2021-7-608"
"4740",0,0,0,0,0,"2021-8-608"
"4741",33.062294,33.062294,0,4.72318485714286,0,"2021-9-608"
"4742",41.428283,27.382973,0,5.91832614285714,0,"2021-10-608"
"4743",109.42428,40.66683,0,15.63204,13.55561,"2021-11-608"
"4744",68.965858,40.72857,0,9.85226542857143,0,"2021-12-608"
"4745",5.943462,5.943462,0,0.849066,0,"2021-13-608"
"4746",79.565264,24.5406,0,11.3664662857143,8.180201,"2021-14-608"
"4747",224.278751,75.85369,0,32.0398215714286,25.284563,"2021-15-608"
"4748",57.558098,24.555159,0,8.22258542857143,0,"2021-16-608"
"4749",80.492324,28.858997,0,11.4989034285714,0,"2021-17-608"
"4750",102.028395,45.54866,0,14.575485,11.235135,"2021-18-608"
"4751",59.411749,19.270645,0,8.48739271428571,9.635323,"2021-19-608"
"4752",116.090247,38.672985,0,16.584321,19.372139,"2021-20-608"
"4753",181.792178,81.49826,0,25.9703111428571,23.285217,"2021-21-608"
"4754",31.327297,17.07571,0,4.47532814285714,0,"2021-22-608"
"4755",86.489944,34.15142,0,12.3557062857143,17.07571,"2021-23-608"
"4756",90.98214,18.573109,0,12.9974485714286,17.631407,"2021-24-608"
