"","week_canton","nino34ssta"
"155","2020-2-608",0.576147902201376
"156","2020-2-609",0.576147902201376
"157","2020-2-610",0.576147902201376
"158","2020-2-611",0.576147902201376
"159","2020-2-701",0.576147902201376
"160","2020-2-702",0.576147902201376
"161","2020-2-703",0.576147902201376
"162","2020-2-704",0.576147902201376
"163","2020-2-705",0.576147902201376
"164","2020-2-706",0.576147902201376
"165","2020-3-101",0.6
"166","2020-3-102",0.6
"167","2020-3-103",0.6
"168","2020-3-104",0.6
"169","2020-3-105",0.6
"170","2020-3-106",0.6
"171","2020-3-107",0.6
"172","2020-3-108",0.6
"173","2020-3-109",0.6
"174","2020-3-110",0.6
"175","2020-3-111",0.6
"176","2020-3-112",0.6
"177","2020-3-113",0.6
"178","2020-3-114",0.6
"179","2020-3-115",0.6
"180","2020-3-116",0.6
"181","2020-3-117",0.6
"182","2020-3-118",0.6
"183","2020-3-119",0.6
"184","2020-3-120",0.6
"185","2020-3-201",0.6
"186","2020-3-202",0.6
"187","2020-3-203",0.6
"188","2020-3-204",0.6
"189","2020-3-205",0.6
"190","2020-3-206",0.6
"191","2020-3-207",0.6
"192","2020-3-208",0.6
"193","2020-3-209",0.6
"194","2020-3-210",0.6
"195","2020-3-211",0.6
"196","2020-3-212",0.6
"197","2020-3-213",0.6
"198","2020-3-214",0.6
"199","2020-3-215",0.6
"200","2020-3-216",0.6
"201","2020-3-301",0.6
"202","2020-3-302",0.6
"203","2020-3-303",0.6
"204","2020-3-304",0.6
"205","2020-3-305",0.6
"206","2020-3-306",0.6
"207","2020-3-307",0.6
"208","2020-3-308",0.6
"209","2020-3-401",0.6
"210","2020-3-402",0.6
"211","2020-3-403",0.6
"212","2020-3-404",0.6
"213","2020-3-405",0.6
"214","2020-3-406",0.6
"215","2020-3-407",0.6
"216","2020-3-408",0.6
"217","2020-3-409",0.6
"218","2020-3-410",0.6
"219","2020-3-501",0.6
"220","2020-3-502",0.6
"221","2020-3-503",0.6
"222","2020-3-504",0.6
"223","2020-3-505",0.6
"224","2020-3-506",0.6
"225","2020-3-507",0.6
"226","2020-3-508",0.6
"227","2020-3-509",0.6
"228","2020-3-510",0.6
"229","2020-3-511",0.6
"230","2020-3-601",0.6
"231","2020-3-602",0.6
"232","2020-3-603",0.6
"233","2020-3-604",0.6
