,rr,week-canton,clasi_rr,clasi_rr_no_0
12379,2.5879293082190866,2024-4-304,Alto,Alto
12380,1.1485415824508058,2024-5-304,Alto,Medio
12381,0.6885022725181278,2024-6-304,Alto,Medio
12382,1.547323590515023,2024-7-304,Alto,Medio
12383,3.2576166133246414,2024-8-304,Alto,Alto
12384,4.791348698365718,2024-9-304,Alto,Alto
12385,5.6573223311330825,2024-10-304,Alto,Alto
12386,2.546186138174231,2024-11-304,Alto,Alto
12387,9.587114403782811,2024-12-304,Alto,Alto
12388,9.209377355956187,2024-13-304,Alto,Alto
12389,6.600445985903787,2024-14-304,Alto,Alto
12390,1.516800509942564,2024-15-304,Alto,Medio
12391,12.192979147794423,2024-16-304,Alto,Alto
12392,12.13813132658024,2024-17-304,Alto,Alto
12393,8.817901925224879,2024-18-304,Alto,Alto
12394,14.884428351162873,2024-19-304,Alto,Alto
12395,7.018549866628883,2024-20-304,Alto,Alto
12396,8.092876228090343,2024-21-304,Alto,Alto
12397,9.365735632475042,2024-22-304,Alto,Alto
12398,6.160620753022735,2024-23-304,Alto,Alto
12399,7.594488826836913,2024-24-304,Alto,Alto
12400,8.693125501322514,2024-25-304,Alto,Alto
12401,4.9290754462361,2024-26-304,Alto,Alto
12402,8.001140144853244,2024-27-304,Alto,Alto
12403,6.415507415210222,2024-28-304,Alto,Alto
12404,9.866056997902952,2024-29-304,Alto,Alto
12405,8.532570980246577,2024-30-304,Alto,Alto
12406,5.949567450164508,2024-31-304,Alto,Alto
12407,10.798779660511606,2024-32-304,Alto,Alto
12408,9.194368293679252,2024-33-304,Alto,Alto
12409,10.835566455676892,2024-34-304,Alto,Alto
12410,11.437517870892526,2024-35-304,Alto,Alto
12411,7.774170497231602,2024-36-304,Alto,Alto
12412,5.443469684314296,2024-37-304,Alto,Alto
12413,3.741793531886457,2024-38-304,Alto,Alto
12414,6.468636997377915,2024-39-304,Alto,Alto
12415,3.295601179670296,2024-40-304,Alto,Alto
12416,3.9258162379477226,2024-41-304,Alto,Alto
12417,4.711699327495479,2024-42-304,Alto,Alto
12418,6.718218206421292,2024-43-304,Alto,Alto
12419,2.81411664219919,2024-44-304,Alto,Alto
12420,2.026473538321322,2024-45-304,Alto,Medio
12421,2.62831501759705,2024-46-304,Alto,Alto
12422,2.415577353672803,2024-47-304,Alto,Alto
12423,0.0,2024-48-304,Bajo,Bajo
12424,0.0,2024-49-304,Bajo,Bajo
12425,0.0,2024-50-304,Bajo,Bajo
12426,3.199157096357917,2024-51-304,Alto,Alto
12427,2.542354141787415,2024-52-304,Alto,Alto
12428,0.0,2025-1-304,Bajo,Bajo
12429,0.0,2025-2-304,Bajo,Bajo
12430,0.0,2025-3-304,Bajo,Bajo
12431,0.0,2025-4-304,Bajo,Bajo
12432,0.0,2025-5-304,Bajo,Bajo
12433,0.0,2025-6-304,Bajo,Bajo
12434,0.0,2025-7-304,Bajo,Bajo
12435,0.0,2025-8-304,Bajo,Bajo
12436,0.0,2025-9-304,Bajo,Bajo
12437,0.0,2025-10-304,Bajo,Bajo
12438,0.0,2025-11-304,Bajo,Bajo
12439,0.0,2025-12-304,Bajo,Bajo
12440,0.0,2025-13-304,Bajo,Bajo
12441,0.0,2025-14-304,Bajo,Bajo
12442,0.0,2025-15-304,Bajo,Bajo
12443,0.0,2025-16-304,Bajo,Bajo
12444,0.0,2025-17-304,Bajo,Bajo
12445,8.221651622401966,2025-18-304,Alto,Alto
12446,0.0,2025-19-304,Bajo,Bajo
12447,0.0,2025-20-304,Bajo,Bajo
12448,0.0,2025-21-304,Bajo,Bajo
12449,0.0,2025-22-304,Bajo,Bajo
12450,0.0,2025-23-304,Bajo,Bajo
12451,11.158211541532063,2025-24-304,Alto,Alto
12452,0.0,2025-25-304,Bajo,Bajo
12453,0.0,2025-26-304,Bajo,Bajo
12454,3.7001969907857752,2025-27-304,Alto,Alto
