"","tmax_mean","week_canton"
"1",33.5789134,"2020-1-507"
"2",33.3668864285714,"2020-2-507"
"3",33.5101925714286,"2020-3-507"
"4",33.2035857142857,"2020-4-507"
"5",33.5837715714286,"2020-5-507"
"6",35.3454835714286,"2020-6-507"
"7",35.079636,"2020-7-507"
"8",34.8201412857143,"2020-8-507"
"9",35.5474155714286,"2020-9-507"
"10",36.0257887142857,"2020-10-507"
"11",36.1203502857143,"2020-11-507"
"12",35.8738251428571,"2020-12-507"
"13",36.6221165714286,"2020-13-507"
"14",36.7316412857143,"2020-14-507"
"15",36.844014,"2020-15-507"
"16",36.0689358571429,"2020-16-507"
"17",36.006482,"2020-17-507"
"18",35.0631195714286,"2020-18-507"
"19",35.2517837142857,"2020-19-507"
"20",35.2314854285714,"2020-20-507"
"21",34.6446375714286,"2020-21-507"
"22",33.4558061428571,"2020-22-507"
"23",32.4738118571429,"2020-23-507"
"24",32.8702897142857,"2020-24-507"
"25",32.9981472857143,"2020-25-507"
"26",33.0942912857143,"2020-26-507"
"27",33.214676,"2020-27-507"
"28",33.0786637142857,"2020-28-507"
"29",33.5249405714286,"2020-29-507"
"30",33.1795628571429,"2020-30-507"
"31",34.132514,"2020-31-507"
"32",33.65264,"2020-32-507"
"33",33.2680457142857,"2020-33-507"
"34",32.2796414285714,"2020-34-507"
"35",32.3943531428571,"2020-35-507"
"36",32.953988,"2020-36-507"
"37",32.379051,"2020-37-507"
"38",32.8833962857143,"2020-38-507"
"39",32.8110734285714,"2020-39-507"
"40",32.2209172857143,"2020-40-507"
"41",31.8708437142857,"2020-41-507"
"42",32.748962,"2020-42-507"
"43",31.6520675714286,"2020-43-507"
"44",31.758862,"2020-44-507"
"45",28.8702858571429,"2020-45-507"
"46",31.3218031428571,"2020-46-507"
"47",30.5940265714286,"2020-47-507"
"48",32.2116148571429,"2020-48-507"
"49",31.9179524285714,"2020-49-507"
"50",31.8238414285714,"2020-50-507"
"51",32.2809465714286,"2020-51-507"
"52",32.4077097142857,"2020-52-507"
"53",32.4894215714286,"2021-1-507"
"54",33.081464,"2021-2-507"
"55",33.0272841428571,"2021-3-507"
"56",33.1080534285714,"2021-4-507"
"57",34.5402018571429,"2021-5-507"
"58",35.4318571428571,"2021-6-507"
"59",35.4225924285714,"2021-7-507"
"60",34.8620862857143,"2021-8-507"
"61",35.4752391428571,"2021-9-507"
"62",35.4016707142857,"2021-10-507"
"63",35.8569822857143,"2021-11-507"
"64",36.2593565714286,"2021-12-507"
"65",35.2062707142857,"2021-13-507"
"66",35.298083,"2021-14-507"
"67",34.9006412857143,"2021-15-507"
"68",34.7600138571429,"2021-16-507"
"69",34.4215254285714,"2021-17-507"
"70",33.7489345714286,"2021-18-507"
"71",34.4402292857143,"2021-19-507"
"72",34.953384,"2021-20-507"
"73",34.2738207142857,"2021-21-507"
"74",34.520003,"2021-22-507"
"75",32.8517192857143,"2021-23-507"
"76",32.8208487142857,"2021-24-507"
"77",32.9433137142857,"2021-25-507"
"78",32.6176881428571,"2021-26-507"
"79",33.122889,"2021-27-507"
"80",33.452633,"2021-28-507"
"81",33.15551,"2021-29-507"
