"","week_canton","pob"
"398","2020-5-605",29567.6884781421
"399","2020-5-606",33256.8336311475
"400","2020-5-607",32049.1269262295
"401","2020-5-608",36387.4269863388
"402","2020-5-609",21002.7136202186
"403","2020-5-610",52088.3921393443
"404","2020-5-611",25757.0071584699
"405","2020-5-701",93334.2650956284
"406","2020-5-702",149691.561180328
"407","2020-5-703",56915.4599972678
"408","2020-5-704",43210.6640601093
"409","2020-5-705",44286.2055163934
"410","2020-5-706",55533.5434863388
"411","2020-6-101",348278.659043716
"412","2020-6-102",69538.8289180328
"413","2020-6-103",239483.781103825
"414","2020-6-104",38351.5912404372
"415","2020-6-105",17864.4448469945
"416","2020-6-106",61789.3762185792
"417","2020-6-107",28357.9809836066
"418","2020-6-108",137454.053896175
"419","2020-6-109",59630.4931693989
"420","2020-6-110",93204.48215847
"421","2020-6-111",70012.4540054645
"422","2020-6-112",21739.4623715847
"423","2020-6-113",83879.6412732241
"424","2020-6-114",61193.0001530055
"425","2020-6-115",61385.4251202186
"426","2020-6-116",7151.64710382514
"427","2020-6-117",7766.53591256831
"428","2020-6-118",78231.4466229508
"429","2020-6-119",135433.459628415
"430","2020-6-120",13155.1260874317
"431","2020-6-201",314878.022918033
"432","2020-6-202",89552.2213934426
"433","2020-6-203",78199.434420765
"434","2020-6-204",7345.49984153005
"435","2020-6-205",29649.2413387978
"436","2020-6-206",48935.3584043716
"437","2020-6-207",41155.2080874317
"438","2020-6-208",34062.4552513661
"439","2020-6-209",24021.5572786885
"440","2020-6-210",201679.016508197
"441","2020-6-211",14460.3330437158
"442","2020-6-212",22239.6965464481
"443","2020-6-213",54731.4165136612
"444","2020-6-214",34392.8949344262
"445","2020-6-215",19261.1886284153
"446","2020-6-216",16735.0036612022
"447","2020-6-301",161094.243213115
"448","2020-6-302",60634.2127322404
"449","2020-6-303",111539.445590164
"450","2020-6-304",15991.3003005464
"451","2020-6-305",70169.7519726776
"452","2020-6-306",15077.6326502732
"453","2020-6-307",48246.5799071038
"454","2020-6-308",44606.8555956284
"455","2020-6-401",141844.181661202
"456","2020-6-402",46672.771136612
"457","2020-6-403",48774.8814262295
"458","2020-6-404",43216.8330437158
