time,latitude,longitude,temp,lon,lat,canton
2020-01-01,10.074997,-84.225006,26.218884,-84.22566877914281,10.094073304417597,Alajuela
2020-01-01,9.974998,-84.425,27.761099,-84.40437004985235,9.975320150514287,Atenas
2020-01-01,10.074997,-84.275,26.943682,-84.29950416495883,10.089459637910869,Grecia
2020-01-01,10.674995,-84.825005,32.48084,-84.84143356730945,10.69488492854414,Guatuso
2020-01-01,10.875,-84.675,32.247498,-84.6661043232443,10.884146802625349,Los Chiles
2020-01-01,10.125,-84.37501,26.135256,-84.38645752749451,10.114132482628802,Naranjo
2020-01-01,9.875,-84.575005,31.505785,-84.57791631529766,9.896385871063297,Orotina
2020-01-01,10.024994,-84.425,26.996294,-84.43716729050736,10.044256575820071,Palmares
2020-01-01,10.125,-84.225006,24.63757,-84.24093191782451,10.105849467498444,Poás
2020-01-01,10.424995,-84.225006,31.27713,-84.20941413187313,10.408548272165216,Río Cuarto
2020-01-01,10.574997,-84.425,32.349487,-84.43580131240458,10.589071687753965,San Carlos
2020-01-01,9.974998,-84.525,29.04301,-84.54740616639346,9.959797729182378,San Mateo
2020-01-01,10.224998,-84.575005,27.651852,-84.59660922490704,10.224966903257403,San Ramón
2020-01-01,10.174995,-84.325005,23.881977,-84.30108294694202,10.189870859089414,Sarchí
2020-01-01,10.875,-85.12501,32.002937,-85.14929032901345,10.881829250960983,Upala
2020-01-01,10.224998,-84.425,25.231253,-84.41388281744693,10.219271182572214,Zarcero
2020-01-01,9.924995,-83.825005,21.267323,-83.80482900012846,9.937477148472626,Alvarado
2020-01-01,9.824997,-83.925,23.992884,-83.92103610970754,9.81526471202071,Cartago
2020-01-01,9.724998,-83.925,20.996092,-83.93017952707274,9.747254138356316,El Guarco
2020-01-01,9.824997,-83.725006,25.549639,-83.70269913194875,9.806806678266504,Jiménez
2020-01-01,9.924995,-83.975006,23.857927,-83.98733533492697,9.911269900823918,La Unión
2020-01-01,10.024994,-83.87501,22.084688,-83.8658656849301,10.007701022907192,Oreamuno
2020-01-01,9.724998,-83.775,22.580473,-83.76539909508006,9.716482965281095,Paraíso
2020-01-01,9.824997,-83.525,26.113497,-83.54923186390529,9.821753878695407,Turrialba
2020-01-01,10.224998,-85.025,33.594887,-85.00507406230518,10.247590578694894,Abangares
2020-01-01,10.524994,-85.275,33.293293,-85.26053471901255,10.530698411290938,Bagaces
2020-01-01,10.424995,-85.12501,33.44095,-85.10354690831619,10.442132027355036,Cañas
2020-01-01,10.474998,-85.62501,34.20788,-85.60235341415768,10.459993674459833,Carrillo
2020-01-01,9.974998,-85.425,31.052216,-85.41399827888002,9.985961054258116,Hojancha
2020-01-01,11.024994,-85.575005,31.434355,-85.58048364631352,11.001918707120607,La Cruz
