time,longitude,latitude,temp,lon,lat,canton
2020-01-01,-84.22566877914281,10.094073304417597,17.780071,-84.22566877914281,10.094073304417597,Alajuela
2020-01-01,-84.40437004985235,9.975320150514287,19.56893,-84.40437004985235,9.975320150514287,Atenas
2020-01-01,-84.29950416495883,10.089459637910869,18.403704,-84.29950416495883,10.089459637910869,Grecia
2020-01-01,-84.84143356730945,10.69488492854414,27.784977,-84.84143356730945,10.69488492854414,Guatuso
2020-01-01,-84.6661043232443,10.884146802625349,28.067993,-84.6661043232443,10.884146802625349,Los Chiles
2020-01-01,-84.38645752749451,10.114132482628802,17.979586,-84.38645752749451,10.114132482628802,Naranjo
2020-01-01,-84.57791631529766,9.896385871063297,25.86284,-84.57791631529766,9.896385871063297,Orotina
2020-01-01,-84.43716729050736,10.044256575820071,18.594713,-84.43716729050736,10.044256575820071,Palmares
2020-01-01,-84.24093191782451,10.105849467498444,16.527035,-84.24093191782451,10.105849467498444,Poás
2020-01-01,-84.20941413187313,10.408548272165216,24.989075,-84.20941413187313,10.408548272165216,Río Cuarto
2020-01-01,-84.43580131240458,10.589071687753965,26.655243,-84.43580131240458,10.589071687753965,San Carlos
2020-01-01,-84.54740616639346,9.959797729182378,21.47337,-84.54740616639346,9.959797729182378,San Mateo
2020-01-01,-84.59660922490704,10.224966903257403,19.604977,-84.59660922490704,10.224966903257403,San Ramón
2020-01-01,-84.30108294694202,10.189870859089414,15.960011,-84.30108294694202,10.189870859089414,Sarchí
2020-01-01,-85.14929032901345,10.881829250960983,28.627419,-85.14929032901345,10.881829250960983,Upala
2020-01-01,-84.41388281744693,10.219271182572214,17.380087,-84.41388281744693,10.219271182572214,Zarcero
2020-01-01,-83.80482900012846,9.937477148472626,14.069752,-83.80482900012846,9.937477148472626,Alvarado
2020-01-01,-83.92103610970754,9.81526471202071,16.438684,-83.92103610970754,9.81526471202071,Cartago
2020-01-01,-83.93017952707274,9.747254138356316,13.514769,-83.93017952707274,9.747254138356316,El Guarco
2020-01-01,-83.70269913194875,9.806806678266504,18.388628,-83.70269913194875,9.806806678266504,Jiménez
2020-01-01,-83.98733533492697,9.911269900823918,16.470415,-83.98733533492697,9.911269900823918,La Unión
2020-01-01,-83.8658656849301,10.007701022907192,14.987856,-83.8658656849301,10.007701022907192,Oreamuno
2020-01-01,-83.76539909508006,9.716482965281095,15.177885,-83.76539909508006,9.716482965281095,Paraíso
2020-01-01,-83.54923186390529,9.821753878695407,19.618502,-83.54923186390529,9.821753878695407,Turrialba
2020-01-01,-85.00507406230518,10.247590578694894,24.87754,-85.00507406230518,10.247590578694894,Abangares
2020-01-01,-85.26053471901255,10.530698411290938,27.20882,-85.26053471901255,10.530698411290938,Bagaces
2020-01-01,-85.10354690831619,10.442132027355036,26.486511,-85.10354690831619,10.442132027355036,Cañas
2020-01-01,-85.60235341415768,10.459993674459833,27.689507,-85.60235341415768,10.459993674459833,Carrillo
2020-01-01,-85.41399827888002,9.985961054258116,24.443604,-85.41399827888002,9.985961054258116,Hojancha
2020-01-01,-85.58048364631352,11.001918707120607,27.709929,-85.58048364631352,11.001918707120607,La Cruz
2020-01-01,-85.49015638368135,10.69686590205969,26.382824,-85.49015638368135,10.69686590205969,Liberia
2020-01-01,-85.28064207579611,9.913577748286544,24.394226,-85.28064207579611,9.913577748286544,Nandayure
2020-01-01,-85.44743537832264,10.115189136843854,24.346394,-85.44743537832264,10.115189136843854,Nicoya
2020-01-01,-85.68528480031924,10.24291223825872,24.90781,-85.68528480031924,10.24291223825872,Santa Cruz
2020-01-01,-84.9136716034143,10.468627858141932,22.551092,-84.9136716034143,10.468627858141932,Tilarán
2020-01-01,-84.11471674551024,10.075559997894423,16.189522,-84.11471674551024,10.075559997894423,Barva
2020-01-01,-84.17739494939907,9.98319694523826,18.712526,-84.17739494939907,9.98319694523826,Belén
2020-01-01,-84.15587095047292,10.006628670328698,18.22908,-84.15587095047292,10.006628670328698,Flores
2020-01-01,-84.07464034250802,10.149613021884605,14.374376,-84.07464034250802,10.149613021884605,Heredia
2020-01-01,-84.04032329099361,10.027834616905416,17.003517,-84.04032329099361,10.027834616905416,San Isidro
2020-01-01,-84.09459177794015,9.994936388481555,17.918219,-84.09459177794015,9.994936388481555,San Pablo
2020-01-01,-84.0789978367801,10.048199198310543,16.94644,-84.0789978367801,10.048199198310543,San Rafael
