time,latitude,longitude,precip,lon,lat,canton
2022-02-26,9.974998,-84.075005,0.0,-84.06627541371971,9.985550458920436,Santo Domingo
2022-02-26,10.474998,-83.975006,0.0,-83.99474837036576,10.498276404408264,Sarapiquí
2022-02-26,10.224998,-83.62501,0.0,-83.64605796255454,10.201808539055548,Guácimo
2022-02-26,9.774998,-83.175,0.0,-83.15288353269055,9.772857075071752,Limón
2022-02-26,10.024998,-83.275,0.0,-83.29226419741741,10.016212255511066,Matina
2022-02-26,10.474998,-83.675,0.0,-83.67875663044639,10.46512908091452,Pococí
2022-02-26,10.124996,-83.475006,0.0,-83.47966327380223,10.137037262819128,Siquirres
2022-02-26,9.474998,-83.075005,0.0,-83.08719084998144,9.476542606433153,Talamanca
2022-02-26,9.124996,-83.275,0.0,-83.25052113432452,9.108424461259707,Buenos Aires
2022-02-26,8.524998,-82.925,0.0,-82.93425714995419,8.549269231183368,Corredores
2022-02-26,8.924999,-82.925,0.0,-82.92271358809585,8.908406326828024,Coto Brus
2022-02-26,9.974998,-84.675,0.0,-84.65549964543325,9.989326496056576,Esparza
2022-02-26,9.724998,-84.62501,0.0,-84.61040429372137,9.71520782504555,Garabito
2022-02-26,8.574997,-83.225006,,-83.24262262339322,8.554012793318424,Golfito
2022-02-26,10.124996,-84.725006,0.0,-84.72449799375076,10.123403339116836,Montes de Oro
2022-02-26,8.874996,-83.525,0.0,-83.50429123490069,8.850516414093848,Osa
2022-02-26,9.574997,-84.325005,0.0,-84.3170395226218,9.561993995142688,Parrita
2022-02-26,9.874996,-85.025,0.0,-85.01892152741308,9.888766714315658,Puntarenas
2022-02-26,9.424999,-84.075005,0.0,-84.05242924259188,9.423077340414803,Quepos
2022-02-26,9.724998,-84.225006,0.0,-84.23162108507668,9.740737410360428,Acosta
2022-02-26,9.874996,-84.12501,0.0,-84.11460850542299,9.887681366724795,Alajuelita
2022-02-26,9.724998,-84.12501,0.0,-84.13761285590842,9.744351750690964,Aserrí
2022-02-26,9.924999,-84.025,0.0,-84.02785671787663,9.917482168270135,Curridabat
2022-02-26,9.824997,-84.025,0.0,-84.04553397233065,9.814630640261406,Desamparados
2022-02-26,9.574997,-83.925,0.0,-83.91304446085607,9.587092645438156,Dota
2022-02-26,9.924999,-84.12501,0.0,-84.14524023173462,9.91469488144212,Escazú
2022-02-26,9.974998,-83.975006,0.0,-83.98834528940289,9.95838251003187,Goicoechea
2022-02-26,9.674999,-84.075005,0.0,-84.07062696348378,9.695439582127158,León Cortés Castro
2022-02-26,9.924999,-84.025,0.0,-84.01878559436618,9.9419800059365,Montes de Oca
2022-02-26,9.874996,-84.275,0.0,-84.26984430379824,9.88418428272862,Mora
2022-02-26,10.024998,-84.025,0.0,-84.01843525219141,10.010064082628729,Moravia
2022-02-26,9.374996,-83.675,0.0,-83.67390963488972,9.36086194419378,Pérez Zeledón
2022-02-26,9.724998,-84.37501,0.0,-84.38704233213403,9.741989185554084,Puriscal
2022-02-26,9.924999,-84.12501,0.0,-84.10245542109253,9.935177837472262,San José
2022-02-26,9.924999,-84.175,0.0,-84.18894746368338,9.920169089467764,Santa Ana
2022-02-26,9.574997,-84.025,0.0,-84.04495838770744,9.587116594181053,Tarrazú
2022-02-26,9.974998,-84.075005,0.0,-84.0810127580874,9.958730374263864,Tibás
2022-02-26,9.774998,-84.525,0.0,-84.50670033339516,9.760046749941088,Turrubares
2022-02-26,10.024998,-83.925,0.0,-83.94830678312826,10.043598443255233,Vázquez de Coronado
2022-02-27,10.074997,-84.225006,0.0,-84.22566877914281,10.094073304417597,Alajuela
2022-02-27,9.974998,-84.425,0.0,-84.40437004985235,9.975320150514287,Atenas
2022-02-27,10.074997,-84.275,0.0,-84.29950416495883,10.089459637910869,Grecia
2022-02-27,10.674999,-84.825005,0.0,-84.84143356730945,10.69488492854414,Guatuso
2022-02-27,10.874996,-84.675,0.0,-84.6661043232443,10.884146802625349,Los Chiles
