"","week_canton","tmin_mean_lag_8","tmin_mean_lag_7","tmin_mean_lag_6","tmin_mean_lag_5","tmin_mean_lag_4","tmin_mean_lag_3","tmin_mean_lag_2","tmin_mean_lag_1"
"1","2020-9-507",24.8148014,25.7348017142857,26.1342074285714,24.2254755714286,24.8724065714286,25.2110671428571,25.8848555714286,26.8583101428571
"2","2020-9-112",20.0306984,20.3076345714286,21.3987042857143,20.450103,19.9826848571429,20.5721438571429,21.1622897142857,21.7160362857143
"3","2020-9-201",18.1990866,19.1357101428571,20.086201,18.6714608571429,18.4838324285714,18.3523382857143,19.419128,19.7957075714286
"4","2020-9-110",16.1087037,16.678915,17.6824944285714,16.6711231428571,16.2660878571429,16.4244497857143,17.2716932857143,17.6483517142857
"5","2020-9-306",14.1526392,14.743044,15.598815,14.9418394285714,14.470363,13.8423629285714,14.7919418571429,14.8596998571429
"6","2020-9-106",16.0365696,16.3360171428571,17.3766552857143,16.5614035,16.0573057142857,16.5771097142857,17.2633441428571,17.6425788571429
"7","2020-9-205",19.9265702,20.8478065714286,21.8323372857143,20.3218225714286,20.0725135714286,20.3119154285714,20.9875861428571,21.7093807142857
"8","2020-9-504",25.8878906,27.4019998571429,27.3567202857143,24.9199047142857,24.9073067142857,26.1734724285714,27.850975,28.5085094285714
"9","2020-9-402",16.4179398,17.3190057142857,18.187039,16.899626,16.7936732857143,16.6435932857143,17.7648987142857,18.0485435714286
"10","2020-9-407",18.9797354,19.7998775714286,20.7800782857143,19.5078301428571,19.1583028571429,19.0323775714286,19.9980664285714,20.3865235714286
"11","2020-9-603",21.1962774,21.4210857142857,23.1728972857143,22.5085217142857,21.2395195714286,21.058328,21.7028854285714,22.005361
"12","2020-9-505",27.0829348,28.2435575714286,28.4514998571429,26.5564552857143,26.8438812857143,28.1545797142857,29.0844512857143,29.6078671428571
"13","2020-9-301",16.4687114,16.9512475714286,17.8803348571429,17.2642121428571,16.4982148571429,16.075096,17.0403992857143,17.169128
"14","2020-9-506",25.6904036,26.9060781428571,27.0258615714286,24.775811,25.1511342857143,25.9412411428571,27.2735655714286,28.0814862857143
"15","2020-9-610",28.2643936,27.855975,29.4918828571429,28.3620927142857,28.0843304285714,28.0940671428571,28.7518458571429,29.3208355714286
"16","2020-9-608",18.652797,18.5877005714286,20.0149124285714,19.3374132857143,18.6841007142857,18.6005402857143,19.4232537142857,19.7201818571429
"17","2020-9-118",17.4822484,18.1272584285714,19.027362,18.0754765714286,17.6945594285714,17.547152,18.5335634285714,18.7611252857143
"18","2020-9-103",15.4507677,15.9224237142857,16.8970272857143,16.1392948571429,15.5901078571429,15.6854785,16.5724514285714,16.8095605714286
"19","2020-9-117",15.0870447,15.3687047142857,16.2489975714286,15.3935172857143,14.9175572857143,15.3029471428571,16.0279604285714,15.9089138571429
"20","2020-9-308",13.5316737,13.8822861428571,14.8266467857143,14.3082227142857,13.4762297142857,13.3615605714286,14.2816492857143,14.3584601428571
"21","2020-9-102",18.345727,19.0226418571429,19.9938325714286,18.8877415714286,18.5092698571429,18.4605452857143,19.3736421428571,19.7265238571429
"22","2020-9-602",25.5806388,26.1537204285714,26.7022098571429,25.5153265714286,25.8074538571429,26.2703057142857,26.4916447142857,27.3025425714286
"23","2020-9-408",18.5277254,19.4265041428571,20.3768138571429,19.048878,18.7665811428571,18.5823062857143,19.6216242857143,19.981928
"24","2020-9-611",28.339729,28.683706,29.4006162857143,28.612937,28.4501962857143,29.418275,29.548398,30.2612034285714
"25","2020-9-108",16.1887402,16.9032824285714,17.7457355714286,16.7769717142857,16.3923748571429,15.8660905,16.9120614285714,17.0981030714286
"26","2020-9-607",23.38990632,23.3825160571429,24.8224907142857,24.0368193142857,23.4011702,23.4960243142857,24.0888126857143,24.4088064571429
"27","2020-9-203",18.8618844,19.8101462857143,20.7762124285714,19.3057207142857,19.1168657142857,19.0281258571429,20.031357,20.4512952857143
"28","2020-9-215",26.5857466,27.6709908571429,27.773427,25.6570855714286,26.1948392857143,26.8722971428571,28.4489017142857,29.0056141428571
"29","2020-9-706",24.1296036,25.4046611428571,25.8458238571429,25.071404,25.1146254285714,23.9831395714286,25.3350041428571,25.2607692857143
"30","2020-9-401",14.5431358,15.470576,16.2554938571429,14.992933,15.0619761428571,14.9373797142857,16.1500872857143,16.3631515714286
"31","2020-9-511",24.0746532,24.6764825714286,24.8901671428571,22.8907511428571,24.0578987142857,24.1729448571429,24.6530642857143,25.815004
"32","2020-9-304",18.2962428,18.8093685714286,19.6343005714286,19.278098,18.3940295714286,17.5736108571429,18.677756,18.6524602857143
"33","2020-9-510",26.9649234,27.6794414285714,27.8488398571429,26.0698611428571,26.2433182857143,26.8104047142857,27.8222928571429,28.3130478571429
"34","2020-9-303",16.4680988,17.1026695714286,17.9832707142857,17.1035725714286,16.6067297142857,16.1366008571429,17.1365117142857,17.3159728571429
"35","2020-9-120",16.9755368,17.2787802857143,18.2401637142857,17.3382518571429,16.939131,17.4962328571429,18.2008785714286,18.3815165714286
"36","2020-9-501",25.0511686,26.9739625714286,27.142487,24.3601268571429,24.1899635714286,25.4028331428571,27.2457047142857,28.0100304285714
"37","2020-9-701",18.8321896,19.4322045714286,20.2520638571429,19.9026338571429,19.6455788571429,18.6439265714286,19.1567208571429,19.337966
"38","2020-9-214",26.3871064,27.7207594285714,27.7754302857143,25.523654,25.7961727142857,26.7392042857143,28.7672354285714,29.0862312857143
"39","2020-9-705",24.8512522,25.5773401428571,25.9386882857143,25.6965632857143,25.4605042857143,24.243853,24.8184862857143,24.9771281428571
"40","2020-9-115",17.4822484,18.1272584285714,19.027362,18.0754765714286,17.6945594285714,17.547152,18.5335634285714,18.7611252857143
"41","2020-9-604",21.5317342,22.2589941428571,22.8568915714286,21.3876427142857,21.8130348571429,22.3300032857143,22.7461998571429,23.5250327142857
"42","2020-9-107",19.9914602,20.600349,21.6772688571429,20.4539755714286,20.0443095714286,20.3137994285714,21.0386992857143,21.6238424285714
"43","2020-9-114",16.9980372,17.813189,18.6383517142857,17.5280868571429,17.3330542857143,17.0753364285714,18.193253,18.4122097142857
"44","2020-9-509",24.1826278,24.5855377142857,24.8829721428571,23.4086528571429,24.2780554285714,24.5523905714286,24.9651327142857,25.9443358571429
"45","2020-9-206",18.4276518,19.3653921428571,20.2726485714286,18.7258437142857,18.7420778571429,18.7842701428571,19.670149,20.1320542857143
"46","2020-9-502",23.9986588,25.0818072857143,25.3419428571429,22.9299178571429,23.8616711428571,24.1108944285714,24.9586358571429,26.150174
"47","2020-9-307",15.0337318,15.7963521428571,16.5975284285714,15.702483,15.4840478571429,14.9017838571429,15.9146611428571,16.0251757142857
"48","2020-9-209",25.990906,26.5643177142857,27.34172,26.2169695714286,26.1230588571429,26.7492621428571,27.0765168571429,27.9007514285714
"49","2020-9-605",28.0945304,28.1302348571429,29.2303282857143,28.2623328571429,28.1453832857143,28.6260482857143,29.090151,29.4922801428571
"50","2020-9-207",18.9887544,19.9851351428571,20.9597621428571,19.3804611428571,19.1800634285714,19.3720777142857,20.0999127142857,20.7684018571429
"51","2020-9-302",15.0413102,15.4189785,16.2984669285714,16.0351775714286,14.9648430714286,14.4779858571429,15.5958032857143,15.5535787142857
"52","2020-9-609",29.023274,29.3626528571429,30.4010685714286,29.0311405714286,28.9428818571429,29.8696851428571,30.3928652857143,30.7238578571429
"53","2020-9-702",26.3875846,27.3344994285714,27.4871587142857,26.214535,26.8611688571429,26.2397471428571,27.6804928571429,27.4713721428571
"54","2020-9-208",16.9713154,17.8992767142857,18.8019111428571,17.378673,17.3543307142857,17.242886,18.3598997142857,18.7014582857143
"55","2020-9-601",27.9098404,28.0268445714286,28.387591,27.7439701428571,28.2069102857143,29.0376322857143,29.0175047142857,29.7018874285714
"56","2020-9-104",22.6010402,22.8862748571429,23.8900998571429,22.9557862857143,22.5731428571429,23.3340558571429,23.7299602857143,24.407608
"57","2020-9-119",20.7415332,20.9175841428571,22.2024327142857,21.713736,20.852517,21.1011378571429,21.4759274285714,21.5053737142857
"58","2020-9-606",28.8468468,29.1598835714286,29.9436651428571,28.4638082857143,28.6948485714286,29.560783,30.0194124285714,29.8557505714286
"59","2020-9-216",24.6187456,25.4516075714286,25.9899254285714,24.4908402857143,24.7339491428571,24.4611525714286,25.9674671428571,26.1161847142857
"60","2020-9-210",25.8643164,26.8445111428571,27.251031,25.4469154285714,25.7124851428571,25.6681882857143,27.3342328571429,27.663852
"61","2020-9-406",16.9980372,17.813189,18.6383517142857,17.5280868571429,17.3330542857143,17.0753364285714,18.193253,18.4122097142857
"62","2020-9-101",18.345727,19.0226418571429,19.9938325714286,18.8877415714286,18.5092698571429,18.4605452857143,19.3736421428571,19.7265238571429
"63","2020-9-204",21.7599086,22.6294737142857,23.5073712857143,22.0349957142857,21.981599,22.459355,23.0014417142857,23.8292467142857
"64","2020-9-409",18.0023836,18.7630987142857,19.6631678571429,18.5452991428571,18.2408127142857,18.043677,19.0624292857143,19.3413825714286
"65","2020-9-405",17.0432168,17.8838701428571,18.7502491428571,17.5677578571429,17.3564672857143,17.1402724285714,18.2302937142857,18.4944545714286
"66","2020-9-202",19.9516248,20.7326827142857,21.4345607142857,19.8912312857143,20.3397265714286,20.4876557142857,21.2835948571429,21.8067472857143
"67","2020-9-109",18.5153698,19.21283,20.2202485714286,19.0353385714286,18.6554537142857,18.6746824285714,19.556297,19.9740118571429
"68","2020-9-404",16.4179398,17.3190057142857,18.187039,16.899626,16.7936732857143,16.6435932857143,17.7648987142857,18.0485435714286
"69","2020-9-503",24.3632996,25.316105,25.393599,23.147312,24.1588597142857,24.6974068571429,25.5947042857143,26.4203341428571
"70","2020-9-403",18.0023836,18.7630987142857,19.6631678571429,18.5452991428571,18.2408127142857,18.043677,19.0624292857143,19.3413825714286
"71","2020-9-410",25.526866,26.5733777142857,26.9006548571429,25.4737022857143,25.6796422857143,25.2764901428571,26.9938117142857,26.885773
"72","2020-9-212",16.4518902,17.3364033571429,18.191142,16.7012765714286,16.8906442857143,16.8466708571429,17.8775265714286,18.25135
"73","2020-9-703",24.3375802,25.2983051428571,25.6508898571429,25.2576765714286,25.1538355714286,23.6510604285714,24.6318342857143,24.5261661428571
"74","2020-9-704",19.0406538,19.6527045714286,20.6461608571429,20.3208722857143,20.0038092857143,19.2286922857143,19.8301414285714,19.8749594285714
"75","2020-9-105",21.1911784,21.4763365714286,22.2960234285714,21.1641765714286,20.9941967142857,21.6599977142857,22.3401274285714,22.2148275714286
