"","week_canton","ndvi_lag_8","ndvi_lag_7","ndvi_lag_6","ndvi_lag_5","ndvi_lag_4","ndvi_lag_3","ndvi_lag_2","ndvi_lag_1"
"24428","2025-50-701",0.907809923655698,0.915739228437128,0.916670613062865,0.902674720497395,0.943754307721842,0.944400258496173,0.860061321934589,0.8839
"24429","2025-50-705",0.711968545245564,0.721413477159282,0.727886904592633,0.726642054530007,0.720969955712107,0.727588873114993,0.750876794350849,0.7719
"24430","2025-50-702",0.762649564509897,0.699334286376983,0.62270329732608,0.624824020182971,0.675686627777683,0.715360705200302,0.714571604974465,0.7098
"24431","2025-50-703",0.886568431522329,0.895514208187831,0.870552001681564,0.871125038732348,0.895559832409768,0.911074802633707,0.901638156077474,0.8889
"24432","2025-50-704",0.758085907399608,0.719927421920343,0.837291257017025,0.853589809522865,0.868822142325624,0.939536030397447,0.911401798759044,0.9096
"24433","2025-50-603",0.896063816010277,0.881515159170374,0.84547919406426,0.837056116449402,0.829914080680551,0.828214179404563,0.825496193816615,0.8212
"24434","2025-50-610",0.852864546046291,0.877502183556026,0.907813031759461,0.910672939056379,0.893692237302048,0.875609698859809,0.881614886199964,0.8853
"24435","2025-50-608",0.82847167408425,0.628265716959793,0.430926670713595,0.417261118532099,0.288834322714291,0.504209025813423,0.704001099615293,0.8049
"24436","2025-50-602",0.824922951556034,0.70892182406078,0.776405946542391,0.799313657960173,0.819333592959982,0.829452996074585,0.776612685112831,0.7456
"24437","2025-50-611",0.935594432363237,0.693892080373914,0.8605885472836,0.821427212626651,0.88902299851716,0.864321676625687,0.72051091284527,0.7589
"24438","2025-50-604",0.455128239288532,0.486317390337573,0.723695861224141,0.767784962865246,0.663767438898513,0.828119241356173,0.801543542101417,0.8264
"24439","2025-50-605",0.805129647074246,0.780136024526899,0.803230070811191,0.822969933169669,0.865431716328375,0.908218445696711,0.902575510978983,0.8941
"24440","2025-50-609",0.812423177129305,0.686947278185546,0.752816258638484,1.07982142412516,0.878238811895786,0.889079035882985,0.948617286023321,0.8727
"24441","2025-50-601",0.424955849051189,0.482973325757301,0.798141952637549,0.829561889312972,0.864588759907658,0.893820606184944,0.887277732529334,0.8891
"24442","2025-50-606",0.792108048715909,0.839615547195431,0.844992586704449,0.836750565158885,0.848585398305045,0.850449449264825,0.857020195032942,0.8657
"24443","2025-50-112",0.798909418825626,0.723044799491606,0.83006913673063,0.793803455482868,0.821646266294924,0.823707495494775,0.795557324376651,0.776
"24444","2025-50-110",0.650055318722912,0.655652141970048,0.674344066399954,0.676684343776692,0.655710209625527,0.663721066326652,0.63233091564347,0.6051
"24445","2025-50-106",0.814244804341444,0.915487397109828,0.813701215920814,1.04737371576876,0.910474129957145,0.83543866567306,0.825111576186391,0.8152
"24446","2025-50-118",0.458951734746715,0.441338892910823,0.401073867316736,0.466046306320062,0.509974859382185,0.536453160884117,0.508264387065789,0.4965
