"","week_canton","nino34ssta_lag_8","nino34ssta_lag_7","nino34ssta_lag_6","nino34ssta_lag_5","nino34ssta_lag_4","nino34ssta_lag_3","nino34ssta_lag_2","nino34ssta_lag_1"
"1","2020-9-101",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"2","2020-9-102",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"3","2020-9-103",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"4","2020-9-104",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"5","2020-9-105",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"6","2020-9-106",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"7","2020-9-107",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"8","2020-9-108",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"9","2020-9-109",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"10","2020-9-110",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"11","2020-9-111",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"12","2020-9-112",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"13","2020-9-113",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"14","2020-9-114",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
