"","keyword","value","week_canton"
"145","aedes aegypti",0,"2020-10-201"
"146","aedes aegypti",0,"2020-10-202"
"147","aedes aegypti",0,"2020-10-203"
"148","aedes aegypti",0,"2020-10-204"
"149","aedes aegypti",0,"2020-10-205"
"150","aedes aegypti",0,"2020-10-206"
"151","aedes aegypti",0,"2020-10-207"
"152","aedes aegypti",0,"2020-10-208"
"153","aedes aegypti",0,"2020-10-209"
"154","aedes aegypti",0,"2020-10-210"
"155","aedes aegypti",0,"2020-10-211"
"156","aedes aegypti",0,"2020-10-212"
"157","aedes aegypti",0,"2020-10-213"
"158","aedes aegypti",0,"2020-10-214"
"159","aedes aegypti",0,"2020-10-215"
"160","aedes aegypti",0,"2020-10-216"
"161","aedes aegypti",0,"2020-11-201"
"162","aedes aegypti",0,"2020-11-202"
"163","aedes aegypti",0,"2020-11-203"
"164","aedes aegypti",0,"2020-11-204"
"165","aedes aegypti",0,"2020-11-205"
"166","aedes aegypti",0,"2020-11-206"
"167","aedes aegypti",0,"2020-11-207"
"168","aedes aegypti",0,"2020-11-208"
"169","aedes aegypti",0,"2020-11-209"
"170","aedes aegypti",0,"2020-11-210"
"171","aedes aegypti",0,"2020-11-211"
"172","aedes aegypti",0,"2020-11-212"
"173","aedes aegypti",0,"2020-11-213"
"174","aedes aegypti",0,"2020-11-214"
"175","aedes aegypti",0,"2020-11-215"
"176","aedes aegypti",0,"2020-11-216"
"177","aedes aegypti",0,"2020-12-201"
"178","aedes aegypti",0,"2020-12-202"
"179","aedes aegypti",0,"2020-12-203"
"180","aedes aegypti",0,"2020-12-204"
"181","aedes aegypti",0,"2020-12-205"
"182","aedes aegypti",0,"2020-12-206"
"183","aedes aegypti",0,"2020-12-207"
"184","aedes aegypti",0,"2020-12-208"
"185","aedes aegypti",0,"2020-12-209"
"186","aedes aegypti",0,"2020-12-210"
"187","aedes aegypti",0,"2020-12-211"
"188","aedes aegypti",0,"2020-12-212"
"189","aedes aegypti",0,"2020-12-213"
"190","aedes aegypti",0,"2020-12-214"
"191","aedes aegypti",0,"2020-12-215"
"192","aedes aegypti",0,"2020-12-216"
"193","aedes aegypti",0,"2020-13-201"
"194","aedes aegypti",0,"2020-13-202"
"195","aedes aegypti",0,"2020-13-203"
"196","aedes aegypti",0,"2020-13-204"
"197","aedes aegypti",0,"2020-13-205"
"198","aedes aegypti",0,"2020-13-206"
"199","aedes aegypti",0,"2020-13-207"
"200","aedes aegypti",0,"2020-13-208"
"201","aedes aegypti",0,"2020-13-209"
"202","aedes aegypti",0,"2020-13-210"
"203","aedes aegypti",0,"2020-13-211"
"204","aedes aegypti",0,"2020-13-212"
"205","aedes aegypti",0,"2020-13-213"
"206","aedes aegypti",0,"2020-13-214"
"207","aedes aegypti",0,"2020-13-215"
"208","aedes aegypti",0,"2020-13-216"
"209","aedes aegypti",0,"2020-14-201"
"210","aedes aegypti",0,"2020-14-202"
"211","aedes aegypti",0,"2020-14-203"
"212","aedes aegypti",0,"2020-14-204"
"213","aedes aegypti",0,"2020-14-205"
"214","aedes aegypti",0,"2020-14-206"
"215","aedes aegypti",0,"2020-14-207"
"216","aedes aegypti",0,"2020-14-208"
"217","aedes aegypti",0,"2020-14-209"
"218","aedes aegypti",0,"2020-14-210"
"219","aedes aegypti",0,"2020-14-211"
"220","aedes aegypti",0,"2020-14-212"
"221","aedes aegypti",0,"2020-14-213"
"222","aedes aegypti",0,"2020-14-214"
"223","aedes aegypti",0,"2020-14-215"
"224","aedes aegypti",0,"2020-14-216"
"225","aedes aegypti",0,"2020-15-201"
"226","aedes aegypti",0,"2020-15-202"
"227","aedes aegypti",0,"2020-15-203"
"228","aedes aegypti",0,"2020-15-204"
"229","aedes aegypti",0,"2020-15-205"
"230","aedes aegypti",0,"2020-15-206"
"231","aedes aegypti",0,"2020-15-207"
"232","aedes aegypti",0,"2020-15-208"
"233","aedes aegypti",0,"2020-15-209"
"234","aedes aegypti",0,"2020-15-210"
"235","aedes aegypti",0,"2020-15-211"
"236","aedes aegypti",0,"2020-15-212"
"237","aedes aegypti",0,"2020-15-213"
"238","aedes aegypti",0,"2020-15-214"
"239","aedes aegypti",0,"2020-15-215"
"240","aedes aegypti",0,"2020-15-216"
"241","aedes aegypti",0,"2020-16-201"
"242","aedes aegypti",0,"2020-16-202"
"243","aedes aegypti",0,"2020-16-203"
