"","group","busquedas","week_canton"
"146","employment",0,"2020-1-607"
"147","employment",0,"2020-1-608"
"148","employment",0,"2020-1-609"
"149","employment",0,"2020-1-610"
"150","employment",0,"2020-1-611"
"151","employment",0,"2020-1-701"
"152","employment",0,"2020-1-702"
"153","employment",0,"2020-1-703"
"154","employment",0,"2020-1-704"
"155","employment",0,"2020-1-705"
"156","employment",0,"2020-1-706"
"157","mobility_finance",0,"2020-1-101"
"158","mobility_finance",0,"2020-1-102"
"159","mobility_finance",0,"2020-1-103"
"160","mobility_finance",0,"2020-1-104"
"161","mobility_finance",0,"2020-1-105"
"162","mobility_finance",0,"2020-1-106"
"163","mobility_finance",0,"2020-1-107"
"164","mobility_finance",0,"2020-1-108"
"165","mobility_finance",0,"2020-1-109"
"166","mobility_finance",0,"2020-1-110"
"167","mobility_finance",0,"2020-1-111"
"168","mobility_finance",0,"2020-1-112"
"169","mobility_finance",0,"2020-1-113"
"170","mobility_finance",0,"2020-1-114"
"171","mobility_finance",0,"2020-1-115"
"172","mobility_finance",0,"2020-1-116"
"173","mobility_finance",0,"2020-1-117"
"174","mobility_finance",0,"2020-1-118"
"175","mobility_finance",0,"2020-1-119"
"176","mobility_finance",0,"2020-1-120"
"177","mobility_finance",0,"2020-1-201"
"178","mobility_finance",0,"2020-1-202"
"179","mobility_finance",0,"2020-1-203"
"180","mobility_finance",0,"2020-1-204"
"181","mobility_finance",0,"2020-1-205"
"182","mobility_finance",0,"2020-1-206"
"183","mobility_finance",0,"2020-1-207"
"184","mobility_finance",0,"2020-1-208"
"185","mobility_finance",0,"2020-1-209"
"186","mobility_finance",0,"2020-1-210"
"187","mobility_finance",0,"2020-1-211"
"188","mobility_finance",0,"2020-1-212"
"189","mobility_finance",0,"2020-1-213"
"190","mobility_finance",0,"2020-1-214"
"191","mobility_finance",0,"2020-1-215"
"192","mobility_finance",0,"2020-1-216"
"193","mobility_finance",0,"2020-1-401"
"194","mobility_finance",0,"2020-1-402"
"195","mobility_finance",0,"2020-1-403"
"196","mobility_finance",0,"2020-1-404"
"197","mobility_finance",0,"2020-1-405"
"198","mobility_finance",0,"2020-1-406"
"199","mobility_finance",0,"2020-1-407"
"200","mobility_finance",0,"2020-1-408"
"201","mobility_finance",0,"2020-1-409"
"202","mobility_finance",0,"2020-1-410"
"203","mobility_finance",0,"2020-1-501"
"204","mobility_finance",0,"2020-1-502"
"205","mobility_finance",0,"2020-1-503"
"206","mobility_finance",0,"2020-1-504"
"207","mobility_finance",0,"2020-1-505"
"208","mobility_finance",0,"2020-1-506"
"209","mobility_finance",0,"2020-1-507"
"210","mobility_finance",0,"2020-1-508"
"211","mobility_finance",0,"2020-1-509"
"212","mobility_finance",0,"2020-1-510"
"213","mobility_finance",0,"2020-1-511"
"214","mobility_finance",0,"2020-1-601"
