rr,week-canton,clasi_rr
0.25831112438565357,2020-1-101,Medio
0.9305827743576232,2020-2-101,Alto
1.356303879174122,2020-3-101,Alto
0.6576432018411521,2020-4-101,Alto
0.0,2020-5-101,Bajo
0.1982187435467445,2020-6-101,Medio
0.5652686349492763,2020-7-101,Alto
0.2953425660183902,2020-8-101,Medio
0.45945061331829773,2020-9-101,Medio
0.2243969427688737,2020-10-101,Medio
0.2539387930195449,2020-11-101,Medio
0.0,2020-12-101,Bajo
0.0,2020-13-101,Bajo
0.15080453968296256,2020-14-101,Medio
0.0,2020-15-101,Bajo
0.09588775984825423,2020-16-101,Medio
0.09402571141337049,2020-17-101,Medio
0.09986805022615801,2020-18-101,Medio
0.0,2020-19-101,Bajo
0.0699646495014704,2020-20-101,Medio
0.0588763816492363,2020-21-101,Medio
0.09624250650658628,2020-22-101,Medio
0.1125808638140421,2020-23-101,Medio
0.03852742454846731,2020-24-101,Medio
0.06785582523516225,2020-25-101,Medio
0.10373359653846377,2020-26-101,Medio
0.03255960788549621,2020-27-101,Medio
0.037538659308993694,2020-28-101,Medio
0.0,2020-29-101,Bajo
0.0,2020-30-101,Bajo
0.0,2020-31-101,Bajo
0.0,2020-32-101,Bajo
0.0,2020-33-101,Bajo
0.06529415753016861,2020-34-101,Medio
0.14496199480352367,2020-35-101,Medio
0.14143508215706824,2020-36-101,Medio
0.5177854390695186,2020-37-101,Alto
0.2770488267305955,2020-38-101,Medio
0.0,2020-39-101,Bajo
0.0,2020-40-101,Bajo
0.15264818006829403,2020-41-101,Medio
0.3021348570822945,2020-42-101,Medio
0.0,2020-43-101,Bajo
0.2872131683825906,2020-44-101,Medio
0.2901032166648938,2020-45-101,Medio
0.14802098566671276,2020-46-101,Medio
0.29013904579215993,2020-47-101,Medio
0.213350704647983,2020-48-101,Medio
0.4205432891220315,2020-49-101,Medio
0.0,2020-50-101,Bajo
0.5475673354193435,2020-51-101,Alto
0.0,2020-52-101,Bajo
