"","week_canton","ndvi"
"684","2020-9-505",0.342547642039537
"685","2020-9-511",0.5331880671551
"686","2020-9-510",0.753639013077377
"687","2020-9-501",0.306455938407519
"688","2020-9-509",0.672407301859717
"689","2020-9-502",0.55679653771709
"690","2020-9-503",0.510513731169842
"691","2020-9-508",0.824462294802031
"692","2020-9-402",0.756644949908372
"693","2020-9-407",0.366250196820341
"694","2020-9-408",0.398348878085046
"695","2020-9-401",0.682322106607632
"696","2020-9-406",0.734596882086036
"697","2020-9-409",0.307771448739804
"698","2020-9-405",0.753679969998929
"699","2020-9-404",0.77297700790319
"700","2020-9-403",0.544322793191196
"701","2020-9-410",0.824828699034059
"702","2020-9-706",0.814640147197413
"703","2020-9-701",0.834098317004721
"704","2020-9-705",0.523877243727328
"705","2020-9-702",0.752013759462524
"706","2020-9-703",0.877916527795636
"707","2020-9-704",0.86851899875315
"708","2020-9-603",0.754957685435269
"709","2020-9-610",0.832659278517539
"710","2020-9-608",0.78539881805793
"711","2020-9-602",0.624745465643211
"712","2020-9-611",0.815589197265753
"713","2020-9-607",-0.3
"714","2020-9-604",0.631167915037754
"715","2020-9-605",0.721433774479081
"716","2020-9-609",0.839641041648205
"717","2020-9-601",0.792221498462182
"718","2020-9-606",0.792403531061051
"719","2020-9-112",0.665168128450966
"720","2020-9-110",0.388291530612075
"721","2020-9-106",0.734562224578222
"722","2020-9-118",0.364046309379865
"723","2020-9-103",0.678908962130306
"724","2020-9-117",0.911571755897171
"725","2020-9-102",0.390803426881974
"726","2020-9-108",0.595904212923136
"727","2020-9-120",0.840289369182362
"728","2020-9-115",0.409834885070038
"729","2020-9-107",0.82689239745759
"730","2020-9-114",0.689228093989455
"731","2020-9-119",0.627509461072101
"732","2020-9-104",0.652054700837128
"733","2020-9-101",0.428539387386575
"734","2020-9-109",0.414559751856565
"735","2020-9-105",0.794493307675927
"736","2020-9-113",0.15978800385164
"737","2020-9-116",0.918116470449495
"738","2020-9-111",0.542975656518054
"739","2020-10-201",0.820990156716852
"740","2020-10-205",0.64150877341102
"741","2020-10-203",0.561144525443627
"742","2020-10-215",0.823036981160675
"743","2020-10-214",0.714092454497316
"744","2020-10-206",0.582054001400037
"745","2020-10-209",0.405784609496144
"746","2020-10-207",0.510569122237404
"747","2020-10-208",0.60058703484988
"748","2020-10-216",0.856423598616337
"749","2020-10-210",0.836329310642761
"750","2020-10-204",0.753333362023117
"751","2020-10-202",0.727495917152187
"752","2020-10-212",0.850282309784605
"753","2020-10-213",0.791399424790236
"754","2020-10-211",0.76020107743873
"755","2020-10-306",0.731840690701533
"756","2020-10-301",0.803647500802973
"757","2020-10-308",0.903544710907156
"758","2020-10-304",0.608495738690903
"759","2020-10-303",0.500834378740492
"760","2020-10-307",0.690707681660256
"761","2020-10-302",0.843060970930442
"762","2020-10-305",0.786068092415203
"763","2020-10-507",0.579961323006757
"764","2020-10-504",0.440658484945665
"765","2020-10-506",0.446206299362892
"766","2020-10-505",0.318164790439515
"767","2020-10-511",0.507699778985199
"768","2020-10-510",0.738845589455339
"769","2020-10-501",0.294983619389845
"770","2020-10-509",0.620246624545045
"771","2020-10-502",0.547279925201023
"772","2020-10-503",0.508496584621677
"773","2020-10-508",0.834510334032047
"774","2020-10-402",0.73291855671873
"775","2020-10-407",0.381798070321248
"776","2020-10-408",0.401960606651968
"777","2020-10-401",0.504918322604343
"778","2020-10-406",0.746477095344273
"779","2020-10-409",0.356093561741827
"780","2020-10-405",0.756718677302546
"781","2020-10-404",0.750907713667677
"782","2020-10-403",0.521790694992109
"783","2020-10-410",0.829440897261767
"784","2020-10-706",0.753652960146548
"785","2020-10-701",0.80797365850903
"786","2020-10-705",0.468278095585113
"787","2020-10-702",0.745407083571435
