urb,week_canton
1,2020-5-207
1,2020-5-208
2,2020-5-209
2,2020-5-210
2,2020-5-211
2,2020-5-212
2,2020-5-213
0,2020-5-214
0,2020-5-215
0,2020-5-216
1,2020-5-301
2,2020-5-302
1,2020-5-303
2,2020-5-304
2,2020-5-305
2,2020-5-306
1,2020-5-307
1,2020-5-308
1,2020-5-401
1,2020-5-402
1,2020-5-403
1,2020-5-404
1,2020-5-405
1,2020-5-406
1,2020-5-407
1,2020-5-408
1,2020-5-409
0,2020-5-410
2,2020-5-501
0,2020-5-502
0,2020-5-503
0,2020-5-504
2,2020-5-505
0,2020-5-506
0,2020-5-507
0,2020-5-508
0,2020-5-509
0,2020-5-510
2,2020-5-511
2,2020-5-601
2,2020-5-602
0,2020-5-603
2,2020-5-604
2,2020-5-605
2,2020-5-606
0,2020-5-607
2,2020-5-608
2,2020-5-609
2,2020-5-610
0,2020-5-611
0,2020-5-701
0,2020-5-702
0,2020-5-703
0,2020-5-704
0,2020-5-705
2,2020-5-706
1,2020-6-101
1,2020-6-102
1,2020-6-103
2,2020-6-104
2,2020-6-105
1,2020-6-106
2,2020-6-107
1,2020-6-108
1,2020-6-109
1,2020-6-110
1,2020-6-111
2,2020-6-112
1,2020-6-113
1,2020-6-114
1,2020-6-115
0,2020-6-116
0,2020-6-117
1,2020-6-118
2,2020-6-119
2,2020-6-120
1,2020-6-201
2,2020-6-202
1,2020-6-203
2,2020-6-204
1,2020-6-205
1,2020-6-206
1,2020-6-207
1,2020-6-208
2,2020-6-209
2,2020-6-210
2,2020-6-211
2,2020-6-212
2,2020-6-213
0,2020-6-214
0,2020-6-215
0,2020-6-216
1,2020-6-301
2,2020-6-302
1,2020-6-303
2,2020-6-304
2,2020-6-305
2,2020-6-306
1,2020-6-307
1,2020-6-308
1,2020-6-401
1,2020-6-402
1,2020-6-403
1,2020-6-404
1,2020-6-405
1,2020-6-406
1,2020-6-407
1,2020-6-408
1,2020-6-409
0,2020-6-410
2,2020-6-501
0,2020-6-502
0,2020-6-503
0,2020-6-504
2,2020-6-505
0,2020-6-506
0,2020-6-507
0,2020-6-508
0,2020-6-509
0,2020-6-510
2,2020-6-511
2,2020-6-601
2,2020-6-602
0,2020-6-603
2,2020-6-604
2,2020-6-605
2,2020-6-606
0,2020-6-607
2,2020-6-608
2,2020-6-609
2,2020-6-610
0,2020-6-611
0,2020-6-701
0,2020-6-702
0,2020-6-703
0,2020-6-704
0,2020-6-705
2,2020-6-706
1,2020-7-101
1,2020-7-102
1,2020-7-103
2,2020-7-104
2,2020-7-105
1,2020-7-106
2,2020-7-107
1,2020-7-108
1,2020-7-109
1,2020-7-110
1,2020-7-111
2,2020-7-112
1,2020-7-113
1,2020-7-114
1,2020-7-115
0,2020-7-116
0,2020-7-117
1,2020-7-118
2,2020-7-119
2,2020-7-120
1,2020-7-201
2,2020-7-202
1,2020-7-203
2,2020-7-204
1,2020-7-205
1,2020-7-206
1,2020-7-207
1,2020-7-208
2,2020-7-209
2,2020-7-210
2,2020-7-211
2,2020-7-212
2,2020-7-213
0,2020-7-214
0,2020-7-215
0,2020-7-216
1,2020-7-301
2,2020-7-302
1,2020-7-303
2,2020-7-304
2,2020-7-305
2,2020-7-306
1,2020-7-307
1,2020-7-308
1,2020-7-401
1,2020-7-402
1,2020-7-403
1,2020-7-404
1,2020-7-405
1,2020-7-406
1,2020-7-407
1,2020-7-408
1,2020-7-409
0,2020-7-410
2,2020-7-501
0,2020-7-502
0,2020-7-503
0,2020-7-504
2,2020-7-505
0,2020-7-506
0,2020-7-507
0,2020-7-508
0,2020-7-509
0,2020-7-510
2,2020-7-511
2,2020-7-601
2,2020-7-602
0,2020-7-603
2,2020-7-604
2,2020-7-605
2,2020-7-606
0,2020-7-607
2,2020-7-608
2,2020-7-609
2,2020-7-610
0,2020-7-611
0,2020-7-701
0,2020-7-702
0,2020-7-703
0,2020-7-704
0,2020-7-705
2,2020-7-706
1,2020-8-101
1,2020-8-102
1,2020-8-103
2,2020-8-104
2,2020-8-105
1,2020-8-106
2,2020-8-107
1,2020-8-108
1,2020-8-109
1,2020-8-110
1,2020-8-111
2,2020-8-112
1,2020-8-113
1,2020-8-114
1,2020-8-115
0,2020-8-116
0,2020-8-117
1,2020-8-118
2,2020-8-119
2,2020-8-120
1,2020-8-201
