"","canton","tmin_min","tmin_max","tmin_mean","tmin_median","week"
"75","Barva",22.554651,23.816072,23.279591,23.335552,"2021-1"
"76","Buenos Aires",21.087145,30.058054,26.8853443834586,27.274956,"2021-1"
"77","Carrillo",NA,NA,NA,NA,"2021-1"
"78","Cartago",22.478407,23.811771,23.1960222142857,23.2465785,"2021-1"
"79","Cañas",30.622272,33.496452,32.4436546857143,32.629955,"2021-1"
"80","Corredores",28.47653,33.495792,31.5372759428571,32.15643,"2021-1"
"81","Coto Brus",19.827662,27.759161,24.8385058035714,25.0042115,"2021-1"
"82","Dota",18.615213,27.459013,22.3067884761905,20.81281,"2021-1"
"83","El Guarco",20.140203,23.401537,21.76165,21.75686,"2021-1"
"84","Esparza",30.082382,32.47999,31.1815557142857,31.263071,"2021-1"
"85","Garabito",30.43635,32.557354,31.4802751904762,31.543608,"2021-1"
"86","Golfito",30.036268,33.921547,32.111444552381,32.170876,"2021-1"
"87","Grecia",25.852842,26.958748,26.5490744285714,26.638212,"2021-1"
"88","Guatuso",27.21838,33.323044,30.9292465510204,31.525036,"2021-1"
"89","Guácimo",21.124731,32.300014,28.8266156285714,30.20689,"2021-1"
"90","Heredia",21.239006,23.917227,22.6852702142857,22.677354,"2021-1"
"91","Hojancha",29.914793,31.275282,30.704911,30.806509,"2021-1"
"92","Jiménez",24.553843,25.826532,25.3953528571429,25.585659,"2021-1"
"93","La Cruz",NA,NA,NA,NA,"2021-1"
"94","La Unión",23.556787,24.549574,24.1554388571429,24.284483,"2021-1"
"95","León Cortés Castro",23.256002,24.17054,23.6126784285714,23.56021,"2021-1"
"96","Liberia",29.449265,33.916824,32.1695542142857,32.383285,"2021-1"
"97","Limón",19.699535,32.030323,27.0254808095238,27.946001,"2021-1"
"98","Los Chiles",30.350437,33.363533,32.2848121428571,32.333572,"2021-1"
"99","Matina",24.949131,32.221428,29.0139006190476,29.084601,"2021-1"
"100","Montes de Oro",26.672163,30.800673,28.7883433571429,28.6718035,"2021-1"
"101","Mora",27.070267,27.973385,27.4509267142857,27.443068,"2021-1"
"102","Nandayure",30.052862,33.653076,32.0761265428571,32.155197,"2021-1"
"103","Naranjo",25.52039,26.440863,26.126986,26.212934,"2021-1"
"104","Nicoya",29.806206,34.376347,32.0445978214286,32.034905,"2021-1"
"105","Oreamuno",23.261919,24.874378,24.2396748571429,24.186983,"2021-1"
"106","Orotina",31.13257,32.100525,31.5277742857143,31.450624,"2021-1"
"107","Osa",29.806866,33.19635,31.758685352381,31.780529,"2021-1"
"108","Paraíso",17.581417,24.286911,20.6681811428571,20.1833145,"2021-1"
"109","Parrita",30.786179,33.254612,32.060240952381,32.429092,"2021-1"
"110","Pococí",22.660892,32.714622,30.6881545,31.145214,"2021-1"
"111","Puntarenas",NA,NA,NA,NA,"2021-1"
"112","Puriscal",26.16002,32.69306,29.3000409142857,28.934511,"2021-1"
"113","Pérez Zeledón",20.05339,30.659021,25.9141583979592,26.768751,"2021-1"
"114","Quepos",28.82246,32.97378,31.5310603095238,31.9990595,"2021-1"
"115","Río Cuarto",24.440926,32.12411,28.6894363333333,29.602713,"2021-1"
"116","San Carlos",22.598747,33.43663,30.487274543956,31.1081035,"2021-1"
"117","San Mateo",28.11186,29.100876,28.4962958571429,28.383774,"2021-1"
"118","San Pablo",24.993343,26.053713,25.6383874285714,25.774986,"2021-1"
"119","San Ramón",23.810123,29.369831,26.1912307678571,25.72167,"2021-1"
"120","Santa Ana",25.156942,26.087957,25.63804,25.65612,"2021-1"
"121","Santa Cruz",NA,NA,NA,NA,"2021-1"
"122","Sarapiquí",23.604229,32.662178,30.2411654285714,30.923908,"2021-1"
"123","Sarchí",22.054338,23.701923,22.9509422857143,23.030563,"2021-1"
"124","Siquirres",25.782661,31.985611,29.2628274107143,29.3096,"2021-1"
"125","Talamanca",16.17025,32.78803,24.0810487267081,23.520077,"2021-1"
"126","Tarrazú",22.674728,29.084883,26.2856505714286,26.887562,"2021-1"
"127","Tilarán",24.487509,31.013758,28.3253775714286,28.308645,"2021-1"
"128","Turrialba",16.78919,27.902922,22.8240954835165,23.357353,"2021-1"
"129","Turrubares",29.067375,32.44904,30.6870162857143,30.757385,"2021-1"
"130","Upala",25.35091,33.17247,30.1228628265306,30.517144,"2021-1"
"131","Vázquez de Coronado",19.536438,24.85157,22.4163937857143,22.311328,"2021-1"
"132","Zarcero",23.775972,25.287027,24.6152911428571,24.527218,"2021-1"
"133","Abangares",30.24816,34.64411,32.7991197619048,33.07948,"2022-1"
"134","Acosta",26.877203,31.382235,28.5991718095238,27.667355,"2022-1"
"135","Alajuela",20.657072,29.302393,25.6895009642857,26.6443545,"2022-1"
"136","Alajuelita",22.81491,24.301552,23.3610097142857,23.337482,"2022-1"
"137","Alvarado",22.628239,24.786736,23.3557388571429,23.199804,"2022-1"
"138","Aserrí",24.868172,26.075493,25.3026508571429,25.29241,"2022-1"
"139","Atenas",26.99947,27.743431,27.3826875714286,27.41097,"2022-1"
"140","Bagaces",28.053423,34.877197,32.2758266857143,32.7727315,"2022-1"
"141","Barva",22.795742,24.67893,23.426703,23.301147,"2022-1"
"142","Buenos Aires",21.795914,30.923346,27.3220148646617,28.123674,"2022-1"
"143","Carrillo",NA,NA,NA,NA,"2022-1"
"144","Cartago",22.511665,24.625393,23.2614464285714,23.219578,"2022-1"
"145","Cañas",31.213703,35.0273,33.239586,33.420277,"2022-1"
"146","Corredores",28.151348,34.29382,31.8326930285714,32.284042,"2022-1"
"147","Coto Brus",20.146425,28.656034,25.1163862857143,25.316698,"2022-1"
"148","Dota",18.726982,28.199514,22.5612068571429,20.93615,"2022-1"
"149","El Guarco",20.174698,23.871626,21.9031449285714,22.113191,"2022-1"
"150","Esparza",30.259474,32.43505,31.3797268571429,31.346094,"2022-1"
"151","Garabito",30.646467,32.480556,31.6460565238095,31.832504,"2022-1"
"152","Golfito",29.820997,34.687016,32.4299063142857,32.498108,"2022-1"
"153","Grecia",26.315058,27.756485,26.8867295714286,26.81663,"2022-1"
"154","Guatuso",27.898563,33.534325,31.0737633673469,31.573057,"2022-1"
"155","Guácimo",21.515438,32.80333,28.7371536857143,30.21322,"2022-1"
"156","Heredia",21.563614,24.762346,22.7445495,22.6960115,"2022-1"
"157","Hojancha",30.986586,31.630156,31.421185,31.554514,"2022-1"
"158","Jiménez",24.708511,26.80022,25.4661367142857,25.399326,"2022-1"
"159","La Cruz",NA,NA,NA,NA,"2022-1"
"160","La Unión",23.60932,25.290112,24.2242952857143,24.22115,"2022-1"
"161","León Cortés Castro",23.35593,24.544619,23.7681342857143,23.771152,"2022-1"
"162","Liberia",29.820133,35.155224,32.6597780714286,32.778695,"2022-1"
"163","Limón",20.060781,32.364563,26.8620864571429,27.62243,"2022-1"
"164","Los Chiles",30.987026,33.71999,32.3224885194805,32.22518,"2022-1"
"165","Matina",25.221035,32.64435,28.8908500714286,29.382666,"2022-1"
"166","Montes de Oro",27.200113,30.97704,29.195169,29.2579445,"2022-1"
"167","Mora",27.352676,28.293417,27.7077815714286,27.609161,"2022-1"
"168","Nandayure",31.10459,33.665432,32.6687770285714,32.76464,"2022-1"
"169","Naranjo",25.978378,27.119314,26.4789232857143,26.501352,"2022-1"
"170","Nicoya",30.779837,35.13372,32.9192627142857,32.934,"2022-1"
"171","Oreamuno",23.506874,25.729624,24.1684278571429,23.992342,"2022-1"
"172","Orotina",31.307352,32.0463,31.7100462857143,31.677202,"2022-1"
"173","Osa",30.371605,33.83859,32.1552059809524,32.199314,"2022-1"
"174","Paraíso",17.748262,25.141111,20.8410986428571,20.452721,"2022-1"
"175","Parrita",30.686611,33.562363,32.2667727619048,32.55553,"2022-1"
"176","Pococí",22.98468,33.131622,30.7984486285714,31.2235155,"2022-1"
"177","Puntarenas",NA,NA,NA,NA,"2022-1"
"178","Puriscal",26.249289,32.792923,29.4581511714286,29.167337,"2022-1"
"179","Pérez Zeledón",20.517174,31.303856,26.2748303673469,27.050375,"2022-1"
"180","Quepos",28.84906,33.36114,31.8130006904762,32.1803825,"2022-1"
"181","Río Cuarto",24.958591,32.746166,28.8399373809524,29.316452,"2022-1"
"182","San Carlos",23.168112,33.401318,30.6366013571429,31.127476,"2022-1"
"183","San Mateo",28.306166,29.093784,28.7998675714286,28.89598,"2022-1"
"184","San Pablo",25.173342,26.876873,25.8083044285714,25.772291,"2022-1"
"185","San Ramón",24.31063,30.03633,26.6349186964286,26.263487,"2022-1"
"186","Santa Ana",25.413383,26.66809,25.8769215714286,25.831648,"2022-1"
"187","Santa Cruz",NA,NA,NA,NA,"2022-1"
"188","Sarapiquí",23.956367,33.134968,30.3726496806723,30.945091,"2022-1"
"189","Sarchí",22.56412,24.450787,23.200339,23.061663,"2022-1"
"190","Siquirres",26.182926,32.500942,29.1185443571429,28.950202,"2022-1"
"191","Talamanca",16.801353,32.980072,24.0057603726708,23.525713,"2022-1"
"192","Tarrazú",22.75251,29.738974,26.4977553928571,27.174322,"2022-1"
"193","Tilarán",25.179789,32.42939,28.9515464285714,28.772758,"2022-1"
"194","Turrialba",17.239609,28.28961,22.7064989120879,23.231478,"2022-1"
"195","Turrubares",29.211079,32.44876,30.8391742142857,30.779458,"2022-1"
"196","Upala",25.766634,33.68103,30.4376135204082,30.790367,"2022-1"
"197","Vázquez de Coronado",19.671421,25.668438,22.3903774285714,22.7851855,"2022-1"
"198","Zarcero",24.266659,26.002617,24.9182721428571,24.870342,"2022-1"
"199","Abangares",29.646994,33.59687,32.0080393125,32.038931,"2023-1"
"200","Acosta",26.36268,31.34382,28.4825287083333,27.71867,"2023-1"
"201","Alajuela",20.998459,29.269047,25.88590171875,26.58642,"2023-1"
"202","Alajuelita",22.742588,23.816286,23.497678,23.6573985,"2023-1"
"203","Alvarado",23.131218,23.988169,23.5910445,23.662019,"2023-1"
"204","Aserrí",24.379187,25.89786,25.3177175,25.480518,"2023-1"
"205","Atenas",26.70446,28.197905,27.436686125,27.460392,"2023-1"
"206","Bagaces",27.384798,34.038155,31.7050795375,32.1946165,"2023-1"
"207","Barva",23.237345,24.272352,23.750949875,23.7706005,"2023-1"
"208","Buenos Aires",20.891846,30.341566,26.824899625,27.397751,"2023-1"
"209","Carrillo",NA,NA,NA,NA,"2023-1"
"210","Cartago",22.486818,23.986034,23.4136178125,23.5004815,"2023-1"
"211","Cañas",30.331701,33.74023,32.52568755,32.591644,"2023-1"
"212","Corredores",28.004108,33.44174,31.18646235,31.487859,"2023-1"
"213","Coto Brus",19.501694,28.026556,24.701704875,24.9367615,"2023-1"
"214","Dota",18.590498,27.582005,22.3744879583333,20.97795,"2023-1"
"215","El Guarco",20.02734,23.686281,21.927070625,21.717068,"2023-1"
"216","Esparza",29.970936,34.321957,31.4069383125,31.281951,"2023-1"
"217","Garabito",30.113792,33.593773,31.6138485,31.6524805,"2023-1"
"218","Golfito",29.302063,34.040985,31.9098444,32.0057315,"2023-1"
"219","Grecia",26.475359,27.684093,27.051481125,27.1625785,"2023-1"
"220","Guatuso",27.197075,33.41953,30.7194754464286,31.091805,"2023-1"
"221","Guácimo",22.027529,32.04239,29.027987225,30.628335,"2023-1"
"222","Heredia",21.970713,24.163519,23.14032475,23.247877,"2023-1"
"223","Hojancha",30.180029,31.578884,30.91566925,31.0108915,"2023-1"
"224","Jiménez",25.12889,26.012947,25.599114375,25.694729,"2023-1"
"225","La Cruz",NA,NA,NA,NA,"2023-1"
"226","La Unión",23.753517,24.759367,24.425953,24.5347775,"2023-1"
"227","León Cortés Castro",22.79489,24.314537,23.678807,23.8033655,"2023-1"
"228","Liberia",29.08797,34.379105,32.1803194875,32.279909,"2023-1"
"229","Limón",20.174442,32.241623,27.0039743416667,27.8671675,"2023-1"
