"","temp_prom","week_canton"
"142",28.9567925714286,"2022-38-507"
"143",29.0481692857143,"2022-39-507"
"144",29.2161633571429,"2022-40-507"
"145",29.1593890714285,"2022-41-507"
"146",29.2136088571429,"2022-42-507"
"147",29.3048698571429,"2022-43-507"
"148",27.9607329285714,"2022-44-507"
"149",28.0582470714285,"2022-45-507"
"150",28.5792077142857,"2022-46-507"
"151",28.0511549285714,"2022-47-507"
"152",28.3878654285714,"2022-48-507"
"153",28.1756917142857,"2022-49-507"
"154",28.5395888571429,"2022-50-507"
"155",28.3914630714286,"2022-51-507"
"156",28.379753,"2022-52-507"
"157",28.230799,"2023-1-507"
"158",28.3005312857143,"2023-2-507"
"159",28.2078521428572,"2023-3-507"
"160",28.9531206428572,"2023-4-507"
"161",29.4305206428572,"2023-5-507"
"162",30.3320132142857,"2023-6-507"
"163",30.1491505,"2023-7-507"
"164",29.9189367857143,"2023-8-507"
"165",30.1209921428572,"2023-9-507"
"166",30.8168992857143,"2023-10-507"
"167",30.5689353571429,"2023-11-507"
"168",30.6283338571428,"2023-12-507"
"169",30.5746054285714,"2023-13-507"
"170",30.5972881428571,"2023-14-507"
"171",30.4695765714286,"2023-15-507"
"172",30.4985137142857,"2023-16-507"
"173",30.8034360714286,"2023-17-507"
"174",31.1200439285714,"2023-18-507"
"175",30.7525811428571,"2023-19-507"
"176",31.1993135714285,"2023-20-507"
"177",30.8154216428571,"2023-21-507"
"178",30.2483566428571,"2023-22-507"
"179",29.8399865714286,"2023-23-507"
"180",30.1695854285714,"2023-24-507"
"181",29.9708695,"2023-25-507"
"182",30.1822841428571,"2023-26-507"
"183",30.1971727857143,"2023-27-507"
"184",30.5440914285714,"2023-28-507"
"185",30.7124151428571,"2023-29-507"
"186",30.4808699285714,"2023-30-507"
"187",30.5855747142857,"2023-31-507"
"188",30.448959,"2023-32-507"
"189",30.2189186428571,"2023-33-507"
"190",29.8875231428571,"2023-34-507"
"191",30.4650034285714,"2023-35-507"
"192",30.1949627142857,"2023-36-507"
"193",30.1320862142857,"2023-37-507"
"194",30.2460729285714,"2023-38-507"
"195",30.0276647857143,"2023-39-507"
"196",29.8284918571429,"2023-40-507"
"197",29.8789930714286,"2023-41-507"
"198",29.6359019285714,"2023-42-507"
"199",29.25959,"2023-43-507"
"200",28.5968159285714,"2023-44-507"
"201",29.0753534285714,"2023-45-507"
"202",28.9521545714286,"2023-46-507"
"203",28.7596289285714,"2023-47-507"
"204",29.0796112857143,"2023-48-507"
"205",29.5363464285714,"2023-49-507"
"206",29.9213732142857,"2023-50-507"
"207",28.7117570714286,"2023-51-507"
"208",29.3291018571429,"2023-52-507"
"209",28.8738707857143,"2024-1-507"
"210",29.511337,"2024-2-507"
"211",29.7330735714286,"2024-3-507"
"212",29.8290912857143,"2024-4-507"
"213",29.4979331428572,"2024-5-507"
"214",29.5817600714286,"2024-6-507"
"215",31.0302208571429,"2024-7-507"
"216",29.8796872142857,"2024-8-507"
"217",30.5331342857143,"2024-9-507"
"218",31.3146629285714,"2024-10-507"
"219",32.1581736428571,"2024-11-507"
"220",32.118759,"2024-12-507"
"221",31.6817120714286,"2024-13-507"
"222",30.9870582142857,"2024-14-507"
"223",31.9243855714286,"2024-15-507"
"224",30.9580377857143,"2024-16-507"
"225",31.5358057857143,"2024-17-507"
"226",30.7212514285714,"2024-18-507"
"227",31.0027083571428,"2024-19-507"
"228",30.9111906428571,"2024-20-507"
"229",30.8757285714286,"2024-21-507"
"230",30.7003445,"2024-22-507"
"231",29.9545808571429,"2024-23-507"
"232",29.6388853571429,"2024-24-507"
"233",29.7571020714286,"2024-25-507"
"234",29.3609463571429,"2024-26-507"
"235",29.7526572142857,"2024-27-507"
"236",30.1767196428572,"2024-28-507"
"237",30.2348963571429,"2024-29-507"
"238",30.0919082857143,"2024-30-507"
"239",30.1389050714286,"2024-31-507"
"240",30.0989441428571,"2024-32-507"
"241",30.0501475714286,"2024-33-507"
"242",29.9558461428571,"2024-34-507"
"243",30.1119891428571,"2024-35-507"
"244",29.8338983571429,"2024-36-507"
"245",30.0510538571428,"2024-37-507"
"246",29.7095042142857,"2024-38-507"
"247",29.2382872857143,"2024-39-507"
"248",29.1409375714286,"2024-40-507"
"249",29.0493749285714,"2024-41-507"
