"","tmax_min","tmax_max","tmax_mean","tmax_median","week_canton"
"81",29.870111,35.129524,33.15551,33.896587,"2021-29-507"
"82",32.549984,33.6512,33.2172477142857,33.362583,"2021-30-507"
"83",32.143227,34.250496,33.0181511428571,32.7664,"2021-31-507"
"84",32.10659,33.965195,33.1065777142857,33.614662,"2021-32-507"
"85",32.207115,33.515614,32.6973545714286,32.63439,"2021-33-507"
"86",30.660309,33.426643,32.158343,32.031437,"2021-34-507"
"87",31.153894,33.436035,32.4342264285714,32.504765,"2021-35-507"
"88",31.386395,33.075123,32.1516592857143,31.954514,"2021-36-507"
"89",32.130863,33.891605,33.2786192857143,33.351505,"2021-37-507"
"90",31.924063,34.1443,32.9666197142857,32.851944,"2021-38-507"
"91",31.861242,33.9252,32.910664,32.70676,"2021-39-507"
"92",32.083893,34.187675,33.1182897142857,32.943943,"2021-40-507"
"93",32.24187,33.37352,32.7971638571429,32.992928,"2021-41-507"
"94",31.88666,33.322353,32.3977388571429,32.2802,"2021-42-507"
"95",30.59863,33.624825,32.0431978571429,32.156925,"2021-43-507"
"96",30.218594,31.95538,31.0952947142857,31.008406,"2021-44-507"
"97",30.677725,32.442017,31.6646898571429,31.749441,"2021-45-507"
"98",31.514727,32.636047,32.0910435714286,32.04626,"2021-46-507"
"99",31.11306,32.683807,31.6085251428571,31.355127,"2021-47-507"
"100",30.161636,32.72897,31.566243,31.587341,"2021-48-507"
"101",32.38508,33.526337,32.916018,32.709892,"2021-49-507"
"102",31.486607,34.01562,32.9679222857143,33.170013,"2021-50-507"
"103",31.802124,33.489716,32.7672977142857,32.499847,"2021-51-507"
"104",33.602997,34.315144,33.9183871428571,33.913006,"2021-52-507"
"105",32.842693,33.726955,33.3049328571429,33.363445,"2022-1-507"
"106",32.44181,33.894096,33.1989161428571,33.211052,"2022-2-507"
"107",32.40521,34.005962,33.3516921428571,33.3067,"2022-3-507"
"108",31.946161,33.96189,33.1588941428571,33.224834,"2022-4-507"
"109",31.236866,35.59477,34.32049,34.453457,"2022-5-507"
"110",33.99751,35.11199,34.6121154285714,34.533478,"2022-6-507"
"111",33.730007,35.323734,34.605478,34.77257,"2022-7-507"
"112",34.05712,34.838917,34.5988247142857,34.702988,"2022-8-507"
"113",34.463825,35.501987,34.9893134285714,35.06748,"2022-9-507"
"114",35.121563,36.65175,36.1119544285714,36.368767,"2022-10-507"
"115",35.06789,36.65724,36.0734382857143,36.22187,"2022-11-507"
"116",34.874893,36.60612,35.83074,35.737827,"2022-12-507"
"117",35.714573,36.69748,36.1384762857143,36.03358,"2022-13-507"
"118",34.669514,36.033627,35.5621631428571,35.602436,"2022-14-507"
"119",35.57039,36.35794,36.0404445714286,36.08655,"2022-15-507"
"120",34.997444,36.197124,35.4681652857143,35.353516,"2022-16-507"
"121",33.948326,35.202145,34.6357398571429,34.83135,"2022-17-507"
"122",33.41036,35.383537,34.0308732857143,34.009903,"2022-18-507"
"123",33.61688,34.63214,34.1625825714286,34.156914,"2022-19-507"
"124",32.11416,34.218845,33.3770544285714,33.442924,"2022-20-507"
"125",32.434147,34.423172,33.4603944285714,33.493217,"2022-21-507"
"126",30.94459,33.455067,32.1505665714286,32.27372,"2022-22-507"
"127",30.891933,32.52127,31.7979264285714,31.81961,"2022-23-507"
"128",30.386938,32.405262,31.5399452857143,32.000107,"2022-24-507"
"129",31.390415,33.04019,32.3938061428571,32.563606,"2022-25-507"
"130",30.778704,32.88193,32.035068,32.489296,"2022-26-507"
"131",31.612839,33.486538,32.9420204285714,33.08417,"2022-27-507"
"132",31.739437,34.20924,33.1162722857143,33.418945,"2022-28-507"
"133",31.159721,33.675842,32.8844817142857,33.028496,"2022-29-507"
"134",31.94621,33.966656,33.052839,33.097816,"2022-30-507"
"135",31.515057,34.1201,32.532798,32.209476,"2022-31-507"
"136",31.460304,34.147316,33.1494545714286,33.25364,"2022-32-507"
"137",31.946184,34.47102,33.4872494285714,33.77519,"2022-33-507"
"138",31.198212,33.915943,32.6442355714286,32.643707,"2022-34-507"
"139",31.72442,33.172447,32.6880672857143,32.895958,"2022-35-507"
"140",31.907345,34.311607,32.6990152857143,32.30696,"2022-36-507"
"141",31.363619,32.98411,31.9854852857143,31.882032,"2022-37-507"
"142",31.271904,33.135277,32.0820018571429,31.914999,"2022-38-507"
"143",30.41629,32.710285,31.8293997142857,32.030064,"2022-39-507"
"144",29.13983,33.799583,32.4522122857143,32.852467,"2022-40-507"
"145",30.756859,33.705738,32.4482291428571,32.441784,"2022-41-507"
"146",32.168728,34.176617,32.8837312857143,32.720047,"2022-42-507"
"147",31.802456,33.88106,32.9444395714286,32.9775,"2022-43-507"
"148",28.639072,32.65897,30.5810005714286,31.38189,"2022-44-507"
"149",28.96893,32.029564,31.0354221428571,31.49057,"2022-45-507"
"150",30.959332,32.429195,31.720151,31.458172,"2022-46-507"
"151",29.509935,31.831083,30.919162,31.171331,"2022-47-507"
"152",30.580317,32.355312,31.5990535714286,31.872278,"2022-48-507"
"153",31.338678,32.419376,31.9793787142857,31.927141,"2022-49-507"
"154",32.128983,33.08457,32.6519412857143,32.639854,"2022-50-507"
