"","week","507","112","201","110","306","106","205","504","402","407","603","505","301","506","610","608","118","103","117","308","102","602","408","611","108","607","203","215","706","401","511","304","510","303","120","501","701","214","705","115","604","107","114","509","206","502","307","209","605","207","302","609","702","208","601","104","119","606","216","210","406","101","204","409","405","202","109","404","503","403","410","212","703","704","105","113","508","305","116","213","111","211"
"1","2020-1",3.0395114,46.348244,5.2302239,11.819548,27.190937,42.00452,5.7994637,0,32.469563,6.2445216,25.962212,0,18.913248,0,22.3528625,19.540365,5.9209895,6.4725957,14.279578,16.89403,8.42315,10.3174925,6.6316037,19.507296,18.615238,22.3664409,6.8167706,0,74.50186,60.435545,0,65.40901,0,10.827691,24.529877,0,0,0,0,5.9209895,7.06192,32.64829,30.387296,0,8.175804,0,25.047783,16.482372,43.976765,4.787049,148.98451,18.579306,72.304924,15.2165843,4.2119946,30.67583,0,47.83309,101.03265,65.14093,30.387296,8.42315,11.098368,6.3699064,21.847557,29.59566,7.508459,32.469563,0,6.3699064,0,21.876056,0,36.4556635,27.56346,6.3699064,0,0,20.14114,0,35.79354,45.807956
"2","2020-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.95576,0,0,28.4304344,0,0,0,0,0,31.28774,0,0
"3","2020-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.282256,0,0,0,0,0,0,0,0
"4","2020-4",0.8991324,27.936169,1.0750542,3.49653,24.522846,21.970285,1.0832082,11.3321393,18.823942,1.77063345,57.808122,2.5335233,22.23092,5.9538936,87.601401,62.084573,1.1470268,1.5915161,21.9702042,25.44279,2.9925041,3.5750504,2.0529187,9.0355015,12.770434,77.01061746,0.7915439,258.04251,244.77003,33.879353,3.6446989,73.203813,36.830345,6.6831293,22.021273,0,314.404202,129.613,194.73159,1.1470268,3.2663426,13.750686,24.83715,5.3888888,2.803205,6.433915,30.680645,6.069316,128.69737,0.8607393,124.607441,13.714339,157.72243,7.2834387,1.72416895,24.598259,48.8616213,47.343822,70.583664,36.569488,24.83715,2.9925041,3.1509676,1.26152408,12.777452,18.58188,3.9283004,18.823942,4.1112633,1.26152408,80.06028,9.503608,260.18787,122.8215415,26.7058841,1.26152408,131.529355,148.70195,12.319533,99.9511,36.43272,19.141336
"5","2020-5",1.2592728,33.242358,1.8125979,4.1369095,36.7872044,26.0990575,1.9746106,10.599904,29.2839426,2.7322798,0,0,33.114676,3.1676705,28.794472,64.8922865,1.5753601,2.9362253,14.2361028,18.255045,3.7163651,4.1458497,2.4580774,11.272509,19.608527,37.2566649,1.23634985,12.322007,19.639233,70.238483,5.9458303,104.97707,0,11.2283475,16.1383876,0,259.39984,8.84091,357.33006,1.5753601,3.3740318,17.356792,40.446996,6.858645,3.260706,0,41.7539105,6.8364076,62.313606,1.7760886,183.463167,16.0644414,17.059677,12.6564926,2.287104,29.226146,30.28296,32.868263,108.070024,9.861116,40.446996,3.7163651,4.3141274,1.5276729,20.2961473,25.2445703,4.9215854,29.2839426,3.755991,1.5276729,108.333843,15.5462541,384.809945,107.591101,16.144732,1.5276729,8.169854,276.342712,12.002176,6.040711,47.737892,24.9706993
"6","2020-6",0,12.378855,2.6474333,0,3.3220105,11.6731046,3.6590776,4.465222,6.337846,3.7059355,5.928756,0,4.5341616,0,17.987633,5.93928,0,0,0,7.923316,0,0,2.7932925,5.620093,2.7917416,9.70653418,2.7853432,17.091682,9.223877,6.772467,0,0,0,2.5265515,8.0312737,0,16.473396,0,9.404845,0,0,11.1200447,6.743658,6.0672617,0,0,4.3165684,4.5927234,18.6770019,4.1204796,20.5470793,4.545179,6.96973,0,3.9677217,10.0529977,0,0,17.5478484,0,6.743658,0,0,0,4.856646,3.997056,6.1745195,6.337846,0,0,6.4144335,3.6518612,10.075976,15.909952,0,0,7.4303346,6.767133,6.9710836,8.6783495,0,3.616955
"7","2020-7",0,0,0,0,0,0,3.2162356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9296083,23.6744882,4.055907,0,0,0,0,0,0,25.0533305,6.5658674,20.9520897,0,0,0,0,0,0,3.1951852,0,0,0,0,6.5887036,0,14.290302,0,0,0,0,0,7.1391525,0,0,0,0,0,0,0,0,0,0,0,7.6664553,0,23.992594,22.3814165,0,0,0,10.634913,0,6.2415643,0,0
"8","2020-8",0,4.784384,0,3.58764,0,0,0,0,3.7545018,0,0,0,0,3.808453,12.258317,0,0,3.6430535,0.67034304,0,3.697136,0,0,5.329971,0,4.1602052,0,17.0143445,26.1830834,4.727359,15.415208,27.149836,0,0,0,0,28.7949554,14.9159314,26.319313,0,0,5.165447,0,6.376893,0,3.9548755,0,3.5014484,8.542709,3.3851206,12.6706835,4.169535,14.9835395,0,4.635214,4.880263,0,10.03481,12.458777,5.732383,0,3.697136,9.6595015,0,0,0,5.2430453,3.7545018,5.649024,0,15.1102484,0,31.5388816,9.169778,0.8877653,0,6.9444337,4.9646664,5.3085847,0,16.0347065,0
"9","2020-9",2.401345,7.5143557,2.5695186,0,7.5839598,7.118434,0,7.9688022,6.359913,3.1181371,14.7455964,0,7.3132805,6.6580699,0,16.211569,0,2.8612382,1.4433348,2.9499993,0,0,2.642528,5.72763,0,9.83188948,2.463532,33.5902373,18.324842,13.9156914,3.180821,26.886407,0,0,3.2827156,0,16.9817175,19.608785,20.9675016,0,0,6.6990614,5.470737,3.9209604,0,0,9.4449816,0,11.809761,0,34.45243,6.2674246,15.3478335,4.6094637,0,7.9259386,6.392521,14.6172113,12.184634,12.6269334,5.470737,0,0,0,0,9.7611972,0,6.359913,0,0,26.674338,0,27.6562243,17.9091649,2.1487699,0,18.167376,18.770976,6.150557,9.236273,5.62015,9.7550833
