"","week","province","group","value"
"154","2020-13",6,"employment",0
"155","2020-13",6,"mobility_finance",0
"156","2020-13",6,"water",0
"157","2020-13",7,"dengue_spread",0
"158","2020-13",7,"employment",0
"159","2020-13",7,"mobility_finance",0
"160","2020-13",7,"water",0
"161","2020-14",0,"dengue_spread",7.96
"162","2020-14",0,"employment",32.86
"163","2020-14",0,"mobility_finance",8.5
"164","2020-14",0,"water",0
"165","2020-14",1,"dengue_spread",11.84
"166","2020-14",1,"employment",22.29
"167","2020-14",1,"mobility_finance",0
"168","2020-14",1,"water",0
"169","2020-14",2,"dengue_spread",0
"170","2020-14",2,"employment",31.27
"171","2020-14",2,"mobility_finance",0
"172","2020-14",2,"water",0
"173","2020-14",3,"dengue_spread",0
"174","2020-14",3,"employment",66.41
"175","2020-14",3,"mobility_finance",0
"176","2020-14",3,"water",0
"177","2020-14",4,"dengue_spread",0
"178","2020-14",4,"employment",32.77
"179","2020-14",4,"mobility_finance",0
"180","2020-14",4,"water",0
"181","2020-14",5,"dengue_spread",0
"182","2020-14",5,"employment",0
"183","2020-14",5,"mobility_finance",0
"184","2020-14",5,"water",0
"185","2020-14",6,"dengue_spread",0
"186","2020-14",6,"employment",0
"187","2020-14",6,"mobility_finance",0
"188","2020-14",6,"water",0
"189","2020-14",7,"dengue_spread",0
"190","2020-14",7,"employment",0
"191","2020-14",7,"mobility_finance",0
"192","2020-14",7,"water",0
"193","2020-15",0,"dengue_spread",4.1
"194","2020-15",0,"employment",19.29
"195","2020-15",0,"mobility_finance",0
"196","2020-15",0,"water",0
"197","2020-15",1,"dengue_spread",0
"198","2020-15",1,"employment",10.86
"199","2020-15",1,"mobility_finance",0
"200","2020-15",1,"water",0
"201","2020-15",2,"dengue_spread",0
"202","2020-15",2,"employment",0
"203","2020-15",2,"mobility_finance",0
"204","2020-15",2,"water",0
"205","2020-15",3,"dengue_spread",0
"206","2020-15",3,"employment",0
"207","2020-15",3,"mobility_finance",0
"208","2020-15",3,"water",0
"209","2020-15",4,"dengue_spread",0
"210","2020-15",4,"employment",0
"211","2020-15",4,"mobility_finance",0
"212","2020-15",4,"water",0
"213","2020-15",5,"dengue_spread",0
"214","2020-15",5,"employment",0
"215","2020-15",5,"mobility_finance",0
"216","2020-15",5,"water",0
"217","2020-15",6,"dengue_spread",0
"218","2020-15",6,"employment",0
"219","2020-15",6,"mobility_finance",0
"220","2020-15",6,"water",0
"221","2020-15",7,"dengue_spread",0
"222","2020-15",7,"employment",0
"223","2020-15",7,"mobility_finance",0
"224","2020-15",7,"water",82.49
"225","2020-16",0,"dengue_spread",3.98
"226","2020-16",0,"employment",39.29
"227","2020-16",0,"mobility_finance",0
"228","2020-16",0,"water",0
"229","2020-16",1,"dengue_spread",0
"230","2020-16",1,"employment",25.14
"231","2020-16",1,"mobility_finance",0
"232","2020-16",1,"water",0
"233","2020-16",2,"dengue_spread",0
"234","2020-16",2,"employment",36.48
"235","2020-16",2,"mobility_finance",0
"236","2020-16",2,"water",0
"237","2020-16",3,"dengue_spread",0
"238","2020-16",3,"employment",37
"239","2020-16",3,"mobility_finance",0
"240","2020-16",3,"water",0
"241","2020-16",4,"dengue_spread",0
"242","2020-16",4,"employment",39.18
"243","2020-16",4,"mobility_finance",0
"244","2020-16",4,"water",0
"245","2020-16",5,"dengue_spread",0
"246","2020-16",5,"employment",0
"247","2020-16",5,"mobility_finance",0
"248","2020-16",5,"water",0
"249","2020-16",6,"dengue_spread",0
"250","2020-16",6,"employment",0
"251","2020-16",6,"mobility_finance",0
"252","2020-16",6,"water",0
"253","2020-16",7,"dengue_spread",0
