"","keyword","value","province","week"
"122","aedes_aegypti",4.37,0,"2022-18"
"123","aedes_aegypti",0,0,"2022-19"
"124","aedes_aegypti",0,0,"2022-20"
"125","aedes_aegypti",0,0,"2022-21"
"126","aedes_aegypti",0,0,"2022-22"
"127","aedes_aegypti",0,0,"2022-23"
"128","aedes_aegypti",0,0,"2022-24"
"129","aedes_aegypti",0,0,"2022-25"
"130","aedes_aegypti",0,0,"2022-26"
"131","aedes_aegypti",0,0,"2022-27"
"132","aedes_aegypti",0,0,"2022-28"
"133","aedes_aegypti",0,0,"2022-29"
"134","aedes_aegypti",0,0,"2022-30"
"135","aedes_aegypti",0,0,"2022-31"
"136","aedes_aegypti",0,0,"2022-32"
"137","aedes_aegypti",0,0,"2022-33"
"138","aedes_aegypti",0,0,"2022-34"
"139","aedes_aegypti",0,0,"2022-35"
"140","aedes_aegypti",0,0,"2022-36"
"141","aedes_aegypti",0,0,"2022-37"
"142","aedes_aegypti",0,0,"2022-38"
"143","aedes_aegypti",0,0,"2022-39"
"144","aedes_aegypti",0,0,"2022-40"
"145","aedes_aegypti",0,0,"2022-41"
"146","aedes_aegypti",0,0,"2022-42"
"147","aedes_aegypti",0,0,"2022-43"
"148","aedes_aegypti",0,0,"2022-44"
"149","aedes_aegypti",0,0,"2022-45"
"150","aedes_aegypti",0,0,"2022-46"
"151","aedes_aegypti",0,0,"2022-47"
"152","aedes_aegypti",0,0,"2022-48"
"153","aedes_aegypti",0,0,"2022-49"
"154","aedes_aegypti",0,0,"2022-50"
"155","aedes_aegypti",0,0,"2022-51"
"156","aedes_aegypti",0,0,"2022-52"
"157","aedes_aegypti",0,0,"2023-1"
"158","aedes_aegypti",0,0,"2023-2"
"159","aedes_aegypti",0,0,"2023-3"
"160","aedes_aegypti",0,0,"2023-4"
"161","aedes_aegypti",0,0,"2023-5"
"162","aedes_aegypti",0,0,"2023-6"
"163","aedes_aegypti",0,0,"2023-7"
"164","aedes_aegypti",0,0,"2023-8"
"165","aedes_aegypti",0,0,"2023-9"
"166","aedes_aegypti",0,0,"2023-10"
"167","aedes_aegypti",0,0,"2023-11"
"168","aedes_aegypti",0,0,"2023-12"
"169","aedes_aegypti",0,0,"2023-13"
"170","aedes_aegypti",0,0,"2023-14"
"171","aedes_aegypti",0,0,"2023-15"
"172","aedes_aegypti",0,0,"2023-16"
"173","aedes_aegypti",0,0,"2023-17"
"174","aedes_aegypti",0,0,"2023-18"
"175","aedes_aegypti",0,0,"2023-19"
"176","aedes_aegypti",0,0,"2023-20"
"177","aedes_aegypti",0,0,"2023-21"
"178","aedes_aegypti",0,0,"2023-22"
"179","aedes_aegypti",0,0,"2023-23"
"180","aedes_aegypti",0,0,"2023-24"
"181","aedes_aegypti",0,0,"2023-25"
"182","aedes_aegypti",0,0,"2023-26"
"183","aedes_aegypti",0,0,"2023-27"
"184","aedes_aegypti",0,0,"2023-28"
"185","aedes_aegypti",0,0,"2023-29"
"186","aedes_aegypti",0,0,"2023-30"
"187","aedes_aegypti",0,0,"2023-31"
"188","aedes_aegypti",0,0,"2023-32"
"189","aedes_aegypti",0,0,"2023-33"
"190","aedes_aegypti",0,0,"2023-34"
"191","aedes_aegypti",0,0,"2023-35"
"192","aedes_aegypti",0,0,"2023-36"
"193","aedes_aegypti",0,0,"2023-37"
"194","aedes_aegypti",0,0,"2023-38"
"195","aedes_aegypti",0,0,"2023-39"
"196","aedes_aegypti",0,0,"2023-40"
"197","aedes_aegypti",0,0,"2023-41"
"198","aedes_aegypti",0,0,"2023-42"
"199","aedes_aegypti",0,0,"2023-43"
"200","aedes_aegypti",0,0,"2023-44"
"201","aedes_aegypti",0,0,"2023-45"
"202","aedes_aegypti",0,0,"2023-46"
"203","aedes_aegypti",0,0,"2023-47"
"204","aedes_aegypti",0,0,"2023-48"
"205","aedes_aegypti",0,0,"2023-49"
"206","aedes_aegypti",0,0,"2023-50"
"207","aedes_aegypti",0,0,"2023-51"
"208","aedes_aegypti",0,0,"2023-52"
"209","aedes_aegypti",0,0,"2024-1"
"210","aedes_aegypti",0,0,"2024-2"
"211","aedes_aegypti",0,0,"2024-3"
"212","aedes_aegypti",0,0,"2024-4"
"213","aedes_aegypti",0,0,"2024-5"
"214","aedes_aegypti",0,0,"2024-6"
"215","aedes_aegypti",0,0,"2024-7"
"216","aedes_aegypti",0,0,"2024-8"
"217","aedes_aegypti",0,0,"2024-9"
"218","aedes_aegypti",0,0,"2024-10"
"219","aedes_aegypti",0,0,"2024-11"
"220","aedes_aegypti",0,0,"2024-12"
"221","aedes_aegypti",0,0,"2024-13"
"222","aedes_aegypti",0,0,"2024-14"
"223","aedes_aegypti",0,0,"2024-15"
"224","aedes_aegypti",0,0,"2024-16"
"225","aedes_aegypti",0,0,"2024-17"
"226","aedes_aegypti",0,0,"2024-18"
"227","aedes_aegypti",0,0,"2024-19"
"228","aedes_aegypti",0,0,"2024-20"
"229","aedes_aegypti",0,0,"2024-21"
"230","aedes_aegypti",0,0,"2024-22"
"231","aedes_aegypti",0,0,"2024-23"
"232","aedes_aegypti",0,0,"2024-24"
"233","aedes_aegypti",0,0,"2024-25"
"234","aedes_aegypti",0,0,"2024-26"
"235","aedes_aegypti",0,0,"2024-27"
"236","aedes_aegypti",0,0,"2024-28"
"237","aedes_aegypti",0,0,"2024-29"
"238","aedes_aegypti",0,0,"2024-30"
"239","aedes_aegypti",0,0,"2024-31"
"240","aedes_aegypti",0,0,"2024-32"
"241","aedes_aegypti",0,0,"2024-33"
"242","aedes_aegypti",0,0,"2024-34"
"243","aedes_aegypti",0,0,"2024-35"
"244","aedes_aegypti",0,0,"2024-36"
"245","aedes_aegypti",0,0,"2024-37"
"246","aedes_aegypti",0,0,"2024-38"
"247","aedes_aegypti",0,0,"2024-39"
"248","aedes_aegypti",0,0,"2024-40"
"249","aedes_aegypti",0,0,"2024-41"
"250","aedes_aegypti",0,0,"2024-42"
"251","aedes_aegypti",0,0,"2024-43"
"252","aedes_aegypti",0,0,"2024-44"
"253","aedes_aegypti",0,0,"2024-45"
"254","aedes_aegypti",0,0,"2024-46"
"255","aedes_aegypti",0,0,"2024-47"
"256","aedes_aegypti",0,0,"2024-48"
"257","aedes_aegypti",0,0,"2024-49"
"258","aedes_aegypti",0,0,"2024-50"
"259","aedes_aegypti",0,0,"2024-51"
"260","aedes_aegypti",0,0,"2024-52"
"261","aedes_aegypti",0,0,"2025-1"
"262","aedes_aegypti",0,0,"2025-2"
"263","aedes_aegypti",0,0,"2025-3"
"264","aedes_aegypti",0,0,"2025-4"
"265","aedes_aegypti",0,0,"2025-5"
"266","aedes_aegypti",0,0,"2025-6"
"267","aedes_aegypti",0,0,"2025-7"
"268","aedes_aegypti",0,0,"2025-8"
"269","aedes_aegypti",0,0,"2025-9"
"270","aedes_aegypti",0,0,"2025-10"
"271","aedes_aegypti",0,0,"2025-11"
"272","aedes_aegypti",0,0,"2025-12"
"273","aedes_aegypti",0,0,"2025-13"
"274","aedes_aegypti",0,0,"2025-14"
"275","aedes_aegypti",0,0,"2025-15"
"276","aedes_aegypti",0,0,"2025-16"
"277","aedes_aegypti",0,0,"2025-17"
"278","aedes_aegypti",0,0,"2025-18"
"279","aedes_aegypti",0,0,"2025-19"
"280","aedes_aegypti",0,0,"2025-20"
"281","aedes_aegypti",0,0,"2025-21"
"282","aedes_aegypti",0,0,"2025-22"
"283","aedes_aegypti",0,0,"2025-23"
"284","aedes_aegypti",0,0,"2025-24"
"285","aedes_aegypti",0,0,"2025-25"
"286","aedes_aegypti",0,0,"2025-26"
"287","aedes_aegypti",0,0,"2025-27"
"288","aedes_aegypti",0,0,"2025-28"
"289","aedes_aegypti",0,0,"2025-29"
"290","aedes_aegypti",0,0,"2025-30"
"291","aedes_aegypti",0,0,"2025-31"
"292","aedes_aegypti",0,0,"2025-32"
"293","aedes_aegypti",0,0,"2025-33"
"294","aedes_aegypti",0,0,"2025-34"
"295","aedes_aegypti",0,0,"2025-35"
"296","aedes_aegypti",0,0,"2025-36"
"297","aedes_aegypti",0,0,"2025-37"
"298","aedes_aegypti",0,0,"2025-38"
"299","aedes_aegypti",0,0,"2025-39"
"300","aedes_aegypti",0,0,"2025-40"
"301","aedes_aegypti",0,0,"2025-41"
"302","aedes_aegypti",0,0,"2025-42"
"303","aedes_aegypti",0,0,"2025-43"
"304","aedes_aegypti",0,0,"2025-44"
"305","aedes_aegypti",0,0,"2025-45"
"306","aedes_aegypti",0,0,"2025-46"
"307","aedes_aegypti",0,0,"2025-47"
"308","aedes_aegypti",0,0,"2025-48"
"309","aedes_aegypti",0,0,"2025-49"
"310","aedes_aegypti",0,0,"2025-50"
"311","aedes_aegypti",0,0,"2025-51"
"312","aedes_aegypti",0,0,"2025-52"
"313","aedes_aegypti",0,2,"2020-1"
